"","knn.EpCAM","knn.EpCAM..SMA","knn.SMA","knn.Unclass","knn.EpMIN","knn.EpStrRatio1","knn.EpStrRatio2","knn.EpStrRatio3","knn.EpStrRatio4","IF.CD8","IF.EpCAM","IF.EpCAM..SMA","IF.SMA","IF.Unclass","IF.EpMIN","IF.EpStrRatio1","IF.EpStrRatio2","IF.EpStrRatio3","IF.EpStrRatio4","MH.EpCAM","MH.EpCAM..SMA","MH.SMA","MH.Unclass","MH.EpMIN","MH.EpStrRatio1","MH.EpStrRatio2","MH.EpStrRatio3","MH.EpStrRatio4","Treatment","Growth","Infil","CD8frac","GrowthRate","TumSize","knn.EpCAMcut","MH.EpCAMcut","IF.EpCAMcut","CD8Fraccut","CD8","EpCAM","EpCAM: SMA","SMA","Unclass","CD8","EpCAM","EpCAM: SMA","SMA","Unclass","Trichrome"
"15ND",15.5442937646535,53.4327554106199,37.2896843417231,17.3359761878132,15.5442937646535,0.171339018296761,0.416852382610842,0.760308578159595,1.84976221689535,0.0286054827175209,0.602502979737783,0.0643623361144219,0.187723480333731,0.49284862932062,0.0643623361144219,2.39007092198581,3.2095238095238,2.64539007092198,3.55238095238094,0.534743179394668,0.640828809790353,0.595393804950183,0.487694267474388,0.534743179394668,0.432562204426993,0.898133596535171,0.950938750972255,1.97444444233574,"PDL1+LY","stable","Infiltrating",0.010472054,-0.228571428571429,3,"high","high","high","low",0.0104720537207619,0.401776130207943,0.0548253825607229,0.104215032826581,0.428711400683991,0.0104720537207619,0.401776130207943,0.0548253825607229,0.104215032826581,0.428711400683991,0.126578024868847
"15RD",91.0751669576987,NA,NA,11.5258914612054,91.0751669576987,NA,NA,NA,NA,0.221662992388004,0.157896926084605,NA,NA,0.881910070296577,0.157896926084605,NA,NA,NA,NA,0.359613877204496,NA,NA,0.485230973089606,0.359613877204496,NA,NA,NA,NA,"PDL1+LY","growing","restricted",0.032831235,3.5,17,NA,"low","low","low",0.0328312348073089,0.149980881107803,0,0,0.817187884084888,0.0328312348073089,0.149980881107803,0,0,0.817187884084888,0.140691073282721
"16LA",31.2686681101422,NA,19.1900617014782,27.7974963810797,31.2686681101422,1.62941988392531,1.62941988392531,1.62941988392531,1.62941988392531,0.353618689756576,0.275036758699559,NA,0.448047704623428,0.301829766378043,0.275036758699559,0.613855970829535,0.613855970829535,0.613855970829535,0.613855970829535,0.289352602045103,NA,0.303233846951041,0.466695158062453,0.289352602045103,0.954222640231256,0.954222640231256,0.954222640231256,0.954222640231256,"PDL1+LY",NA,"Infiltrating",0.017152841,NA,5,"high","low","high","low",0.0171528413159012,0.424868397270005,0,0.374246358068715,0.183732403345379,0.0171528413159012,0.424868397270005,0,0.374246358068715,0.183732403345379,NA
"16LC",71.6454218187546,NA,65.5135345792109,21.5624234388354,71.6454218187546,1.09359725862646,1.09359725862646,1.09359725862646,1.09359725862646,0.654297812895621,0.241148993757367,NA,0.12934910725979,0.363513336534684,0.241148993757367,1.8643266959163,1.8643266959163,1.8643266959163,1.8643266959163,0.0605609635688094,NA,0.0549539505203155,0.169605947011658,0.0605609635688094,1.10203111869857,1.10203111869857,1.10203111869857,1.10203111869857,"PDL1+LY","stable","Infiltrating",0.047692612,0.647540983606557,7,NA,"low","low","high",0.0476926119861338,0.477450786479425,0,0.239858006891454,0.234998594642987,0.0476926119861338,0.477450786479425,0,0.239858006891454,0.234998594642987,NA
"16LD",38.8586183513779,NA,19.424460317679,22.6161297328567,38.8586183513779,2.00049925279062,2.00049925279062,2.00049925279062,2.00049925279062,0.242000603456946,0.300162358654578,NA,0.492047299530166,0.380652020862369,0.300162358654578,0.610027448461133,0.610027448461133,0.610027448461133,0.610027448461133,0.525139005115229,NA,0.546942554754855,0.676143030283613,0.525139005115229,0.960135576487738,0.960135576487738,0.960135576487738,0.960135576487738,"PDL1+LY","stable","Infiltrating",0.031616767,1.91517857142857,24,"high","high","high","low",0.0316167665758732,0.354175562795616,0,0.411457244977132,0.202750425651378,0.0316167665758732,0.354175562795616,0,0.411457244977132,0.202750425651378,0.1935505629915
"16ND",29.8404496162519,40.3470121992023,26.3342130305681,47.0690260529832,29.8404496162519,0.447509017919625,1.13314377694195,1.05258206599537,2.66525761502659,0.449265895911806,0.284293873877797,0.0509409450819018,0.309818778259197,0.0600419488050397,0.0509409450819018,0.788042166250906,0.917613436716719,0.929246801319708,1.08203518470801,0.472148814238395,0.467696314892718,0.531524819841691,0.426407410659472,0.467696314892718,0.472516841193407,0.888291189071885,0.940577712440922,1.76820553631162,"PDL1","stable","Infiltrating",0.07533082,1.07457627118644,25,"high","high","high","high",0.0753308198822148,0.375935710177509,0.132690974538186,0.312897875011208,0.103144620390882,0.0753308198822148,0.375935710177509,0.132690974538186,0.312897875011208,0.103144620390882,0.359852126250554
"16RD",56.3160400554865,NA,16.5123579147296,34.656263513854,56.3160400554865,3.41053896398713,3.41053896398713,3.41053896398713,3.41053896398713,0.295986253689915,0.235493677578535,NA,0.61149050535313,0.282504295721902,0.235493677578535,0.385114201311335,0.385114201311335,0.385114201311335,0.385114201311335,0.35460682729618,NA,0.466904254400708,0.461018414042277,0.35460682729618,0.759485106322994,0.759485106322994,0.759485106322994,0.759485106322994,"PDL1","stable","Infiltrating",0.030648594,-0.102739726027397,3,NA,"low","low","low",0.0306485937592836,0.242856718465585,0,0.503444709110452,0.223049978664679,0.0306485937592836,0.242856718465585,0,0.503444709110452,0.223049978664679,NA
"17NA",61.8664174149397,NA,22.481602620028,21.5710061661331,61.8664174149397,2.75186864835985,2.75186864835985,2.75186864835985,2.75186864835985,0.375712334368665,0.0907524861013233,NA,0.386196156221996,0.552449560201498,0.0907524861013233,0.234990650836919,0.234990650836919,0.234990650836919,0.234990650836919,0.30394425787058,NA,0.32866261065087,0.613918501736772,0.30394425787058,0.924791101940866,0.924791101940866,0.924791101940866,0.924791101940866,"Vehicle","growing","restricted",0.047268702,6.8,28,NA,"low","low","high",0.0472687015058753,0.182683975918826,0,0.515150256476267,0.254897066099032,0.0472687015058753,0.182683975918826,0,0.515150256476267,0.254897066099032,0.299769371626505
"17ND",15.0638795777243,232.024379910668,111.853705641937,18.0178993686866,15.0638795777243,0.0438058725187939,0.134674837022802,0.718534474481927,2.20903060895778,0.324635283501278,0.666416002406377,0.000300797112347721,0.00293277184539028,0.485185742216875,0.000300797112347721,206.093023255814,227.23076923077,206.186046511628,227.333333333334,0.832151383559255,0.299347880005409,0.555012882344682,0.803004547970559,0.299347880005409,0.974004683068842,1.49933706050891,1.32438112028021,2.0386900909121,"Vehicle","stable","Infiltrating",0.11152672,-0.384615384615384,4,"high","high","high","high",0.111526720118085,0.5278355530209,0.00170250595457748,0.0111711228152571,0.347764098091181,0.111526720118085,0.5278355530209,0.00170250595457748,0.0111711228152571,0.347764098091181,0.350950798461984
"17RB",16.7082773675647,88.4812071266105,95.1323048182837,35.714729746502,16.7082773675647,0.0909969924902867,0.17563200428582,0.572885314266765,1.10571781788639,0.389057290087905,0.627556135891995,0.078800102595192,0.0414694429547415,0.213374682304661,0.078800102595192,5.21791392012408,15.1329772280011,5.87310973245444,17.0331740230531,0.432876013656983,0.307327473674931,0.263026034299497,0.495864254524227,0.307327473674931,0.758960903377824,1.64575348904088,1.29779772892201,2.8141833537629,"Vehicle","growing","Infiltrating",0.04110736,8.21428571428571,35,"high","high","high","high",0.0411073596330847,0.660611956857736,0.12023329986557,0.0539738376342205,0.124073546009389,0.0411073596330847,0.660611956857736,0.12023329986557,0.0539738376342205,0.124073546009389,0.34230818181261
"2N",47.7725991706215,87.6000093785154,35.1541298238559,19.2026160560444,47.7725991706215,0.389173020812472,1.35894699740804,1.10279465465489,3.85083087612858,0.384651849690959,0.28264080077306,0.0808521888161613,0.244872098747425,0.590296643389793,0.0808521888161613,0.867730198712567,1.1542384870258,1.1159529806885,1.48441979077473,0.402594374227138,0.271154157598384,0.347731623912152,0.498009012593303,0.271154157598384,0.650514822370797,1.15777325541391,1.08864761795154,1.93755323213207,"Vehicle","growing","restricted",0.030104097,11.7,47,NA,"low","high","low",0.0301040967138085,0.313685928213308,0.092148273941956,0.196137408430651,0.367924292700277,0.0301040967138085,0.313685928213308,0.092148273941956,0.196137408430651,0.367924292700277,0.126077261157979
"2RA",44.8085737802091,534.054430609626,132.807954298937,15.3104812717432,44.8085737802091,0.0671931342871484,0.337393750372433,0.868039669787652,4.3586470964448,0.346467844051983,0.437104298567144,0.000958013995334888,0.0452765744751749,0.685688103965345,0.000958013995334888,9.45405405405406,9.65409383624655,9.47477477477478,9.67525298988041,0.610247878005195,0.0311932047672934,0.296630844850466,0.77223377482311,0.0311932047672934,1.86151040082855,2.05726372897204,1.9566626778005,2.16242206064526,"Vehicle","growing","restricted",0.085819175,3.54285714285714,20,NA,"high","high","high",0.0858191749091156,0.430418479290512,0.00169078930906413,0.0391991449539054,0.442872411537403,0.0858191749091156,0.430418479290512,0.00169078930906413,0.0391991449539054,0.442872411537403,0.19008060786476
"2RD",38.6122145002545,73.1522125847403,27.6663367297125,21.6238408687143,38.6122145002545,0.38298720585458,1.39563885444894,1.10857007807563,4.03972626289061,0.321979330993851,0.197900904671453,0.17401242715946,0.24921927819452,0.521618750201217,0.17401242715946,0.467594705613876,0.794083451750421,0.878746386733608,1.49231365456659,0.623193269777112,0.477861391125973,0.590344530263587,0.619317289102703,0.477861391125973,0.583401811671705,1.05564333677972,1.03075131756506,1.86510521307188,"Vehicle","growing","restricted",0.074219478,20,20,"high","high","low","high",0.0742194780431157,0.265962886676766,0.122200132854801,0.182066035526712,0.355551466898605,0.0742194780431157,0.265962886676766,0.122200132854801,0.182066035526712,0.355551466898605,NA
"3LA",46.0960082025034,104.055734519621,65.9897286838817,41.8889614629541,46.0960082025034,0.271080494204881,0.69853307661443,0.883009401682358,2.27538051325251,0.42436282932417,0.286523959526537,0.0929863497518137,0.0477520045819015,0.238795819014891,0.0929863497518137,2.03586265366681,6.00024987506247,2.6965663416702,7.94752623688156,0.375872887784308,0.342740286633196,0.338897592959843,0.353057313846549,0.342740286633196,0.551426056322922,1.109104625092,1.0542447770751,2.12044342994981,"Vehicle","growing","restricted",0.053124641,3,12,NA,"low","high","high",0.0531246414587471,0.395391528632906,0.147560841875463,0.0995966589184779,0.304326329114405,0.0531246414587471,0.395391528632906,0.147560841875463,0.0995966589184779,0.304326329114405,0.0974472884287867
"3NB",32.3115937542865,NA,62.6416107193287,29.7078643603586,32.3115937542865,0.515816777111008,0.515816777111008,0.515816777111008,0.515816777111008,0.723386802770689,0.437791145137117,NA,0.0275246080933285,0.221877911451371,0.437791145137117,15.9054451802796,15.9054451802796,15.9054451802796,15.9054451802796,0.682212244221748,NA,0.554339875145274,0.664032359326342,0.682212244221748,1.23067503315175,1.23067503315175,1.23067503315175,1.23067503315175,"Vehicle","stable","Infiltrating",0.276829918,0.0245901639344268,6,"high","high","high","high",0.276829917860447,0.473121022679488,0,0.0426761234616355,0.20737293599843,0.276829917860447,0.473121022679488,0,0.0426761234616355,0.20737293599843,0.433978944576645
"3RB",42.6316241357437,NA,29.9925367263929,46.1609657575577,42.6316241357437,1.42140774968956,1.42140774968956,1.42140774968956,1.42140774968956,0.177995891349007,0.291075097009815,NA,0.359233051814654,0.205569504679297,0.291075097009815,0.810268140805693,0.810268140805693,0.810268140805693,0.810268140805693,0.41838202247805,NA,0.477845488963881,0.458232472246002,0.41838202247805,0.875559217656807,0.875559217656807,0.875559217656807,0.875559217656807,"Vehicle","growing","restricted",0.026655358,7.68571428571428,35,NA,"high","high","low",0.0266553579642389,0.436608192400455,0,0.380376399695298,0.156360049940009,0.0266553579642389,0.436608192400455,0,0.380376399695298,0.156360049940009,0.12018569287281
