"","LYvs.Vehicle","PDL1vs.Vehicle","PDL1+LYvs.Vehicle","Grow.Stable","Inf.res"
"CIBERSORT",0.412698412698413,0.547619047619048,1,0.588028895768834,0.0663336663336663
"CIBERSORT-ABS",0.412698412698413,1,0.662337662337662,0.642647058823529,0.0495504495504496
"EPIC",0.304618117004874,0.90938204037192,0.816923868863368,0.402427517278392,0.132234466063919
"facs",0.0265187219594307,0.197959327152793,0.0265187219594307,0.102807661826291,0.144703597417635
"MMCPCOUNTER",0.000421759089623542,0.0110240309717385,0.0372030168079888,0.00274994895171478,0.24356789459561
"QUANTISEQ",0.873590855769427,0.15662985948811,0.33017979076143,0.428216988147425,0.293533538681067
"TIMER",0.893036294258882,0.789943586952801,0.193021829596831,0.616739337419295,0.0515525509178393
"XCELL",0.0656851360859352,0.0521034885218417,0.0311469352607983,0.249545317273072,0.132018564301749
"facs",0.904761904761905,0.69047619047619,0.536796536796537,1,0.688911088911089
"CIBERSORT",0.371093369522698,0.423710797166793,NA,0.0572673920451156,0.496242474444263
"CIBERSORT-ABS",0.371093369522698,0.423710797166793,NA,0.0572673920451156,0.496242474444263
"QUANTISEQ",0.285714285714286,0.30952380952381,0.161055709745634,0.0707781217076769,0.110331929314093
"XCELL",0.111111111111111,0.0555555555555556,0.051948051948052,0.0043197416121315,0.455944055944056
"facs",0.285714285714286,0.222222222222222,0.536796536796537,0.274922600619195,0.863936063936064
"CIBERSORT",0.285714285714286,0.0317460317460317,0.246753246753247,0.157430340557276,0.775624375624376
"CIBERSORT-ABS",0.19047619047619,0.0317460317460317,0.051948051948052,0.0968008255933953,0.954645354645355
"QUANTISEQ",0.262239349502025,0.463343882565217,0.190841272960959,0.0288100846371052,0.465208818452142
"XCELL",0.555555555555556,0.463343882565217,0.583024911513766,0.00696906713979409,0.67890337645961
"CIBERSORT",0.19047619047619,0.69047619047619,0.536796536796537,0.0144736842105263,0.775624375624376
"CIBERSORT-ABS",0.19047619047619,1,0.246753246753247,0.0144736842105263,0.954645354645355
"facs",0.19047619047619,1,0.329004329004329,0.437796697626419,0.606993006993007
"MMCPCOUNTER",0.131210414512999,0.072005657555498,0.465208818452142,0.353068365848012,0.641309473722444
"QUANTISEQ",0.502334954360502,0.423710797166793,0.361310428526179,0.529368106184798,NA
"XCELL",0.139982523758398,0.249152638581927,0.0995755338938674,0.00474641950866842,1
"CIBERSORT",NA,NA,0.465208818452142,0.208412803684149,0.276302917337483
"CIBERSORT-ABS",NA,NA,0.465208818452142,0.208412803684149,0.276302917337483
"facs",0.73015873015873,0.547619047619048,0.662337662337662,0.816795665634675,0.863936063936064
"QUANTISEQ",0.240420786368435,0.179712494879,0.136380215635789,0.322830753885083,0.496242474444263
"TIMER",0.555555555555556,1,0.930735930735931,0.134803921568627,0.954645354645355
"XCELL",1,1,0.779242782197006,0.418137004867912,0.8571364155923
"facs",0.666666666666667,0.533333333333333,0.333333333333333,0.420634920634921,0.0952380952380952
"EPIC",0.904761904761905,0.30952380952381,0.536796536796537,0.699174406604747,0.181018981018981
"MMCPCOUNTER",0.285714285714286,0.420634920634921,0.329004329004329,0.000490196078431373,0.863936063936064
"QUANTISEQ",0.904761904761905,0.420634920634921,0.930735930735931,0.0264435278348931,0.388411588411588
"XCELL",0.412698412698413,0.547619047619048,0.930735930735931,0.0296955624355005,0.775624375624376
"facs",0.333333333333333,0.266666666666667,1,0.0317460317460317,0.166666666666667
"CIBERSORT",0.285714285714286,0.30952380952381,0.125541125541126,0.392879256965944,0.528671328671329
"CIBERSORT-ABS",0.19047619047619,0.69047619047619,0.125541125541126,0.588028895768834,0.954645354645355
"EPIC",0.904761904761905,0.69047619047619,0.0303030303030303,0.274922600619195,0.272127872127872
"QUANTISEQ",0.538594314826435,0.0317460317460317,0.051948051948052,0.780706329263884,0.952586649161983
"TIMER",0.412698412698413,1,0.428571428571429,0.0674922600619195,0.606993006993007
"XCELL",1,0.841269841269841,0.930735930735931,0.00170278637770898,0.455944055944056
"facs",1,0.266666666666667,0.333333333333333,0.30952380952381,0.0238095238095238
"CIBERSORT",0.904761904761905,1,0.792207792207792,0.045562435500516,0.863936063936064
"CIBERSORT-ABS",0.904761904761905,0.420634920634921,0.536796536796537,0.0186016511867905,0.775624375624376
"QUANTISEQ",0.555555555555556,0.420634920634921,0.536796536796537,0.938467492260062,0.528671328671329
"XCELL",0.73015873015873,0.150793650793651,0.125541125541126,0.182688338493292,0.528671328671329
"CIBERSORT",0.285714285714286,0.0555555555555556,0.246753246753247,0.157430340557276,0.775624375624376
"CIBERSORT-ABS",0.19047619047619,0.0317460317460317,0.051948051948052,0.114628482972136,0.954645354645355
"EPIC",0.111111111111111,0.0952380952380952,0.177489177489177,0.00340557275541796,0.775624375624376
"facs",0.19047619047619,0.222222222222222,0.792207792207792,0.485423116615067,0.954645354645355
"QUANTISEQ",0.412698412698413,0.547619047619048,0.166994117926185,0.00547483230205296,0.111292006739767
"TIMER",0.262239349502025,0.345741825860727,0.190841272960959,0.517162143450549,0.0883762795843388
"XCELL",0.111111111111111,0.222222222222222,0.177489177489177,0.00242518059855521,0.388411588411588
"CIBERSORT",0.285714285714286,0.222222222222222,0.272229256388575,0.165358801324763,1
"CIBERSORT-ABS",0.412698412698413,0.222222222222222,0.272229256388575,0.284537687693894,0.768076964858452
"EPIC",0.412698412698413,0.150793650793651,0.0173160173160173,0.311377708978328,0.688911088911089
"facs",0.333333333333333,0.533333333333333,0.333333333333333,0.0555555555555556,0.547619047619048
"QUANTISEQ",0.502334954360502,1,0.341314478313443,1,0.496115823124454
"TIMER",0.200825122695145,0.0669552823173684,0.0616636774928654,0.421936613217077,0.108408299981465
"XCELL",0.285714285714286,0.0952380952380952,0.177489177489177,0.757301341589267,0.327672327672328
