"","Unclass.CD8","Unclass.EpCAM","Unclass.EpCAM..SMA","Unclass.SMA","Unclass.Treatment","Unclass.Growth","Unclass.Infil"
"10LB",0.597463796429126,0.570781944774866,0.512229442000975,0.656457722942474,"PDL1","growing","Infiltrating"
"10LC",0.62548201570215,0.63124587255065,0.536981031375796,0.59005783550914,"PDL1","growing","Infiltrating"
"10LD",0.639396780267569,0.68828255387886,0.57669726202309,0.752401615106374,"PDL1","stable","Infiltrating"
"10NA",0.416396403306811,0.685517833042827,NA,0.655048212155491,"PDL1",NA,"restricted"
"10ND",0.34674128735834,0.738055761492298,NA,0.80872516999497,"PDL1","stable","restricted"
"10RBL",0.600070373122978,0.335330403070075,0.18464867073357,0.478524939051011,"PDL1","growing","restricted"
"10RBU",0.590574632069272,0.46182022986167,0.34298762258579,0.63033216075749,"PDL1",NA,"restricted"
"11LB",0.632667489375861,0.670013131356531,0.00198658765128362,0.00272859768632272,"PDL1","growing",NA
"11ND",0.790250569553001,0.743029487427842,0.30982040307525,0.623335553789808,"PDL1","stable","Infiltrating"
"11RC",0.240868107813211,0.493632341413798,0.401859036062682,0.550386309965412,"PDL1","growing","restricted"
"11RD",0.582621136713135,0.700729507482488,0.514596482650712,0.59614669434159,"PDL1","growing","restricted"
"12LD",0.762251223637424,0.218357166399827,0.0432985322063164,0.771369126710792,"PDL1","stable","Infiltrating"
"13NA",0.323316795568553,0.483501161369814,NA,0.540993658028591,"Vehicle","growing","restricted"
"14NB",0.685728109725929,0.719206840220556,0.35644898271354,0.617891901172945,"PDL1+LY","growing","restricted"
"14NC",0.684489079311824,0.611473788571102,0.47890040338182,0.685762886146344,"PDL1+LY","stable","restricted"
"14RD",0.663670086062616,0.668312111656454,0.380915850756048,0.703856669072913,"PDL1+LY","stable","Infiltrating"
"15LB",0.467162609331726,0.706635672739022,0.411621038161871,0.810449464550811,"PDL1+LY","growing","restricted"
"15NC-D",0.540626982904999,0.802557529191323,NA,0.719547166933971,"PDL1+LY","growing","restricted"
"15ND",0.600764059432942,0.839819776918831,0.422866762140302,0.474918692175353,"PDL1+LY","stable","Infiltrating"
"15RD",0.571376554270079,0.460894547396963,NA,NA,"PDL1+LY","growing","restricted"
"16LA",0.605466558109521,0.699330141980891,NA,0.594550082272688,"PDL1+LY",NA,"Infiltrating"
"16LC",0.182505407176602,0.633667761422448,NA,0.572754618638581,"PDL1+LY","stable","Infiltrating"
"16LD",0.761327658344702,0.579175011470036,NA,0.552799979808882,"PDL1+LY","stable","Infiltrating"
"16ND",0.486660893156628,0.719777210993554,0.752110113764654,0.756801064944264,"PDL1","stable","Infiltrating"
"16RD",0.517428567636077,0.381559927832658,NA,0.556313561541229,"PDL1","stable","Infiltrating"
"17NA",0.653302857624675,0.507039107360297,NA,0.526825874049815,"Vehicle","growing","restricted"
"17ND",0.854534350397835,0.737667098540872,0.400860255228094,0.78381327342486,"Vehicle","stable","Infiltrating"
"17RB",0.547179640902648,0.607797735763138,0.393617300141856,0.391625465008039,"Vehicle","growing","Infiltrating"
"2N",0.553249216654343,0.643887485132961,0.351526846912501,0.532286130673654,"Vehicle","growing","restricted"
"2RA",0.822729511407941,0.432031210343852,0.0576529004060799,0.630178133593088,"Vehicle","growing","restricted"
"2RD",0.665174868982398,0.54685148870492,0.169202520813618,0.660668840489781,"Vehicle","growing","restricted"
"3LA",0.407709829399308,0.511218390872715,0.286153601876368,0.425337316154814,"Vehicle","growing","restricted"
"3NB",0.729358914203227,0.643597475256721,NA,0.726619200216289,"Vehicle","stable","Infiltrating"
"3RB",0.532980903511454,0.563532737440053,NA,0.630292906595387,"Vehicle","growing","restricted"
"3RC",0.521351643898102,0.753317086158563,0.449179272147438,0.655010061799672,"Vehicle","growing","Infiltrating"
"4LB",0.682694387906021,0.751108509957239,0.408702052396434,0.675411360840489,"Vehicle","growing","Infiltrating"
"4NC",0.0754910507824329,0.723766127447572,NA,0.770726794214661,"Vehicle","growing","restricted"
"4ND",0.526850343400621,0.484073497649787,NA,0.498711766578045,"Vehicle","growing","Infiltrating"
"4RB",0.508110519181855,0.729895823287606,0.380165827530269,0.653616882963104,"Vehicle","growing","restricted"
"5LA",0.581248232786681,0.60505044609644,NA,0.57355369645274,"Vehicle","stable","Infiltrating"
"5LB",0.627702841296914,0.588488945592904,NA,NA,"Vehicle","growing","restricted"
"5LC",0.256035749130104,0.630406882244961,NA,0.464802129991129,"Vehicle","growing","restricted"
