"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CellMarker"
"Col1a1",35939.3836284662,4.96238430739766,0.722744263701909,6.86603070632514,6.60128706052644e-12,6.18716631892941e-09,1
"Fap",147.50578123431,3.79194291509261,0.656470551561275,5.77625745141848,7.63804749491280e-09,8.6736245752896e-07,1
"Mme",214.622521279732,2.41816065494048,0.576331116269126,4.19578361583949,2.71929769802992e-05,0.000551668201105377,1
"Itgam",289.807818504596,-2.25114772166108,0.556412652050985,-4.04582410799459,5.21393721988421e-05,0.000953221630355685,1
"Tp63",145.596811277284,2.04766752053985,0.476812321857299,4.29449371728416,1.75092439448462e-05,0.000390734064477131,1
"Cdh5",114.363936503898,1.89969668009045,0.667475163233524,2.84609343497897,0.00442592063247398,0.0302940692171138,1
"Cd38",370.418350277763,1.89707618663745,0.471955488488813,4.0196082743138,5.82949865618787e-05,0.00103700481262849,1
"Krt14",949.200864398276,1.83443636456404,0.477442463705079,3.84221451591953,0.0001219291968204,0.001883739096811,1
"Vim",13706.1725205037,1.83265749732068,0.336102182659418,5.45267954768912,4.96164335774776e-08,3.45325465181068e-06,1
"Cdh3",100.102954683448,1.70577568093876,0.429390260321592,3.97255326578953,7.1106328990559e-05,0.00121320859135712,1
"Acta2",489.516373345286,1.67842453564866,0.401336696326692,4.18208589199729,2.88846800826704e-05,0.000580958107699947,1
"Cnn1",618.403494570128,1.57287210215482,0.469853697608433,3.34757842741427,0.000815209175438724,0.00813993309481038,1
"Has1",1055.81931968187,5.22599328676035,0.916918684976443,5.69951662277949,1.20147609604855e-08,1.22402553872077e-06,0
"Kcnj8",150.247876529544,5.10686585355318,0.919889682817535,5.55160683823666,2.83055637058411e-08,2.38292167748755e-06,0
"Tnfaip6",1367.61914303924,4.8842079043001,0.750175693840018,6.51075200703811,7.47755059741426e-11,3.00362525282992e-08,0
"Col3a1",49552.9325158976,4.76060023059479,0.701209419491727,6.78912761047266,1.12813623687213e-11,8.32046103503325e-09,0
"Efemp1",881.509745142089,4.68310632345415,0.743875071105784,6.29555486580916,3.06302192752457e-10,7.68982594269069e-08,0
"Tfpi2",596.772038906148,4.52100624918912,0.904193179957154,5.00004462475967,5.7317046955828e-07,2.43450260770993e-05,0
"Mrgprf",104.020243549946,4.48491620723837,0.963507825599086,4.6547792224207,3.24328042593738e-06,9.80586656091475e-05,0
"Mmp2",7528.74841259457,4.4819871049611,0.670177543574575,6.68776080000414,2.26611131629317e-11,1.17997255539873e-08,0
"Igfbp6",2578.13648878811,4.46539681584183,0.665850657973946,6.70630382709113,1.9961588936464e-11,1.12314020633305e-08,0
"Hbb",1278.43187515114,4.43123388445222,0.766774494376834,5.77905748945593,7.51202566546841e-09,8.65668596973938e-07,0
"Apod",552.768920451956,4.37462408164186,0.724069207573006,6.04172092375684,1.52479040254323e-09,2.78402964537081e-07,0
"Spib",174.191287075639,4.37411564367044,0.628768153926551,6.95664310661224,3.48476259618297e-12,3.49944838140974e-09,0
"Cpz",290.865250954393,4.32537770550694,0.91877422479076,4.70776997090008,2.50441480301869e-06,7.93008281883777e-05,0
"Tspan11",172.187340122579,4.28801949467596,0.780404426889873,5.4946119562198,3.91570452322118e-08,2.91274549692945e-06,0
"LOC100134871",436.153133312328,4.23420448068099,0.756824838041535,5.59469545375652,2.21009366856161e-08,1.94198168039423e-06,0
"Sparcl1",1520.98075856102,4.23354800665852,0.734307616567862,5.76536033555806,8.14835567342909e-09,8.88044437308059e-07,0
"Pdgfra",495.799817666226,4.19057633615578,0.71796006688417,5.83678191788883,5.32186794522391e-09,6.50609925581765e-07,0
"Col5a1",1752.58893106322,4.15558283877796,0.625931393293258,6.639038852028,3.15735173664412e-11,1.43190993759612e-08,0
"Dpt",583.369677582356,4.14720820732341,0.655928589347195,6.32265200004602,2.57111902038328e-10,6.95141582837855e-08,0
"Fbn1",921.711525313753,4.12540131983292,0.561508850136954,7.34699251637213,2.02716213177522e-13,3.56248405132847e-10,0
"Col15a1",828.462696539446,4.12425784412947,0.659332964647818,6.25519739686069,3.97013428511944e-10,9.37593231075438e-08,0
"Dcn",10892.6969333446,4.11752679462962,0.625069295279961,6.58731251994297,4.47858954360992e-11,1.90801486041248e-08,0
"Fxyd1",174.172572622264,4.10604266953417,0.696202797503866,5.89776812770042,3.68451241274916e-09,5.34026391864334e-07,0
"Postn",12740.6035846051,4.09685319368474,0.693825403392608,5.90473219004709,3.53220071098849e-09,5.28203895045238e-07,0
"Itgbl1",223.031165920867,4.05328558041306,0.861533212469403,4.70473514166119,2.54195738914036e-06,8.01494419884131e-05,0
"Ccl22",1262.40105328092,-4.04805551811022,0.594475844665142,-6.80945332672081,9.79703102668288e-12,7.65202551134081e-09,0
"Islr",445.765688707098,4.04135251317878,0.685147015821305,5.89851874102421,3.66779313098979e-09,5.34026391864334e-07,0
"Gldn",394.063488238915,4.04073234749275,0.843222106223056,4.79201424828853,1.65115173707805e-06,5.74592630484661e-05,0
"Olfml1",101.730220127807,4.03949654164942,0.871410711951083,4.63558283855039,3.55933144463812e-06,0.000105570972110058,0
"Galnt16",235.879709980233,4.02900024432997,0.780583159336211,5.16152596445475,2.44944908653479e-07,1.20408408068505e-05,0
"Itm2a",1424.02674031139,4.01934137532257,0.52058030637235,7.72088633803926,1.15523536298106e-14,3.24829079363014e-11,0
"Thbs2",1680.57528572949,3.99789535254555,0.743000653642973,5.38074271259877,7.41791506883981e-08,4.65573517646513e-06,0
"Scara5",224.86677982876,3.99633065841578,0.741581431019606,5.38893032006099,7.08782776983651e-08,4.57099865211612e-06,0
"Crabp1",1258.63588351624,3.99525238883788,0.610476205422043,6.54448503210018,5.97007431655876e-11,2.46862572989705e-08,0
"Pdgfrb",899.233911866216,3.99056756255685,0.727053616731542,5.48868401273675,4.04939277968701e-08,2.96512568175102e-06,0
"Gfpt2",1672.49207710961,3.99026254335228,0.535504368864597,7.45140987703356,9.23479669744078e-14,1.8681268300937e-10,0
"Ccl21",643.839890488252,3.98533400043207,0.676789719731581,5.88858530831804,3.8951546960255e-09,5.37149109487082e-07,0
"RGD1566401",114.776698427667,3.96203509535828,0.796552692127947,4.97397740854271,6.5592956464644e-07,2.69350883943957e-05,0
"Eln",5425.05441834561,3.94352054775894,0.744434970876685,5.29733381965499,1.1750576114581e-07,6.66134474172961e-06,0
"Col6a2",5387.66682472141,3.9420797972657,0.693203301171393,5.68675854630852,1.29473309929736e-08,1.30954335561306e-06,0
"Cpxm1",1585.06025922203,3.93925873163679,0.651519492278408,6.04626381608466,1.48243283741699e-09,2.74230569226914e-07,0
