"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CellMarker"
"Dcn",16280.154127772,5.18058988378386,0.566764650664839,9.14063690758908,6.20855892867475e-20,1.47458201983747e-17,0
"Tnc",1589.62038378098,5.17425900690269,0.584937334902273,8.84583475555918,9.08466090729596e-19,1.63775639946831e-16,0
"Aoc3",546.248740707446,5.14983789035504,0.712502919793364,7.22781303387299,4.90833813589919e-13,2.88013582460626e-11,0
"Tspan11",236.938128526955,5.13921240781712,0.613478371811824,8.37716966718674,5.42156644944533e-17,6.93358109256841e-15,0
"Dpt",920.095915854057,5.13456670662045,0.63833753260811,8.0436547192231,8.71979911933971e-16,8.75666806863625e-14,0
"Itm2a",1847.86998847819,5.13172627433344,0.546655381382777,9.38749795410889,6.1442433299555e-21,1.99861549882879e-18,0
"Srpx2",190.617174640939,5.12151485633033,0.591140001745473,8.66379341815459,4.56319964842211e-18,6.69403493522941e-16,0
"Pdgfrb",1515.37089017826,5.11158220234408,0.627689317978147,8.14349082569865,3.84041623046555e-16,4.14762555042593e-14,0
"Loxl1",3186.31730297549,5.10993561376617,0.570346316353656,8.95935586370586,3.2658055446166e-19,6.88257019212651e-17,0
"Igfbp6",3823.55447598822,5.10039079147369,0.58170968991762,8.76793163303845,1.81978270028073e-18,3.02548983825561e-16,0
"Osr2",134.284995402902,5.08311474605851,0.796846014425003,6.37904269336961,1.78198359175382e-10,6.12961390423273e-09,0
"Mfap2",977.34368616394,5.07834948971614,0.584747207951586,8.68469215527508,3.79769462416361e-18,5.79236079754984e-16,0
"Bgn",2180.80253235612,5.07757354850761,0.478288039950129,10.6161415807869,2.50710873769069e-26,3.75138680420658e-23,0
"Aebp1",3570.12947280339,5.05579407461051,0.440598616374484,11.4748296674481,1.76524942868785e-30,6.60335680036407e-27,0
"Col5a1",3249.96281208996,5.02948429948949,0.515558378081564,9.75541182786055,1.74889387097853e-22,7.26908305318102e-20,0
"Apod",753.826816242065,5.01774186213823,0.540010136244213,9.29194014215507,1.51501126147757e-20,4.12165700099799e-18,0
"Ptprn",566.043365576274,4.98441926764128,0.689084058823131,7.23339802135902,4.71056204269451e-13,2.77496613562354e-11,0
"Mrgprf",166.819658824729,4.95904029399763,0.718705747207624,6.89995914637515,5.20174965619597e-12,2.51889256005373e-10,0
"Lrrc17",152.792384907717,4.95503710950495,0.71583742483416,6.92201460499623,4.45265325701108e-12,2.1988465572494e-10,0
"Sparcl1",2405.86719303131,4.94912602611367,0.639391133608989,7.74037324881055,9.91253795859705e-15,8.10498937019058e-13,0
"Lox",521.977019533143,4.94072510500347,0.607418705078819,8.13396930929606,4.15457771208124e-16,4.3778131201318e-14,0
"Ccn4",255.20668881343,4.92160651226328,0.603145461476359,8.15989976981065,3.35302714831801e-16,3.68906950149135e-14,0
"Col5a2",3406.01313815335,4.91819375383647,0.422001868450001,11.6544359670748,2.17817912172114e-31,1.08640313994378e-27,0
