"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",16.8775399744831,9.92471662063926
"2","knn3","CD8",1,"CD8",25.2953174094614,17.7888875632968
"3","knn5","CD8",1,"CD8",32.0352399272746,23.933779154584
"4","knn1","EpCAM",0,"CD8",95.8065034966263,56.8007482306721
"5","knn3","EpCAM",0,"CD8",111.447853299894,69.4085981628065
"6","knn5","EpCAM",0,"CD8",121.009453493901,76.5193382643149
"7","knn1","SMA",0,"CD8",16.4175732618327,9.84936546179508
"8","knn3","SMA",0,"CD8",21.0949983566855,12.485970422954
"9","knn5","SMA",0,"CD8",24.6370884967392,14.7203930711259
"10","knn1","Unclass",0,"CD8",350.96232005435,168.11478189142
"11","knn3","Unclass",0,"CD8",421.712247888895,222.205214754149
"12","knn5","Unclass",0,"CD8",467.557489276215,258.792377383312
"13","knn1","CD8",1,"EpCAM",52.5133378901292,46.5123639476646
"14","knn3","CD8",1,"EpCAM",69.6093350879415,64.1532352497415
"15","knn5","CD8",1,"EpCAM",82.4035367865536,77.0924075232321
"16","knn1","EpCAM",0,"EpCAM",9.07225466847718,8.41724420460644
"17","knn3","EpCAM",0,"EpCAM",11.5031738673909,10.2589402766584
"18","knn5","EpCAM",0,"EpCAM",13.9861034669764,12.3582538367787
"19","knn1","SMA",0,"EpCAM",15.0262520254583,12.2413234578604
"20","knn3","SMA",0,"EpCAM",19.2055057703764,16.6439510056826
"21","knn5","SMA",0,"EpCAM",22.4001136734558,19.7507646922351
"22","knn1","Unclass",0,"EpCAM",528.779199695929,271.619494881526
"23","knn3","Unclass",0,"EpCAM",629.779192262665,366.387211950507
"24","knn5","Unclass",0,"EpCAM",698.609118283447,429.542611426789
"25","knn1","CD8",1,"SMA",41.5110693462602,33.0977340614124
"26","knn3","CD8",1,"SMA",55.9688879102557,47.2882862583809
"27","knn5","CD8",1,"SMA",66.7208816376619,57.4877712873129
"28","knn1","EpCAM",0,"SMA",71.774121185448,29.7430664189176
"29","knn3","EpCAM",0,"SMA",83.3389770909305,36.3688302369516
"30","knn5","EpCAM",0,"SMA",91.0540029716237,41.1758448126425
"31","knn1","SMA",0,"SMA",8.81911169339306,8.42021377400915
"32","knn3","SMA",0,"SMA",10.7314964907939,10.0968493712955
"33","knn5","SMA",0,"SMA",12.628198201371,11.8014885789663
"34","knn1","Unclass",0,"SMA",349.736464334644,141.226661788771
"35","knn3","Unclass",0,"SMA",422.916442664473,193.425139985985
"36","knn5","Unclass",0,"SMA",470.662399542669,226.504049445735
"37","knn1","CD8",1,"Unclass",52.6868508490001,39.4311423122076
"38","knn3","CD8",1,"Unclass",68.9400631877061,56.1520631249971
"39","knn5","CD8",1,"Unclass",80.8570564218738,68.069927790807
"40","knn1","EpCAM",0,"Unclass",143.150004726813,64.1558258869618
"41","knn3","EpCAM",0,"Unclass",154.395481022594,71.5425384226982
"42","knn5","EpCAM",0,"Unclass",162.544625961039,77.2781586895026
"43","knn1","SMA",0,"Unclass",18.9174830489753,10.5759160359737
"44","knn3","SMA",0,"Unclass",23.011916719929,14.2154196651126
"45","knn5","SMA",0,"Unclass",26.0840913204644,17.0086060685079
"46","knn1","Unclass",0,"Unclass",17.1006445637725,10.4484448603607
"47","knn3","Unclass",0,"Unclass",24.7274030717873,15.964447203282
"48","knn5","Unclass",0,"Unclass",31.0492907929849,20.6100340287107
