"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.EpCAM: SMA","Nexpected.SMA","Nexpected.Unclass"
50,70434,0.956100746798421,2.7358803986711,2.89719453672942,5.70877701110259,1.73989834454951
100,17673,3.81044531205794,10.9035817348498,11.5464833361625,22.7517682340293,6.93419340236519
150,7826,8.60490672118579,24.6229235880399,26.0747508305648,51.3789930999233,15.6590851009456
200,4352,15.4738051470588,44.2782628676471,46.8890165441176,92.3924632352941,28.1590073529412
250,2860,23.5461538461538,67.3772727272727,71.35,140.591608391608,42.8489510489511
300,1978,34.0455005055612,97.4211324570273,103.165318503539,203.282103134479,61.9555106167846
350,1443,46.6680526680527,133.540540540541,141.414414414414,278.650034650035,84.9258489258489
400,1088,61.8952205882353,177.113051470588,187.556066176471,369.569852941176,112.636029411765
450,870,77.4045977011494,221.493103448276,234.552873563218,462.174712643678,140.859770114943
500,702,95.9287749287749,274.5,290.685185185185,572.780626780627,174.569800569801
