"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.SMA","Nexpected.Unclass"
50,122500,0.185281632653061,1.46815510204082,3.04350204081633,1.34841632653061
100,30625,0.741126530612245,5.87262040816327,12.1740081632653,5.39366530612245
150,13689,1.65804660676456,13.1382131638542,27.2356636715611,12.0666958872087
200,7569,2.99867882150879,23.7612630466376,49.2573655700885,21.8233584357247
250,4900,4.63204081632653,36.7038775510204,76.0875510204082,33.7104081632653
300,3364,6.74702734839477,53.4628418549346,110.829072532699,49.1025564803805
350,2500,9.0788,71.9396,149.1316,66.0724
400,1936,11.7236570247934,92.8972107438017,192.576962809917,85.3207644628099
450,1521,14.922419460881,118.243918474688,245.12097304405,108.600262984878
500,1225,18.5281632653061,146.815510204082,304.350204081633,134.841632653061
