"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.SMA","Nexpected.Unclass"
50,171107,0.671737567720783,2.59612990701725,7.32082264314143,3.62235326433168
100,42768,2.6875,10.3866442199776,29.2892817059484,14.4923774784886
150,19008,6.046875,23.3699494949495,65.9008838383838,32.6078493265993
200,10692,10.75,41.5465768799102,117.157126823793,57.9695099139544
250,6794,16.9177215189873,65.3835737415367,184.375036797174,91.2290256108331
300,4752,24.1875,93.479797979798,263.603535353535,130.431397306397
350,3534,32.5237691001698,125.69779286927,354.455008488964,175.384833050368
400,2700,42.57,164.524444444444,463.942222222222,229.559259259259
450,2112,54.421875,210.329545454545,593.107954545455,293.470643939394
500,1720,66.825,258.26511627907,728.281395348837,360.354651162791
