"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.SMA","Nexpected.Unclass"
50,60207,0.0663211918879864,1.38042088129287,1.64749946019566,3.05374790306775
100,14924,0.267555615116591,5.56894934333959,6.6464084695792,12.3195523988207
150,6710,0.595081967213115,12.3861400894188,14.782563338301,27.4004470938897
200,3772,1.05858960763521,22.0336691410392,26.2966595970308,48.7425768822906
250,2442,1.63513513513514,34.0339885339885,40.6187551187551,75.2895167895168
300,1650,2.42,50.370303030303,60.1157575757576,111.428484848485
350,1222,3.26759410801964,68.0122749590835,81.171031096563,150.4558101473
400,943,4.23435843054083,88.1346765641569,105.186638388123,194.970307529162
450,740,5.39594594594595,112.312162162162,134.041891891892,248.455405405405
500,594,6.72222222222222,139.917508417508,166.988215488216,309.523569023569
