"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.SMA","Nexpected.Unclass"
50,236794,0.513534971325287,4.88490840139531,5.15813745280708,3.87623419512319
100,59297,2.05072769280065,19.507175742449,20.5982764726715,15.4791810715551
150,26200,4.64129770992366,44.1495038167939,46.6189312977099,35.0331679389313
200,14850,8.18868686868687,77.8934006734007,82.2502356902357,61.8093602693603
250,9480,12.8272151898734,122.016561181435,128.84135021097,96.8216244725738
300,6600,18.4245454545455,175.260151515152,185.06303030303,139.071060606061
350,4816,25.249584717608,240.182101328904,253.616279069767,190.587416943522
400,3675,33.0889795918367,314.752925170068,332.358095238095,249.760272108844
450,2948,41.2489823609227,392.373473541384,414.320217096336,311.353120759837
500,2340,51.9666666666667,494.323504273504,521.97264957265,392.251709401709
