"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.EpCAM: SMA","Nexpected.SMA","Nexpected.Unclass"
50,4225,0.431479289940828,3.7410650887574,0.286153846153846,1.35597633136095,4.52497041420118
100,1056,1.72632575757576,14.967803030303,1.14488636363636,5.42518939393939,18.1041666666667
150,484,3.76652892561983,32.6570247933884,2.49793388429752,11.8367768595041,39.5
200,256,7.12109375,61.7421875,4.72265625,22.37890625,74.6796875
250,169,10.7869822485207,93.5266272189349,7.15384615384615,33.8994082840237,113.12426035503
300,121,15.0661157024793,130.628099173554,9.99173553719008,47.3471074380165,158
350,81,22.5061728395062,195.135802469136,14.9259259259259,70.7283950617284,236.024691358025
400,64,28.484375,246.96875,18.890625,89.515625,298.71875
450,49,37.2040816326531,322.571428571429,24.6734693877551,116.918367346939,390.163265306122
500,42,43.4047619047619,376.333333333333,28.7857142857143,136.404761904762,455.190476190476
