"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.SMA","Nexpected.Unclass"
50,137288,0.235971097255405,3.04180991783696,3.95781131635686,4.17863906532253
100,34322,0.943884389021619,12.1672396713478,15.8312452654274,16.7145562612901
150,15225,2.12781609195402,27.4288341543514,35.6886699507389,37.679934318555
200,8515,3.80458015267176,49.0433352906635,63.8120963006459,67.3725190839695
250,5460,5.93333333333333,76.4842490842491,99.5164835164835,105.069047619048
300,3828,8.46290491118077,109.091954022989,141.943573667712,149.863375130617
350,2775,11.6742342342342,150.487927927928,195.805405405405,206.73045045045
400,2178,14.8741965105601,191.737373737374,249.476584022039,263.396235078053
450,1682,19.2604042806183,248.27824019025,323.043995243757,341.06837098692
500,1352,23.9615384615385,308.878698224852,401.89349112426,424.317307692308
