"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.EpCAM: SMA","Nexpected.SMA","Nexpected.Unclass"
50,30430,0.788958264870194,3.95695037791653,0.0155438711797568,0.36036805783766,4.0714426552744
100,7650,3.13830065359477,15.7398692810458,0.0618300653594771,1.43346405228758,16.1952941176471
150,3420,7.01988304093567,35.2076023391813,0.138304093567251,3.20643274853801,36.2263157894737
200,1935,12.4072351421189,62.2273901808786,0.244444444444444,5.6671834625323,64.0279069767442
250,1224,19.6143790849673,98.3741830065359,0.386437908496732,8.95915032679738,101.220588235294
300,840,28.5809523809524,143.345238095238,0.563095238095238,13.0547619047619,147.492857142857
350,624,38.474358974359,192.964743589744,0.75801282051282,17.5737179487179,198.548076923077
400,462,51.965367965368,260.627705627706,1.02380952380952,23.7359307359307,268.168831168831
450,380,63.178947368421,316.868421052632,1.24473684210526,28.8578947368421,326.036842105263
500,306,78.4575163398693,393.496732026144,1.54575163398693,35.8366013071895,404.882352941176
