"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.EpCAM: SMA","Nexpected.SMA","Nexpected.Unclass"
50,124726,0.303769863540882,4.34732132835175,1.30947837660151,1.85962028767057,4.60526273591713
100,31106,1.21802867613965,17.4314923165949,5.25062688870314,7.45653571658201,18.4657622323667
150,13938,2.71832400631367,38.9025685177213,11.7180370210934,16.6410532357584,41.2107906442818
200,7828,4.8400613183444,69.2672457843638,20.8643331630046,29.6299182422075,73.3771078180889
250,4980,7.60803212851406,108.880321285141,32.7963855421687,46.5748995983936,115.340562248996
300,3450,10.9820289855072,157.166376811594,47.3408695652174,67.2298550724638,166.491594202899
350,2537,14.9341742215215,213.726448561293,64.3776113519905,91.4241229798975,226.407567993693
400,1976,19.1740890688259,274.404858299595,82.6548582995951,117.380060728745,290.686234817814
450,1564,24.2250639386189,346.690537084399,104.428388746803,148.301150895141,367.260869565217
500,1230,30.8032520325203,440.832520325203,132.785365853659,188.571544715447,466.988617886179
