"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.EpCAM: SMA","Nexpected.SMA","Nexpected.Unclass"
50,124845,1.57229364411871,4.70586727542152,0.000104129120108935,0.000376466818855381,4.05331410949577
100,31392,6.2529625382263,18.7150866462793,0.000414118246687054,0.00149719673802243,16.1199031600408
150,13920,14.1015086206897,42.2057471264368,0.000933908045977011,0.0033764367816092,36.3531609195402
200,7848,25.0118501529052,74.8603465851172,0.00165647298674822,0.0059887869520897,64.4796126401631
250,4959,39.5831820931639,118.472272635612,0.00262149626940916,0.00947771728171002,102.043960475902
300,3504,56.0196917808219,167.666666666667,0.00371004566210046,0.0134132420091324,144.416666666667
350,2542,77.2199055861526,231.118804091267,0.00511408339889851,0.0184893784421715,199.070023603462
400,1944,100.973765432099,302.213991769547,0.00668724279835391,0.0241769547325103,260.30658436214
450,1536,127.794921875,382.489583333333,0.00846354166666667,0.0305989583333333,329.450520833333
500,1276,153.834639498433,460.426332288401,0.0101880877742947,0.036833855799373,396.579937304075
