"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.SMA","Nexpected.Unclass"
50,20700,0.218260869565217,6.83850241545894,3.07144927536232,2.22449275362319
100,5175,0.87304347826087,27.3540096618358,12.2857971014493,8.89797101449275
150,2300,1.96434782608696,61.5465217391304,27.6430434782609,20.0204347826087
200,1330,3.39699248120301,106.433834586466,47.8037593984962,34.6218045112782
250,840,5.37857142857143,168.520238095238,75.6892857142857,54.8178571428571
300,575,7.85739130434783,246.186086956522,110.572173913043,80.0817391304348
350,420,10.7571428571429,337.040476190476,151.378571428571,109.635714285714
400,323,13.9876160990712,438.256965944272,196.839009287926,142.560371517028
450,255,17.7176470588235,555.125490196078,249.329411764706,180.576470588235
500,210,21.5142857142857,674.080952380952,302.757142857143,219.271428571429
