"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.EpCAM: SMA","Nexpected.SMA","Nexpected.Unclass"
50,1802,1.49389567147614,8.10987791342952,0.160377358490566,0.0693673695893452,4.1204217536071
100,442,6.09049773755656,33.0633484162896,0.653846153846154,0.282805429864253,16.7986425339367
150,198,13.5959595959596,73.8080808080808,1.45959595959596,0.631313131313131,37.5
200,117,23.008547008547,124.905982905983,2.47008547008547,1.06837606837607,63.4615384615385
250,77,34.961038961039,189.792207792208,3.75324675324675,1.62337662337662,96.4285714285714
300,54,49.8518518518519,270.62962962963,5.35185185185185,2.31481481481481,137.5
350,40,67.3,365.35,7.225,3.125,185.625
400,28,96.1428571428571,521.928571428571,10.3214285714286,4.46428571428571,265.178571428571
450,24,112.166666666667,608.916666666667,12.0416666666667,5.20833333333333,309.375
500,15,179.466666666667,974.266666666667,19.2666666666667,8.33333333333333,495
