"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.SMA","Nexpected.Unclass"
50,35145,2.80973111395647,4.8020202020202,0.433148385261061,2.1047659695547
100,8692,11.3607915324436,19.4163598711459,1.75138057984353,8.51035434882651
150,3905,25.2875800256082,43.2181818181818,3.89833546734955,18.9428937259923
200,2173,45.4431661297745,77.6654394845835,7.00552231937414,34.041417395306
250,1419,69.5898520084567,118.933756166314,10.7279774489077,52.1296687808316
300,945,104.495238095238,178.589417989418,16.1089947089947,78.2772486772487
350,720,137.15,234.398611111111,21.1430555555556,102.738888888889
400,567,174.15873015873,297.649029982363,26.8483245149912,130.462081128748
450,432,228.583333333333,390.664351851852,35.2384259259259,171.231481481481
500,336,293.892857142857,502.282738095238,45.3065476190476,220.154761904762
