"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.EpCAM: SMA","Nexpected.SMA","Nexpected.Unclass"
50,65800,0.609179331306991,3.76075987841945,2.09047112462006,2.51803951367781,3.10398176291793
100,16400,2.44414634146341,15.0889024390244,8.38737804878049,10.1028658536585,12.4537804878049
150,7370,5.43880597014925,33.5763907734057,18.663907734057,22.4812754409769,27.712618724559
200,4100,9.77658536585366,60.3556097560976,33.5495121951219,40.4114634146341,49.8151219512195
250,2640,15.1833333333333,93.7340909090909,52.1034090909091,62.7602272727273,77.3643939393939
300,1815,22.0848484848485,136.340495867769,75.7867768595041,91.2876033057851,112.530027548209
350,1363,29.4086573734409,181.553925165077,100.919295671313,121.560528246515,149.847395451211
400,1025,39.1063414634146,241.42243902439,134.198048780488,161.645853658537,199.260487804878
450,814,49.2432432432432,304.002457002457,168.984029484029,203.546683046683,250.911547911548
500,660,60.7333333333333,374.936363636364,208.413636363636,251.040909090909,309.457575757576
