"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.EpCAM: SMA","Nexpected.SMA","Nexpected.Unclass"
50,18755,0.608637696614236,6.13980271927486,1.42004798720341,0.916075713143162,2.15947747267395
100,4697,2.4302746433894,24.5160740898446,5.67021503087077,3.65786672344049,8.62273791781988
150,2080,5.48798076923077,55.3615384615385,12.8043269230769,8.26009615384615,19.4716346153846
200,1170,9.75641025641026,98.4205128205128,22.7632478632479,14.6846153846154,34.6162393162393
250,744,15.3427419354839,154.774193548387,35.7970430107527,23.0927419354839,54.4368279569892
300,520,21.9519230769231,221.446153846154,51.2173076923077,33.0403846153846,77.8865384615385
350,374,30.5213903743315,307.893048128342,71.2112299465241,45.9385026737968,108.291443850267
400,285,40.0526315789474,404.042105263158,93.4491228070175,60.2842105263158,142.108771929825
450,221,51.6515837104072,521.049773755656,120.511312217195,77.7420814479638,183.262443438914
500,180,63.4166666666667,639.733333333333,147.961111111111,95.45,225.005555555556
