"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.SMA","Nexpected.Unclass"
50,154025,0.284434345073852,4.65896445382243,4.05892549910729,1.66848888167505
100,38556,1.13626932254383,18.6118113912232,16.2147525676937,6.66534391534392
150,17136,2.55660597572362,41.8765756302521,36.4831932773109,14.9970238095238
200,9576,4.5749791144528,74.937030075188,65.2857142857143,26.8367794486216
250,6161,7.11085862684629,116.474111345561,101.473137477682,41.7122220418763
300,4284,10.2264239028945,167.506302521008,145.932773109244,59.9880952380952
350,3168,13.8289141414141,226.514204545455,197.340909090909,81.1202651515152
400,2394,18.2999164578112,299.748120300752,261.142857142857,107.347117794486
450,1904,23.0094537815126,376.889180672269,328.348739495798,134.973214285714
500,1550,28.2645161290323,462.965806451613,403.33935483871,165.79935483871
