"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.EpCAM: SMA","Nexpected.SMA","Nexpected.Unclass"
50,36036,0.861943611943612,3.08874458874459,1.41916416916417,2.11441336441336,4.12917637917638
100,9009,3.44777444777445,12.3549783549784,5.67665667665668,8.45765345765346,16.5167055167055
150,4026,7.71510183805266,27.6467958271237,12.7026825633383,18.9257327372081,36.9595131644312
200,2300,13.5047826086957,48.3939130434783,22.2352173913043,33.1282608695652,64.6952173913044
250,1440,21.5701388888889,77.2958333333333,35.5145833333333,52.9131944444444,103.332638888889
300,990,31.3747474747475,112.430303030303,51.6575757575758,76.9646464646465,150.30202020202
350,728,42.6662087912088,152.892857142857,70.2486263736264,104.663461538462,204.394230769231
400,575,54.0191304347826,193.575652173913,88.9408695652174,132.513043478261,258.780869565217
450,440,70.5931818181818,252.968181818182,116.229545454545,173.170454545455,338.179545454545
500,360,86.2805555555556,309.183333333333,142.058333333333,211.652777777778,413.330555555556
