"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.EpCAM: SMA","Nexpected.SMA","Nexpected.Unclass"
50,81067,1.20777875090974,4.1971085645207,0.728101446951287,2.06625383941678,3.17858068017812
100,20124,4.86538461538461,16.9075233551978,2.93306499701849,8.32364341085271,12.8045120254423
150,8944,10.9471153846154,38.041927549195,6.59939624329159,18.7281976744186,28.8101520572451
200,5070,19.3118343195266,67.1098619329389,11.6420118343195,33.0384615384615,50.8240631163708
250,3276,29.8873626373626,103.860500610501,18.0173992673993,51.1309523809524,78.6562881562882
300,2236,43.7884615384615,152.16771019678,26.3975849731664,74.9127906976744,115.24060822898
350,1665,58.8054054054054,204.352552552553,35.4504504504505,100.603603603604,154.761561561562
400,1248,78.4543269230769,272.633814102564,47.2956730769231,134.21875,206.472756410256
450,1015,96.464039408867,335.218719211823,58.1527093596059,165.029556650246,253.869950738916
500,806,121.477667493797,422.142679900744,73.2320099255583,207.822580645161,319.699751861042
