"","Var1","Var2","value","treatment","growth"
"107","EpCAM","8RCU",0.257857507750422,"LY","growing"
"108","EpCAM: SMA","8RCU",0,"LY","growing"
"109","SMA","8RCU",0.507401833149184,"LY","growing"
"110","Unclass","8RCU",0.205973857925782,"LY","growing"
"111","CD8","2N",0.0301040967138085,"Vehicle","growing"
"112","EpCAM","2N",0.313685928213308,"Vehicle","growing"
"113","EpCAM: SMA","2N",0.092148273941956,"Vehicle","growing"
"114","SMA","2N",0.196137408430651,"Vehicle","growing"
"115","Unclass","2N",0.367924292700277,"Vehicle","growing"
"116","CD8","16RD",0.0306485937592836,"PDL1","stable"
"117","EpCAM","16RD",0.242856718465585,"PDL1","stable"
"118","EpCAM: SMA","16RD",0,"PDL1","stable"
"119","SMA","16RD",0.503444709110452,"PDL1","stable"
"120","Unclass","16RD",0.223049978664679,"PDL1","stable"
"121","CD8","16LD",0.0316167665758732,"PDL1+LY","stable"
"122","EpCAM","16LD",0.354175562795616,"PDL1+LY","stable"
"123","EpCAM: SMA","16LD",0,"PDL1+LY","stable"
"124","SMA","16LD",0.411457244977132,"PDL1+LY","stable"
"125","Unclass","16LD",0.202750425651378,"PDL1+LY","stable"
"126","CD8","7RA",0.0319309795486363,"LY","stable"
"127","EpCAM","7RA",0.232309502529544,"LY","stable"
"128","EpCAM: SMA","7RA",0.193193417623739,"LY","stable"
"129","SMA","7RA",0.338371256425673,"LY","stable"
"130","Unclass","7RA",0.204194843872407,"LY","stable"
"131","CD8","7RD",0.0321690077775606,"LY","stable"
"132","EpCAM","7RD",0.255333197983413,"LY","stable"
"133","EpCAM: SMA","7RD",0,"LY","stable"
"134","SMA","7RD",0.560654157551102,"LY","stable"
"135","Unclass","7RD",0.151843636687924,"LY","stable"
"136","CD8","15RD",0.0328312348073089,"PDL1+LY","growing"
"137","EpCAM","15RD",0.149980881107803,"PDL1+LY","growing"
"138","EpCAM: SMA","15RD",0,"PDL1+LY","growing"
"139","SMA","15RD",0,"PDL1+LY","growing"
"140","Unclass","15RD",0.817187884084888,"PDL1+LY","growing"
"141","CD8","5LD",0.0348107762848735,"Vehicle","stable"
"142","EpCAM","5LD",0.237492099743837,"Vehicle","stable"
"143","EpCAM: SMA","5LD",0.00956350329898595,"Vehicle","stable"
"144","SMA","5LD",0.0727252965195933,"Vehicle","stable"
"145","Unclass","5LD",0.64540832415271,"Vehicle","stable"
"146","CD8","13NA",0.0355810679060535,"Vehicle","growing"
"147","EpCAM","13NA",0.338458463882884,"Vehicle","growing"
"148","EpCAM: SMA","13NA",0,"Vehicle","growing"
"149","SMA","13NA",0.35738956298038,"Vehicle","growing"
"150","Unclass","13NA",0.268570905230682,"Vehicle","growing"
"151","CD8","17RB",0.0411073596330847,"Vehicle","growing"
"152","EpCAM","17RB",0.660611956857736,"Vehicle","growing"
"153","EpCAM: SMA","17RB",0.12023329986557,"Vehicle","growing"
"154","SMA","17RB",0.0539738376342205,"Vehicle","growing"
"155","Unclass","17RB",0.124073546009389,"Vehicle","growing"
"161","CD8","5LA",0.0453951787168959,"Vehicle","stable"
"162","EpCAM","5LA",0.348773829788185,"Vehicle","stable"
"163","EpCAM: SMA","5LA",0,"Vehicle","stable"
"164","SMA","5LA",0.477254010165589,"Vehicle","stable"
"165","Unclass","5LA",0.12857698132933,"Vehicle","stable"
"171","CD8","17NA",0.0472687015058753,"Vehicle","growing"
"172","EpCAM","17NA",0.182683975918826,"Vehicle","growing"
"173","EpCAM: SMA","17NA",0,"Vehicle","growing"
"174","SMA","17NA",0.515150256476267,"Vehicle","growing"
"175","Unclass","17NA",0.254897066099032,"Vehicle","growing"
"176","CD8","16LC",0.0476926119861338,"PDL1+LY","stable"
"177","EpCAM","16LC",0.477450786479425,"PDL1+LY","stable"
"178","EpCAM: SMA","16LC",0,"PDL1+LY","stable"
"179","SMA","16LC",0.239858006891454,"PDL1+LY","stable"
"180","Unclass","16LC",0.234998594642987,"PDL1+LY","stable"
"181","CD8","7NC",0.0479456512895615,"LY","growing"
"182","EpCAM","7NC",0.140550899935816,"LY","growing"
"183","EpCAM: SMA","7NC",0,"LY","growing"
"184","SMA","7NC",0.735945452408718,"LY","growing"
"185","Unclass","7NC",0.0755579963659046,"LY","growing"
"186","CD8","11RC",0.050418603715108,"PDL1","growing"
"187","EpCAM","11RC",0.311258528044436,"PDL1","growing"
"188","EpCAM: SMA","11RC",0.173017418342088,"PDL1","growing"
