"","Grid","NearestNeighbor","Reference","value","SpatialManual","Treatment","knn"
"2032","knn3-15","SMA","CD8",0.472341092036002,"restricted","PDL1","knn3"
"2047","knn3-15","Unclass","CD8",0.287748857451319,"restricted","PDL1","knn3"
"2362","knn3-15","CD8","CD8",0.169500822819528,"Infiltrating","PDL1","knn3"
"2377","knn3-15","EpCAM","CD8",0.411958310477235,"Infiltrating","PDL1","knn3"
"2392","knn3-15","EpCAM: SMA","CD8",0.0142622051563357,"Infiltrating","PDL1","knn3"
"2407","knn3-15","SMA","CD8",0.157981349424026,"Infiltrating","PDL1","knn3"
"2422","knn3-15","Unclass","CD8",0.579813494240263,"Infiltrating","PDL1","knn3"
"2737","knn3-15","CD8","CD8",0.692943711696291,NA,"PDL1","knn3"
"2752","knn3-15","EpCAM","CD8",0.208010474138151,NA,"PDL1","knn3"
"2767","knn3-15","EpCAM: SMA","CD8",0,NA,"PDL1","knn3"
"2782","knn3-15","SMA","CD8",1.01888503410718e-05,NA,"PDL1","knn3"
"2797","knn3-15","Unclass","CD8",0.577473470780924,NA,"PDL1","knn3"
"3112","knn3-15","CD8","CD8",0.895123167921705,"Infiltrating","PDL1","knn3"
"3127","knn3-15","EpCAM","CD8",0.4326199016557,"Infiltrating","PDL1","knn3"
"3142","knn3-15","EpCAM: SMA","CD8",0.0146566263629237,"Infiltrating","PDL1","knn3"
"3157","knn3-15","SMA","CD8",0.00798156638240255,"Infiltrating","PDL1","knn3"
"3172","knn3-15","Unclass","CD8",0.276599282609212,"Infiltrating","PDL1","knn3"
"3487","knn3-15","CD8","CD8",0.789417223829957,"restricted","PDL1","knn3"
"3502","knn3-15","EpCAM","CD8",0.0386687955293883,"restricted","PDL1","knn3"
"3517","knn3-15","EpCAM: SMA","CD8",0.0222283205268935,"restricted","PDL1","knn3"
"3532","knn3-15","SMA","CD8",0.05326314739048,"restricted","PDL1","knn3"
"3547","knn3-15","Unclass","CD8",0.428649835345774,"restricted","PDL1","knn3"
"3862","knn3-15","CD8","CD8",0.26605627662072,"restricted","PDL1","knn3"
"3877","knn3-15","EpCAM","CD8",0.232350672435188,"restricted","PDL1","knn3"
"3892","knn3-15","EpCAM: SMA","CD8",0.125129959419123,"restricted","PDL1","knn3"
"3907","knn3-15","SMA","CD8",0.344769762216185,"restricted","PDL1","knn3"
"3922","knn3-15","Unclass","CD8",0.443371231176845,"restricted","PDL1","knn3"
"4237","knn3-15","CD8","CD8",0.511887072808321,"Infiltrating","PDL1","knn3"
"4252","knn3-15","EpCAM","CD8",0.434249628528975,"Infiltrating","PDL1","knn3"
"4267","knn3-15","EpCAM: SMA","CD8",0.0115156017830609,"Infiltrating","PDL1","knn3"
"4282","knn3-15","SMA","CD8",0.00185735512630015,"Infiltrating","PDL1","knn3"
"4297","knn3-15","Unclass","CD8",0.540118870728083,"Infiltrating","PDL1","knn3"
"4612","knn3-15","CD8","CD8",0.107865168539326,"Infiltrating","PDL1","knn3"
"4627","knn3-15","EpCAM","CD8",0.83623595505618,"Infiltrating","PDL1","knn3"
"4642","knn3-15","EpCAM: SMA","CD8",0.0230337078651685,"Infiltrating","PDL1","knn3"
"4657","knn3-15","SMA","CD8",0.000280898876404494,"Infiltrating","PDL1","knn3"
"4672","knn3-15","Unclass","CD8",0.389606741573034,"Infiltrating","PDL1","knn3"
"4987","knn3-15","CD8","CD8",0.467845923586783,"restricted","Vehicle","knn3"
"5002","knn3-15","EpCAM","CD8",0.12793375108962,"restricted","Vehicle","knn3"
"5017","knn3-15","SMA","CD8",0.484983799608559,"restricted","Vehicle","knn3"
"5032","knn3-15","Unclass","CD8",0.260538477985559,"restricted","Vehicle","knn3"
"5227","knn3-15","CD8","CD8",0.505367119118383,"restricted","PDL1+LY","knn3"
"5242","knn3-15","EpCAM","CD8",0.254006189294359,"restricted","PDL1+LY","knn3"
"5257","knn3-15","EpCAM: SMA","CD8",0.0380039015023848,"restricted","PDL1+LY","knn3"
"5272","knn3-15","SMA","CD8",0.248899510780198,"restricted","PDL1+LY","knn3"
"5287","knn3-15","Unclass","CD8",0.543044193195862,"restricted","PDL1+LY","knn3"
"5602","knn3-15","CD8","CD8",0.420674551029347,"restricted","PDL1+LY","knn3"
"5617","knn3-15","EpCAM","CD8",0.393517301795883,"restricted","PDL1+LY","knn3"
"5632","knn3-15","EpCAM: SMA","CD8",0.118615856329391,"restricted","PDL1+LY","knn3"
"5647","knn3-15","SMA","CD8",0.123959702146299,"restricted","PDL1+LY","knn3"
"5662","knn3-15","Unclass","CD8",0.495575996495839,"restricted","PDL1+LY","knn3"
"5977","knn3-15","CD8","CD8",0.121695533272562,"Infiltrating","PDL1+LY","knn3"
"5992","knn3-15","EpCAM","CD8",0.5,"Infiltrating","PDL1+LY","knn3"
"6007","knn3-15","EpCAM: SMA","CD8",0.192798541476755,"Infiltrating","PDL1+LY","knn3"
"6022","knn3-15","SMA","CD8",0.168185961713765,"Infiltrating","PDL1+LY","knn3"
"6037","knn3-15","Unclass","CD8",0.479945305378304,"Infiltrating","PDL1+LY","knn3"
"6352","knn3-15","CD8","CD8",0.106456692913386,"restricted","PDL1+LY","knn3"
"6367","knn3-15","EpCAM","CD8",0.222677165354331,"restricted","PDL1+LY","knn3"
"6382","knn3-15","EpCAM: SMA","CD8",0.0332283464566929,"restricted","PDL1+LY","knn3"
"6397","knn3-15","SMA","CD8",0.461574803149606,"restricted","PDL1+LY","knn3"
"6412","knn3-15","Unclass","CD8",0.650236220472441,"restricted","PDL1+LY","knn3"
"6727","knn3-15","CD8","CD8",0.134485349361382,"restricted","PDL1+LY","knn3"
"6742","knn3-15","EpCAM","CD8",0.129977460555973,"restricted","PDL1+LY","knn3"
"6757","knn3-15","SMA","CD8",0.36839469070874,"restricted","PDL1+LY","knn3"
"6772","knn3-15","Unclass","CD8",0.300525920360631,"restricted","PDL1+LY","knn3"
"6967","knn3-15","CD8","CD8",0.0286054827175209,"Infiltrating","PDL1+LY","knn3"
"6982","knn3-15","EpCAM","CD8",0.602502979737783,"Infiltrating","PDL1+LY","knn3"
"6997","knn3-15","EpCAM: SMA","CD8",0.0643623361144219,"Infiltrating","PDL1+LY","knn3"
"7012","knn3-15","SMA","CD8",0.187723480333731,"Infiltrating","PDL1+LY","knn3"
"7027","knn3-15","Unclass","CD8",0.49284862932062,"Infiltrating","PDL1+LY","knn3"
"7342","knn3-15","CD8","CD8",0.221662992388004,"restricted","PDL1+LY","knn3"
"7357","knn3-15","EpCAM","CD8",0.157896926084605,"restricted","PDL1+LY","knn3"
"7372","knn3-15","Unclass","CD8",0.881910070296577,"restricted","PDL1+LY","knn3"
"7477","knn3-15","CD8","CD8",0.353618689756576,"Infiltrating","PDL1+LY","knn3"
"7492","knn3-15","EpCAM","CD8",0.275036758699559,"Infiltrating","PDL1+LY","knn3"
"7507","knn3-15","SMA","CD8",0.448047704623428,"Infiltrating","PDL1+LY","knn3"
"7522","knn3-15","Unclass","CD8",0.301829766378043,"Infiltrating","PDL1+LY","knn3"
"7717","knn3-15","CD8","CD8",0.654297812895621,"Infiltrating","PDL1+LY","knn3"
"7732","knn3-15","EpCAM","CD8",0.241148993757367,"Infiltrating","PDL1+LY","knn3"
"7747","knn3-15","SMA","CD8",0.12934910725979,"Infiltrating","PDL1+LY","knn3"
"7762","knn3-15","Unclass","CD8",0.363513336534684,"Infiltrating","PDL1+LY","knn3"
"7957","knn3-15","CD8","CD8",0.242000603456946,"Infiltrating","PDL1+LY","knn3"
"7972","knn3-15","EpCAM","CD8",0.300162358654578,"Infiltrating","PDL1+LY","knn3"
