"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Fdxacb1",110.291786957163,-0.281388847444686,0.28405707798036,-0.990606709909695,0.321877659986301,0.662975654139521
"2","Mrpl52",978.215766027549,-0.323856827286876,0.142479912234435,-2.27299990720099,0.0230261855318665,0.238546848320274
"3","Rrlt",8.54983215765053,0.951658605247143,0.724718004841535,1.3131433176622,0.18913465966363,NA
"4","Ensa",1029.5887452027,-0.0991001864009309,0.108319959654995,-0.914883893204634,0.360252586577377,0.694356813545539
"5","Tpm1",4451.09232968657,-0.202004434258869,0.206342553249952,-0.978976130115884,0.327591773818942,0.666541656584162
"6","Efhd2",1868.64349990801,0.448075937605784,0.231454351975004,1.93591493865786,0.0528781198072933,0.333797593611557
"7","Aaas",233.451490353749,-0.0652087812347542,0.243162777511539,-0.268169256421904,0.788569038363887,0.927809860473866
"8","Ubl4a",518.320347908911,-0.0457242221532977,0.171217059840016,-0.267054125307502,0.789427487867324,0.928493300603445
"9","Otub1",1834.37886481255,-0.155715534965201,0.137188842882729,-1.135045180739,0.256356388502151,0.606015632183531
"10","Bach1",94.904662139142,0.160537675616266,0.294001972193111,0.546042852769773,0.585036480867066,0.835749631304718
"11","Xcr1",5.05732680295767,2.96248938411135,1.36478719609792,2.17066029970199,0.0299568602926294,NA
"12","Csf3",329.509478007793,2.26453277100725,0.748057179525289,3.02721881827844,0.00246815219717028,0.0997698310670669
"13","Eloa",1252.42285423568,-0.043105356020792,0.168536444529669,-0.255762818190957,0.798133985937949,0.931294030536382
"14","Cox4i1",1389.14649728323,-0.207135623920393,0.1815481427379,-1.14094047340068,0.25389469527755,0.603113246301811
"15","Arg1",563.09567534364,0.156971078667989,0.459714528010395,0.341453378354924,0.732762296770237,0.903152885526265
"16","Thbs4",4.63218523225596,0.651576282511869,1.3554721228959,0.480700614572439,0.630729294291054,NA
"17","Rcn2",1563.91699887125,0.131640910478126,0.197901651071641,0.665183487683342,0.50593314052211,0.791256548894208
"18","Neu2",43.8943105639865,0.226823129677369,0.690997895531505,0.328254443528949,0.742719286231223,0.908039478232252
"19","Inhba",45.0423069825165,-0.434679363323998,0.820758287073647,-0.529607035554664,0.596384415334752,0.841614063828468
"20","Fdx1",519.550335132309,-0.182415981675851,0.171085942579123,-1.06622425504941,0.286322280224339,0.631621033645029
"21","Cd63",9162.47340436268,-0.238952828338176,0.265094249122938,-0.901388201097341,0.367381952562792,0.701528266616765
"22","Vdr",548.393162242096,0.582788958231306,0.328873174324228,1.77207812534065,0.0763815895203616,0.378887420087409
"23","Tbxa2r",26.8534812438817,-0.233390118650638,0.665936544600474,-0.350469005707833,0.725986746820145,NA
"24","Cd37",62.5620213924683,1.15427454071582,0.7218291242225,1.5990966587267,0.109799127000459,0.436457632955175
