"","C2N__Ep","C2R__Ep","C5R__Ep","NMU12_RL_Ep","NMU10_LL_Ep","NMU12_LA_Ep","NMU13_LAU_Ep","NMU13_LLU_Ep","NMU14__Ep","NMU7_RLU_Ep"
"Cd276",11.6997826915726,11.4778871356889,9.93544190251218,9.61244507807988,10.0052784540863,8.76840019125073,5.14049505159838,9.39607289381465,9.78917909993613,9.5687357157011
"Ceacam1",8.73449822476246,9.90597755667869,9.96600634232705,9.47732231122181,10.3709101214131,8.66564557181829,9.55292175313114,9.45715871842868,10.9384153536342,11.569797657021
"Cd47",12.1299128304961,11.6530763941959,11.2735258979045,10.6182630926651,11.3737561362875,10.3206610731458,10.2954635735049,10.8999702844498,11.5591423775652,11.2283184325405
"Cd200",11.1665585045704,11.8590665501506,13.255893374843,12.301159370321,12.2014481795762,12.4352097654096,10.4898670590116,11.3157463272834,13.2082798770793,11.5894927980528
"Cd274",7.46403004364527,7.64512390556759,8.19071167851704,8.07256741761599,9.18147025849889,5.60703425328839,5.61525883906465,7.61200764376612,8.95765051201838,6.59297477825239
"Cd70",6.74589372156546,5.95752270116599,5.52634155014862,5.9311624448308,5.14049505159838,5.94175240018023,5.14049505159838,5.14049505159838,5.33863448328132,5.14049505159838
"Cd40",9.08331964436562,8.70703632448282,7.73157050535244,6.89558798047152,7.32395888308928,5.47110352273608,5.14049505159838,5.14049505159838,5.14049505159838,6.8594193518328
"Cd48",12.4274622548872,12.0877804051718,10.8747141865381,9.91150129358039,11.2432255727317,6.53036437242388,5.14049505159838,5.3377660745807,8.58685726339545,7.10990866859181
"Tnfsf9",10.0474585787492,9.03826996346849,6.54522657289141,6.44849463719643,6.91266193701449,5.79746848947901,5.14049505159838,5.14049505159838,5.14049505159838,5.14049505159838
"Cd80",7.01078908258786,6.07111860782196,6.12663369213775,7.13804741116381,6.03820729727869,5.7106616595366,5.14049505159838,5.14049505159838,5.14049505159838,5.14049505159838
"Tnfrsf14",8.51279921903105,6.23879678219769,6.12663369213775,6.7418151920612,5.14049505159838,5.14049505159838,5.61525883906465,5.14049505159838,5.66228615923684,5.32540694962939
"Pvr",10.4342601757183,11.8232185270335,12.0021224541822,10.6096878348898,13.2859747734663,9.14709448424546,9.68740009756891,11.6347947470365,11.2205858027513,11.6569006514287
