"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean.1","log2FoldChange.1","lfcSE.1","stat.1","pvalue.1","padj.1","baseMean.2","log2FoldChange.2","lfcSE.2","stat.2","pvalue.2","padj.2"
"Csf3",36.45154795502,-1.3795452184123,1.89704786954176,-0.727206329667121,0.467099569285505,0.710716961351597,36.45154795502,0.0349509782994516,1.89269972594262,0.0184662034977815,0.98526693866787,0.992696148553821,36.45154795502,0.49481022607415,1.80316787631883,0.27441162443749,0.783768310754294,0.878527342516259
"Eloa",1772.64759051217,0.21895556537826,0.135096685650095,1.62073232459131,0.105075057980459,0.331654986167876,1772.64759051217,0.266779025417711,0.134992512567881,1.97625053673671,0.0481264087223809,0.19153355063255,1772.64759051217,0.319550194008575,0.128697701871388,2.48295182712674,0.0130298707105016,0.0714227626572273
"Cox4i1",3553.98368212552,-0.445190316311275,0.269305481709553,-1.65310528952178,0.0983094370135738,0.320794766523227,3553.98368212552,-0.619046795876553,0.269299059132379,-2.29873360074477,0.0215200712935845,0.121115462446344,3553.98368212552,-0.695326601637566,0.256650312426737,-2.70923730839429,0.00674380850990117,0.0477565569719856
"Arg1",210.898187296765,-0.593033171190509,0.81431797561167,-0.728257497625612,0.466455974751004,0.710208541248665,210.898187296765,-1.89398494742436,0.815422321395123,-2.32270431864546,0.0201950421204767,0.116567708366704,210.898187296765,-0.200456074283536,0.775720053473289,-0.258412907318811,0.796088256207869,0.886402425127295
"Rcn2",803.16615176827,-0.134143326540972,0.24913550557897,-0.538435203080485,0.590276628343619,0.797093988102491,803.16615176827,-0.450531891527579,0.249186853290362,-1.80800827001335,0.0706052134634579,0.233973059224396,803.16615176827,-0.410181136257879,0.23755616907854,-1.726670108585,0.0842269269175022,0.228478332846262
"Inhba",30.5550128310058,0.733745951990359,0.954891929424724,0.76840732378208,0.442245230655221,0.689531902356846,30.5550128310058,0.927292987523537,0.952553160204853,0.973481613691898,0.330313993928576,0.559344527227923,30.5550128310058,0.918302027314217,0.907386410692396,1.01202973341147,0.311523837070711,0.514437405950403
"Fdx1",630.147394694334,0.277245385354378,0.357170286193889,0.77622746368066,0.437614693002574,0.685881508787762,630.147394694334,0.0622892583168893,0.357164587324467,0.174399312046865,0.861551654942773,0.932096775973704,630.147394694334,-0.16626339949003,0.340519275867972,-0.488264281269335,0.625362658192342,0.776349848157131
"Cd63",5767.11221376046,-1.29983272758934,0.500338018059629,-2.59790917474201,0.00937932990076718,0.101572269744615,5767.11221376046,-1.32340637799224,0.500326122347438,-2.6450875116875,0.00816697924437262,0.0703002694327709,5767.11221376046,-1.08661919946125,0.476775201309048,-2.27910175797272,0.0226610170483605,0.100789340003161
"Vdr",644.688126465627,0.933891886961288,0.354247279446908,2.63627116182625,0.00838227173561937,0.0958154254116732,644.688126465627,0.832938430374528,0.354200476033295,2.35160166836205,0.0186927804929512,0.111552142315481,644.688126465627,0.990491364073952,0.337560714351518,2.93426136977097,0.00334342533502758,0.0303305955691546
"Tnp2",3.6204782237507,-0.930877053217127,1.14364657801409,-0.813955177335961,0.415670629175396,NA,3.6204782237507,-1.52449937292414,1.15915604576541,-1.31518045261756,0.188449263022423,NA,3.6204782237507,-0.577711290288564,1.06425531002731,-0.542831484931691,0.58724583316291,NA
"Tbxa2r",78.0162631637265,0.332951316802826,0.528626986808409,0.629841693881395,0.528798163699693,0.753288759051974,78.0162631637265,0.249920913095089,0.528298452333364,0.473067660886096,0.636164907916053,0.798604818633865,78.0162631637265,0.627836289860224,0.503150358794775,1.24781047829145,0.212100470493423,0.409976885665131
"Cd37",5530.50159625554,-0.105046302796658,0.114439369452258,-0.917921020532021,0.358660215793305,0.621427264658474,5530.50159625554,-0.0220647165350386,0.114391236712987,-0.192888171935757,0.847046548511686,0.924737726120832,5530.50159625554,-0.00970619313593034,0.109032131603643,-0.0890214012435763,0.929064901910138,0.964823281997824
"Areg",273.782928311486,0.121903481970997,0.619703363907453,0.196712635546064,0.844052421559674,0.928838616847711,273.782928311486,0.0413999847355617,0.619614572384136,0.066815705409032,0.946728420241404,0.974087070541463,273.782928311486,0.193653255724996,0.590453352662945,0.327973843914375,0.742931439290705,0.852476762379024
"Casp12",12.5427348056098,-0.266525937502091,0.792717835424419,-0.336217914611942,0.736706544569614,0.878969615971725,12.5427348056098,-1.39854331029369,0.805207028576768,-1.73687419590172,0.082409379019697,0.254517435032414,12.5427348056098,-0.245917268088153,0.754981129043752,-0.325726377293203,0.744631385480829,0.853137599245168
