"","cell_type","variable","value","growth","treatment","cell_type2","sdat"
"79","Monocyte_CIBERSORT","10R_BU_CD45",0.0376515067555502,NA,"PDL1","Mono","10R_BU_CD45.Mono"
"80","Macrophage M0_CIBERSORT","10R_BU_CD45",0,NA,"PDL1","Macr","10R_BU_CD45.Macr"
"81","Macrophage M1_CIBERSORT","10R_BU_CD45",0,NA,"PDL1","Macr","10R_BU_CD45.Macr"
"82","Macrophage M2_CIBERSORT","10R_BU_CD45",0.0847557388634889,NA,"PDL1","Macr","10R_BU_CD45.Macr"
"83","Myeloid dendritic cell resting_CIBERSORT","10R_BU_CD45",0,NA,"PDL1","Myel","10R_BU_CD45.Myel"
"84","Myeloid dendritic cell activated_CIBERSORT","10R_BU_CD45",0.0192527016886633,NA,"PDL1","Myel","10R_BU_CD45.Myel"
"85","Mast cell activated_CIBERSORT","10R_BU_CD45",0,NA,"PDL1","Mast","10R_BU_CD45.Mast"
"86","Mast cell resting_CIBERSORT","10R_BU_CD45",0.0105175891122285,NA,"PDL1","Mast","10R_BU_CD45.Mast"
"87","Eosinophil_CIBERSORT","10R_BU_CD45",0,NA,"PDL1","Eosi","10R_BU_CD45.Eosi"
"88","Neutrophil_CIBERSORT","10R_BU_CD45",0,NA,"PDL1","Neut","10R_BU_CD45.Neut"
"89","B cell naive_CIBERSORT","11L_B_CD45",0,"growing","PDL1","B ce","11L_B_CD45.B ce"
"90","B cell memory_CIBERSORT","11L_B_CD45",0.0907948548003172,"growing","PDL1","B ce","11L_B_CD45.B ce"
"91","B cell plasma_CIBERSORT","11L_B_CD45",0,"growing","PDL1","B ce","11L_B_CD45.B ce"
"92","T cell CD8+_CIBERSORT","11L_B_CD45",0.215569898862105,"growing","PDL1","T CD8","11L_B_CD45.T CD8"
"93","T cell CD4+ naive_CIBERSORT","11L_B_CD45",0,"growing","PDL1","T CD4","11L_B_CD45.T CD4"
"94","T cell CD4+ memory resting_CIBERSORT","11L_B_CD45",0.0247446086635287,"growing","PDL1","T CD4","11L_B_CD45.T CD4"
"95","T cell CD4+ memory activated_CIBERSORT","11L_B_CD45",0.0223360097524694,"growing","PDL1","T CD4","11L_B_CD45.T CD4"
"96","T cell follicular helper_CIBERSORT","11L_B_CD45",0.173987936758372,"growing","PDL1","T ce","11L_B_CD45.T ce"
"97","T cell regulatory (Tregs)_CIBERSORT","11L_B_CD45",0.184058525122998,"growing","PDL1","T ce","11L_B_CD45.T ce"
"98","T cell gamma delta_CIBERSORT","11L_B_CD45",0,"growing","PDL1","T ce","11L_B_CD45.T ce"
"99","NK cell resting_CIBERSORT","11L_B_CD45",0,"growing","PDL1","NK c","11L_B_CD45.NK c"
"100","NK cell activated_CIBERSORT","11L_B_CD45",0.0907727331574883,"growing","PDL1","NK c","11L_B_CD45.NK c"
"101","Monocyte_CIBERSORT","11L_B_CD45",0.0823247329549213,"growing","PDL1","Mono","11L_B_CD45.Mono"
"102","Macrophage M0_CIBERSORT","11L_B_CD45",0,"growing","PDL1","Macr","11L_B_CD45.Macr"
"103","Macrophage M1_CIBERSORT","11L_B_CD45",0,"growing","PDL1","Macr","11L_B_CD45.Macr"
"104","Macrophage M2_CIBERSORT","11L_B_CD45",0.0591306707270405,"growing","PDL1","Macr","11L_B_CD45.Macr"
"105","Myeloid dendritic cell resting_CIBERSORT","11L_B_CD45",0.00361126683886247,"growing","PDL1","Myel","11L_B_CD45.Myel"
"106","Myeloid dendritic cell activated_CIBERSORT","11L_B_CD45",0.018707002444604,"growing","PDL1","Myel","11L_B_CD45.Myel"
"107","Mast cell activated_CIBERSORT","11L_B_CD45",0,"growing","PDL1","Mast","11L_B_CD45.Mast"
"108","Mast cell resting_CIBERSORT","11L_B_CD45",0.0339617599172928,"growing","PDL1","Mast","11L_B_CD45.Mast"
"109","Eosinophil_CIBERSORT","11L_B_CD45",0,"growing","PDL1","Eosi","11L_B_CD45.Eosi"
"110","Neutrophil_CIBERSORT","11L_B_CD45",0,"growing","PDL1","Neut","11L_B_CD45.Neut"
"111","B cell naive_CIBERSORT","11N_D_CD45",0.08226513592904,"stable","PDL1","B ce","11N_D_CD45.B ce"
"112","B cell memory_CIBERSORT","11N_D_CD45",0,"stable","PDL1","B ce","11N_D_CD45.B ce"
"113","B cell plasma_CIBERSORT","11N_D_CD45",0,"stable","PDL1","B ce","11N_D_CD45.B ce"
"114","T cell CD8+_CIBERSORT","11N_D_CD45",0.282664182266332,"stable","PDL1","T CD8","11N_D_CD45.T CD8"
"115","T cell CD4+ naive_CIBERSORT","11N_D_CD45",0,"stable","PDL1","T CD4","11N_D_CD45.T CD4"
"116","T cell CD4+ memory resting_CIBERSORT","11N_D_CD45",0,"stable","PDL1","T CD4","11N_D_CD45.T CD4"
"117","T cell CD4+ memory activated_CIBERSORT","11N_D_CD45",0.0948197368841599,"stable","PDL1","T CD4","11N_D_CD45.T CD4"
"118","T cell follicular helper_CIBERSORT","11N_D_CD45",0.203016814342266,"stable","PDL1","T ce","11N_D_CD45.T ce"
"119","T cell regulatory (Tregs)_CIBERSORT","11N_D_CD45",0.122800337023621,"stable","PDL1","T ce","11N_D_CD45.T ce"
"120","T cell gamma delta_CIBERSORT","11N_D_CD45",0,"stable","PDL1","T ce","11N_D_CD45.T ce"
"121","NK cell resting_CIBERSORT","11N_D_CD45",0,"stable","PDL1","NK c","11N_D_CD45.NK c"
"122","NK cell activated_CIBERSORT","11N_D_CD45",0.0542888254870419,"stable","PDL1","NK c","11N_D_CD45.NK c"
"123","Monocyte_CIBERSORT","11N_D_CD45",0.0104103988989434,"stable","PDL1","Mono","11N_D_CD45.Mono"
"124","Macrophage M0_CIBERSORT","11N_D_CD45",0,"stable","PDL1","Macr","11N_D_CD45.Macr"
"125","Macrophage M1_CIBERSORT","11N_D_CD45",0.00522856764818878,"stable","PDL1","Macr","11N_D_CD45.Macr"
"126","Macrophage M2_CIBERSORT","11N_D_CD45",0.039378718985174,"stable","PDL1","Macr","11N_D_CD45.Macr"
"127","Myeloid dendritic cell resting_CIBERSORT","11N_D_CD45",0.00414502306587851,"stable","PDL1","Myel","11N_D_CD45.Myel"
"128","Myeloid dendritic cell activated_CIBERSORT","11N_D_CD45",0.0123476309758248,"stable","PDL1","Myel","11N_D_CD45.Myel"
"129","Mast cell activated_CIBERSORT","11N_D_CD45",0,"stable","PDL1","Mast","11N_D_CD45.Mast"
"130","Mast cell resting_CIBERSORT","11N_D_CD45",0.0713086390697974,"stable","PDL1","Mast","11N_D_CD45.Mast"
"131","Eosinophil_CIBERSORT","11N_D_CD45",0.0173259894237327,"stable","PDL1","Eosi","11N_D_CD45.Eosi"
"132","Neutrophil_CIBERSORT","11N_D_CD45",0,"stable","PDL1","Neut","11N_D_CD45.Neut"
"133","B cell naive_CIBERSORT","11R_D_CD45",0.185625504146764,"growing","PDL1","B ce","11R_D_CD45.B ce"
"134","B cell memory_CIBERSORT","11R_D_CD45",0,"growing","PDL1","B ce","11R_D_CD45.B ce"
"135","B cell plasma_CIBERSORT","11R_D_CD45",0.00455759007857535,"growing","PDL1","B ce","11R_D_CD45.B ce"
"136","T cell CD8+_CIBERSORT","11R_D_CD45",0.179727681351566,"growing","PDL1","T CD8","11R_D_CD45.T CD8"
"137","T cell CD4+ naive_CIBERSORT","11R_D_CD45",0,"growing","PDL1","T CD4","11R_D_CD45.T CD4"
"138","T cell CD4+ memory resting_CIBERSORT","11R_D_CD45",0,"growing","PDL1","T CD4","11R_D_CD45.T CD4"
"139","T cell CD4+ memory activated_CIBERSORT","11R_D_CD45",0.0912910024314773,"growing","PDL1","T CD4","11R_D_CD45.T CD4"
"140","T cell follicular helper_CIBERSORT","11R_D_CD45",0.20083058650933,"growing","PDL1","T ce","11R_D_CD45.T ce"
"141","T cell regulatory (Tregs)_CIBERSORT","11R_D_CD45",0.152644878000751,"growing","PDL1","T ce","11R_D_CD45.T ce"
"142","T cell gamma delta_CIBERSORT","11R_D_CD45",0,"growing","PDL1","T ce","11R_D_CD45.T ce"
"143","NK cell resting_CIBERSORT","11R_D_CD45",0,"growing","PDL1","NK c","11R_D_CD45.NK c"
"144","NK cell activated_CIBERSORT","11R_D_CD45",0.0326364424712774,"growing","PDL1","NK c","11R_D_CD45.NK c"
"145","Monocyte_CIBERSORT","11R_D_CD45",0.0136267796454182,"growing","PDL1","Mono","11R_D_CD45.Mono"
"146","Macrophage M0_CIBERSORT","11R_D_CD45",0,"growing","PDL1","Macr","11R_D_CD45.Macr"
"147","Macrophage M1_CIBERSORT","11R_D_CD45",0,"growing","PDL1","Macr","11R_D_CD45.Macr"
"148","Macrophage M2_CIBERSORT","11R_D_CD45",0.0301331171446492,"growing","PDL1","Macr","11R_D_CD45.Macr"
"149","Myeloid dendritic cell resting_CIBERSORT","11R_D_CD45",0.010400779392614,"growing","PDL1","Myel","11R_D_CD45.Myel"
"150","Myeloid dendritic cell activated_CIBERSORT","11R_D_CD45",0.0238296198738306,"growing","PDL1","Myel","11R_D_CD45.Myel"
"151","Mast cell activated_CIBERSORT","11R_D_CD45",0,"growing","PDL1","Mast","11R_D_CD45.Mast"
"152","Mast cell resting_CIBERSORT","11R_D_CD45",0.0583835189245964,"growing","PDL1","Mast","11R_D_CD45.Mast"
"153","Eosinophil_CIBERSORT","11R_D_CD45",0.0163125000291511,"growing","PDL1","Eosi","11R_D_CD45.Eosi"
"154","Neutrophil_CIBERSORT","11R_D_CD45",0,"growing","PDL1","Neut","11R_D_CD45.Neut"
"155","B cell naive_CIBERSORT","11R_C_CD45",0.178156366510154,"growing","PDL1","B ce","11R_C_CD45.B ce"
"156","B cell memory_CIBERSORT","11R_C_CD45",0,"growing","PDL1","B ce","11R_C_CD45.B ce"
"157","B cell plasma_CIBERSORT","11R_C_CD45",0,"growing","PDL1","B ce","11R_C_CD45.B ce"
"158","T cell CD8+_CIBERSORT","11R_C_CD45",0.219631470367655,"growing","PDL1","T CD8","11R_C_CD45.T CD8"
"159","T cell CD4+ naive_CIBERSORT","11R_C_CD45",0,"growing","PDL1","T CD4","11R_C_CD45.T CD4"
"160","T cell CD4+ memory resting_CIBERSORT","11R_C_CD45",0,"growing","PDL1","T CD4","11R_C_CD45.T CD4"
"161","T cell CD4+ memory activated_CIBERSORT","11R_C_CD45",0.0254642051808309,"growing","PDL1","T CD4","11R_C_CD45.T CD4"
"162","T cell follicular helper_CIBERSORT","11R_C_CD45",0.167110630603173,"growing","PDL1","T ce","11R_C_CD45.T ce"
"163","T cell regulatory (Tregs)_CIBERSORT","11R_C_CD45",0.157385547868781,"growing","PDL1","T ce","11R_C_CD45.T ce"
"164","T cell gamma delta_CIBERSORT","11R_C_CD45",0,"growing","PDL1","T ce","11R_C_CD45.T ce"
"165","NK cell resting_CIBERSORT","11R_C_CD45",0,"growing","PDL1","NK c","11R_C_CD45.NK c"
"166","NK cell activated_CIBERSORT","11R_C_CD45",0.0763551973845058,"growing","PDL1","NK c","11R_C_CD45.NK c"
"167","Monocyte_CIBERSORT","11R_C_CD45",0.020542197976129,"growing","PDL1","Mono","11R_C_CD45.Mono"
"168","Macrophage M0_CIBERSORT","11R_C_CD45",0,"growing","PDL1","Macr","11R_C_CD45.Macr"
"169","Macrophage M1_CIBERSORT","11R_C_CD45",0,"growing","PDL1","Macr","11R_C_CD45.Macr"
"170","Macrophage M2_CIBERSORT","11R_C_CD45",0.0535981159516817,"growing","PDL1","Macr","11R_C_CD45.Macr"
"171","Myeloid dendritic cell resting_CIBERSORT","11R_C_CD45",0.00757757001133642,"growing","PDL1","Myel","11R_C_CD45.Myel"
"172","Myeloid dendritic cell activated_CIBERSORT","11R_C_CD45",0.0256901111741508,"growing","PDL1","Myel","11R_C_CD45.Myel"
"173","Mast cell activated_CIBERSORT","11R_C_CD45",0,"growing","PDL1","Mast","11R_C_CD45.Mast"
"174","Mast cell resting_CIBERSORT","11R_C_CD45",0.0684885869716026,"growing","PDL1","Mast","11R_C_CD45.Mast"
"175","Eosinophil_CIBERSORT","11R_C_CD45",0,"growing","PDL1","Eosi","11R_C_CD45.Eosi"
"176","Neutrophil_CIBERSORT","11R_C_CD45",0,"growing","PDL1","Neut","11R_C_CD45.Neut"
"177","B cell naive_CIBERSORT","14N_B_CD45",0.059045111875236,"growing","PDL1+LY","B ce","14N_B_CD45.B ce"
"178","B cell memory_CIBERSORT","14N_B_CD45",0,"growing","PDL1+LY","B ce","14N_B_CD45.B ce"
"179","B cell plasma_CIBERSORT","14N_B_CD45",0,"growing","PDL1+LY","B ce","14N_B_CD45.B ce"
"180","T cell CD8+_CIBERSORT","14N_B_CD45",0.209606051777112,"growing","PDL1+LY","T CD8","14N_B_CD45.T CD8"
"181","T cell CD4+ naive_CIBERSORT","14N_B_CD45",0,"growing","PDL1+LY","T CD4","14N_B_CD45.T CD4"
"182","T cell CD4+ memory resting_CIBERSORT","14N_B_CD45",0.0249391593571205,"growing","PDL1+LY","T CD4","14N_B_CD45.T CD4"
"183","T cell CD4+ memory activated_CIBERSORT","14N_B_CD45",0.0683182124693906,"growing","PDL1+LY","T CD4","14N_B_CD45.T CD4"
"184","T cell follicular helper_CIBERSORT","14N_B_CD45",0.205198680766342,"growing","PDL1+LY","T ce","14N_B_CD45.T ce"
"185","T cell regulatory (Tregs)_CIBERSORT","14N_B_CD45",0.11876999113858,"growing","PDL1+LY","T ce","14N_B_CD45.T ce"
"186","T cell gamma delta_CIBERSORT","14N_B_CD45",0,"growing","PDL1+LY","T ce","14N_B_CD45.T ce"
"187","NK cell resting_CIBERSORT","14N_B_CD45",0,"growing","PDL1+LY","NK c","14N_B_CD45.NK c"
"188","NK cell activated_CIBERSORT","14N_B_CD45",0.144206430220452,"growing","PDL1+LY","NK c","14N_B_CD45.NK c"
"189","Monocyte_CIBERSORT","14N_B_CD45",0,"growing","PDL1+LY","Mono","14N_B_CD45.Mono"
"190","Macrophage M0_CIBERSORT","14N_B_CD45",0,"growing","PDL1+LY","Macr","14N_B_CD45.Macr"
"191","Macrophage M1_CIBERSORT","14N_B_CD45",0.000169795524968327,"growing","PDL1+LY","Macr","14N_B_CD45.Macr"
"192","Macrophage M2_CIBERSORT","14N_B_CD45",0.0502769699825845,"growing","PDL1+LY","Macr","14N_B_CD45.Macr"
"193","Myeloid dendritic cell resting_CIBERSORT","14N_B_CD45",0.0078499554482359,"growing","PDL1+LY","Myel","14N_B_CD45.Myel"
"194","Myeloid dendritic cell activated_CIBERSORT","14N_B_CD45",0.00762955154772956,"growing","PDL1+LY","Myel","14N_B_CD45.Myel"
"195","Mast cell activated_CIBERSORT","14N_B_CD45",0,"growing","PDL1+LY","Mast","14N_B_CD45.Mast"
"196","Mast cell resting_CIBERSORT","14N_B_CD45",0.0712105678173477,"growing","PDL1+LY","Mast","14N_B_CD45.Mast"
"197","Eosinophil_CIBERSORT","14N_B_CD45",0.0327795220749011,"growing","PDL1+LY","Eosi","14N_B_CD45.Eosi"
"198","Neutrophil_CIBERSORT","14N_B_CD45",0,"growing","PDL1+LY","Neut","14N_B_CD45.Neut"
"199","B cell naive_CIBERSORT","14N_C_CD45",0.254423688776512,"stable","PDL1+LY","B ce","14N_C_CD45.B ce"
"200","B cell memory_CIBERSORT","14N_C_CD45",0,"stable","PDL1+LY","B ce","14N_C_CD45.B ce"
"201","B cell plasma_CIBERSORT","14N_C_CD45",0.0172800915086299,"stable","PDL1+LY","B ce","14N_C_CD45.B ce"
"202","T cell CD8+_CIBERSORT","14N_C_CD45",0.185817295548645,"stable","PDL1+LY","T CD8","14N_C_CD45.T CD8"
"203","T cell CD4+ naive_CIBERSORT","14N_C_CD45",0,"stable","PDL1+LY","T CD4","14N_C_CD45.T CD4"
"204","T cell CD4+ memory resting_CIBERSORT","14N_C_CD45",0.0449599007851593,"stable","PDL1+LY","T CD4","14N_C_CD45.T CD4"
"205","T cell CD4+ memory activated_CIBERSORT","14N_C_CD45",0.0564592393499822,"stable","PDL1+LY","T CD4","14N_C_CD45.T CD4"
"206","T cell follicular helper_CIBERSORT","14N_C_CD45",0.165282871638916,"stable","PDL1+LY","T ce","14N_C_CD45.T ce"
"207","T cell regulatory (Tregs)_CIBERSORT","14N_C_CD45",0.104110075401418,"stable","PDL1+LY","T ce","14N_C_CD45.T ce"
"208","T cell gamma delta_CIBERSORT","14N_C_CD45",0,"stable","PDL1+LY","T ce","14N_C_CD45.T ce"
"209","NK cell resting_CIBERSORT","14N_C_CD45",0,"stable","PDL1+LY","NK c","14N_C_CD45.NK c"
"210","NK cell activated_CIBERSORT","14N_C_CD45",0.0513613498481306,"stable","PDL1+LY","NK c","14N_C_CD45.NK c"
"211","Monocyte_CIBERSORT","14N_C_CD45",0.0109036949829955,"stable","PDL1+LY","Mono","14N_C_CD45.Mono"
"212","Macrophage M0_CIBERSORT","14N_C_CD45",0,"stable","PDL1+LY","Macr","14N_C_CD45.Macr"
"213","Macrophage M1_CIBERSORT","14N_C_CD45",0,"stable","PDL1+LY","Macr","14N_C_CD45.Macr"
"214","Macrophage M2_CIBERSORT","14N_C_CD45",0.0263194301018783,"stable","PDL1+LY","Macr","14N_C_CD45.Macr"
"215","Myeloid dendritic cell resting_CIBERSORT","14N_C_CD45",0,"stable","PDL1+LY","Myel","14N_C_CD45.Myel"
"216","Myeloid dendritic cell activated_CIBERSORT","14N_C_CD45",0.0192703273222221,"stable","PDL1+LY","Myel","14N_C_CD45.Myel"
"217","Mast cell activated_CIBERSORT","14N_C_CD45",0,"stable","PDL1+LY","Mast","14N_C_CD45.Mast"
"218","Mast cell resting_CIBERSORT","14N_C_CD45",0.0540431498958107,"stable","PDL1+LY","Mast","14N_C_CD45.Mast"
"219","Eosinophil_CIBERSORT","14N_C_CD45",0.0095817754017395,"stable","PDL1+LY","Eosi","14N_C_CD45.Eosi"
"220","Neutrophil_CIBERSORT","14N_C_CD45",0.00018710943796127,"stable","PDL1+LY","Neut","14N_C_CD45.Neut"
"221","B cell naive_CIBERSORT","14N_D_CD45",0,"stable","PDL1+LY","B ce","14N_D_CD45.B ce"
