"","cell_type","variable","value","growth","treatment","cell_type2","sdat"
"1","B cell naive_CIBERSORT","10L_D_CD45",0.0714777004493008,"stable","PDL1","B ce","10L_D_CD45.B ce"
"2","B cell memory_CIBERSORT","10L_D_CD45",0,"stable","PDL1","B ce","10L_D_CD45.B ce"
"3","B cell plasma_CIBERSORT","10L_D_CD45",0,"stable","PDL1","B ce","10L_D_CD45.B ce"
"4","T cell CD8+_CIBERSORT","10L_D_CD45",0.257823782266349,"stable","PDL1","T CD8","10L_D_CD45.T CD8"
"5","T cell CD4+ naive_CIBERSORT","10L_D_CD45",0,"stable","PDL1","T CD4","10L_D_CD45.T CD4"
"6","T cell CD4+ memory resting_CIBERSORT","10L_D_CD45",0,"stable","PDL1","T CD4","10L_D_CD45.T CD4"
"7","T cell CD4+ memory activated_CIBERSORT","10L_D_CD45",0.0535731375776073,"stable","PDL1","T CD4","10L_D_CD45.T CD4"
"8","T cell follicular helper_CIBERSORT","10L_D_CD45",0.163473780245558,"stable","PDL1","T ce","10L_D_CD45.T ce"
"9","T cell regulatory (Tregs)_CIBERSORT","10L_D_CD45",0.13940700797548,"stable","PDL1","T ce","10L_D_CD45.T ce"
"10","T cell gamma delta_CIBERSORT","10L_D_CD45",0,"stable","PDL1","T ce","10L_D_CD45.T ce"
"11","NK cell resting_CIBERSORT","10L_D_CD45",0,"stable","PDL1","NK c","10L_D_CD45.NK c"
"12","NK cell activated_CIBERSORT","10L_D_CD45",0.0446336243076767,"stable","PDL1","NK c","10L_D_CD45.NK c"
"13","Monocyte_CIBERSORT","10L_D_CD45",0.0336834330543238,"stable","PDL1","Mono","10L_D_CD45.Mono"
"14","Macrophage M0_CIBERSORT","10L_D_CD45",0,"stable","PDL1","Macr","10L_D_CD45.Macr"
"15","Macrophage M1_CIBERSORT","10L_D_CD45",0,"stable","PDL1","Macr","10L_D_CD45.Macr"
"16","Macrophage M2_CIBERSORT","10L_D_CD45",0.0713340719525995,"stable","PDL1","Macr","10L_D_CD45.Macr"
"17","Myeloid dendritic cell resting_CIBERSORT","10L_D_CD45",0,"stable","PDL1","Myel","10L_D_CD45.Myel"
"18","Myeloid dendritic cell activated_CIBERSORT","10L_D_CD45",0.0144241043847497,"stable","PDL1","Myel","10L_D_CD45.Myel"
"19","Mast cell activated_CIBERSORT","10L_D_CD45",0,"stable","PDL1","Mast","10L_D_CD45.Mast"
"20","Mast cell resting_CIBERSORT","10L_D_CD45",0.128367950799377,"stable","PDL1","Mast","10L_D_CD45.Mast"
"21","Eosinophil_CIBERSORT","10L_D_CD45",0.0218014069869789,"stable","PDL1","Eosi","10L_D_CD45.Eosi"
"22","Neutrophil_CIBERSORT","10L_D_CD45",0,"stable","PDL1","Neut","10L_D_CD45.Neut"
"23","B cell naive_CIBERSORT","10L_C_CD45",0,"growing","PDL1","B ce","10L_C_CD45.B ce"
"24","B cell memory_CIBERSORT","10L_C_CD45",0.00961717291324136,"growing","PDL1","B ce","10L_C_CD45.B ce"
"25","B cell plasma_CIBERSORT","10L_C_CD45",0,"growing","PDL1","B ce","10L_C_CD45.B ce"
"26","T cell CD8+_CIBERSORT","10L_C_CD45",0.259060344431045,"growing","PDL1","T CD8","10L_C_CD45.T CD8"
"27","T cell CD4+ naive_CIBERSORT","10L_C_CD45",0,"growing","PDL1","T CD4","10L_C_CD45.T CD4"
"28","T cell CD4+ memory resting_CIBERSORT","10L_C_CD45",0,"growing","PDL1","T CD4","10L_C_CD45.T CD4"
"29","T cell CD4+ memory activated_CIBERSORT","10L_C_CD45",0.00879384507747694,"growing","PDL1","T CD4","10L_C_CD45.T CD4"
"30","T cell follicular helper_CIBERSORT","10L_C_CD45",0.167356906509625,"growing","PDL1","T ce","10L_C_CD45.T ce"
"31","T cell regulatory (Tregs)_CIBERSORT","10L_C_CD45",0.178741202383429,"growing","PDL1","T ce","10L_C_CD45.T ce"
"32","T cell gamma delta_CIBERSORT","10L_C_CD45",0,"growing","PDL1","T ce","10L_C_CD45.T ce"
"33","NK cell resting_CIBERSORT","10L_C_CD45",0,"growing","PDL1","NK c","10L_C_CD45.NK c"
"34","NK cell activated_CIBERSORT","10L_C_CD45",0,"growing","PDL1","NK c","10L_C_CD45.NK c"
"35","Monocyte_CIBERSORT","10L_C_CD45",0.0431989724110791,"growing","PDL1","Mono","10L_C_CD45.Mono"
"36","Macrophage M0_CIBERSORT","10L_C_CD45",0,"growing","PDL1","Macr","10L_C_CD45.Macr"
"37","Macrophage M1_CIBERSORT","10L_C_CD45",0,"growing","PDL1","Macr","10L_C_CD45.Macr"
"38","Macrophage M2_CIBERSORT","10L_C_CD45",0.0156686652583615,"growing","PDL1","Macr","10L_C_CD45.Macr"
"39","Myeloid dendritic cell resting_CIBERSORT","10L_C_CD45",0.0224348938904774,"growing","PDL1","Myel","10L_C_CD45.Myel"
"40","Myeloid dendritic cell activated_CIBERSORT","10L_C_CD45",0.135645763688667,"growing","PDL1","Myel","10L_C_CD45.Myel"
"41","Mast cell activated_CIBERSORT","10L_C_CD45",0,"growing","PDL1","Mast","10L_C_CD45.Mast"
"42","Mast cell resting_CIBERSORT","10L_C_CD45",0.137948910305846,"growing","PDL1","Mast","10L_C_CD45.Mast"
"43","Eosinophil_CIBERSORT","10L_C_CD45",0.0215333231307523,"growing","PDL1","Eosi","10L_C_CD45.Eosi"
"44","Neutrophil_CIBERSORT","10L_C_CD45",0,"growing","PDL1","Neut","10L_C_CD45.Neut"
"45","B cell naive_CIBERSORT","10R_BL_CD45",0,"growing","PDL1","B ce","10R_BL_CD45.B ce"
"46","B cell memory_CIBERSORT","10R_BL_CD45",0.0623211330911602,"growing","PDL1","B ce","10R_BL_CD45.B ce"
"47","B cell plasma_CIBERSORT","10R_BL_CD45",0,"growing","PDL1","B ce","10R_BL_CD45.B ce"
"48","T cell CD8+_CIBERSORT","10R_BL_CD45",0.2011626378771,"growing","PDL1","T CD8","10R_BL_CD45.T CD8"
"49","T cell CD4+ naive_CIBERSORT","10R_BL_CD45",0,"growing","PDL1","T CD4","10R_BL_CD45.T CD4"
"50","T cell CD4+ memory resting_CIBERSORT","10R_BL_CD45",0.113975246574651,"growing","PDL1","T CD4","10R_BL_CD45.T CD4"
"51","T cell CD4+ memory activated_CIBERSORT","10R_BL_CD45",0,"growing","PDL1","T CD4","10R_BL_CD45.T CD4"
"52","T cell follicular helper_CIBERSORT","10R_BL_CD45",0.147273880256973,"growing","PDL1","T ce","10R_BL_CD45.T ce"
"53","T cell regulatory (Tregs)_CIBERSORT","10R_BL_CD45",0.128134203717994,"growing","PDL1","T ce","10R_BL_CD45.T ce"
"54","T cell gamma delta_CIBERSORT","10R_BL_CD45",0,"growing","PDL1","T ce","10R_BL_CD45.T ce"
"55","NK cell resting_CIBERSORT","10R_BL_CD45",0,"growing","PDL1","NK c","10R_BL_CD45.NK c"
"56","NK cell activated_CIBERSORT","10R_BL_CD45",0.202048462039257,"growing","PDL1","NK c","10R_BL_CD45.NK c"
"57","Monocyte_CIBERSORT","10R_BL_CD45",0.0175172805335392,"growing","PDL1","Mono","10R_BL_CD45.Mono"
"58","Macrophage M0_CIBERSORT","10R_BL_CD45",0,"growing","PDL1","Macr","10R_BL_CD45.Macr"
"59","Macrophage M1_CIBERSORT","10R_BL_CD45",0,"growing","PDL1","Macr","10R_BL_CD45.Macr"
"60","Macrophage M2_CIBERSORT","10R_BL_CD45",0.0795043274757952,"growing","PDL1","Macr","10R_BL_CD45.Macr"
"61","Myeloid dendritic cell resting_CIBERSORT","10R_BL_CD45",0,"growing","PDL1","Myel","10R_BL_CD45.Myel"
"62","Myeloid dendritic cell activated_CIBERSORT","10R_BL_CD45",0,"growing","PDL1","Myel","10R_BL_CD45.Myel"
"63","Mast cell activated_CIBERSORT","10R_BL_CD45",0,"growing","PDL1","Mast","10R_BL_CD45.Mast"
"64","Mast cell resting_CIBERSORT","10R_BL_CD45",0.0448621612868102,"growing","PDL1","Mast","10R_BL_CD45.Mast"
"65","Eosinophil_CIBERSORT","10R_BL_CD45",0.00320066714671928,"growing","PDL1","Eosi","10R_BL_CD45.Eosi"
"66","Neutrophil_CIBERSORT","10R_BL_CD45",0,"growing","PDL1","Neut","10R_BL_CD45.Neut"
"67","B cell naive_CIBERSORT","10R_BU_CD45",0,NA,"PDL1","B ce","10R_BU_CD45.B ce"
"68","B cell memory_CIBERSORT","10R_BU_CD45",0.0287663817029817,NA,"PDL1","B ce","10R_BU_CD45.B ce"
"69","B cell plasma_CIBERSORT","10R_BU_CD45",0,NA,"PDL1","B ce","10R_BU_CD45.B ce"
"70","T cell CD8+_CIBERSORT","10R_BU_CD45",0.272215057509152,NA,"PDL1","T CD8","10R_BU_CD45.T CD8"
"71","T cell CD4+ naive_CIBERSORT","10R_BU_CD45",0,NA,"PDL1","T CD4","10R_BU_CD45.T CD4"
"72","T cell CD4+ memory resting_CIBERSORT","10R_BU_CD45",0.0304433998388497,NA,"PDL1","T CD4","10R_BU_CD45.T CD4"
"73","T cell CD4+ memory activated_CIBERSORT","10R_BU_CD45",0,NA,"PDL1","T CD4","10R_BU_CD45.T CD4"
"74","T cell follicular helper_CIBERSORT","10R_BU_CD45",0.197861934248211,NA,"PDL1","T ce","10R_BU_CD45.T ce"
"75","T cell regulatory (Tregs)_CIBERSORT","10R_BU_CD45",0.194850929895499,NA,"PDL1","T ce","10R_BU_CD45.T ce"
"76","T cell gamma delta_CIBERSORT","10R_BU_CD45",0,NA,"PDL1","T ce","10R_BU_CD45.T ce"
"77","NK cell resting_CIBERSORT","10R_BU_CD45",0,NA,"PDL1","NK c","10R_BU_CD45.NK c"
"78","NK cell activated_CIBERSORT","10R_BU_CD45",0.123684760385376,NA,"PDL1","NK c","10R_BU_CD45.NK c"
