"","Var1","Var2","MH.lower","MH.upper","gridsize","variable","value","L1","SpatialManual","Treatment","Growth","CD8frac"
"1702","EpCAM: SMA","CD8",0.243072708016352,0.280027508724963,150,"MH.mean",0.263081630453734,"15LB","restricted","PDL1+LY","growing",0.0206734110298608
"1703","SMA","CD8",0.324145771596176,0.391084867819246,150,"MH.mean",0.350786084163796,"15LB","restricted","PDL1+LY","growing",0.0206734110298608
"1704","Unclass","CD8",0.323086341841021,0.382860134920348,150,"MH.mean",0.345665774800869,"15LB","restricted","PDL1+LY","growing",0.0206734110298608
"1793","EpCAM","CD8",0.306002670083718,0.338423317100112,150,"MH.mean",0.320959405321864,"15NC-D","restricted","PDL1+LY","growing",0.0169469113521434
"1794","SMA","CD8",0.39251541989828,0.417308735483223,150,"MH.mean",0.40065753270212,"15NC-D","restricted","PDL1+LY","growing",0.0169469113521434
"1795","Unclass","CD8",0.289609037611647,0.321685322319021,150,"MH.mean",0.307483741482598,"15NC-D","restricted","PDL1+LY","growing",0.0169469113521434
"1861","EpCAM","CD8",0.454162167539208,0.47232586903986,150,"MH.mean",0.467314504722992,"15ND","Infiltrating","PDL1+LY","stable",0.00762451633757023
"1862","EpCAM: SMA","CD8",0.553059954367149,0.569357091346878,150,"MH.mean",0.558774212716451,"15ND","Infiltrating","PDL1+LY","stable",0.00762451633757023
"1863","SMA","CD8",0.51844833175744,0.569664539575458,150,"MH.mean",0.528740967614293,"15ND","Infiltrating","PDL1+LY","stable",0.00762451633757023
"1864","Unclass","CD8",0.400732613055791,0.421328090940003,150,"MH.mean",0.423376323664297,"15ND","Infiltrating","PDL1+LY","stable",0.00762451633757023
"1947","EpCAM","CD8",0.300473036778566,0.317830045902935,150,"MH.mean",0.310208793115696,"15RD","restricted","PDL1+LY","growing",0.0306485937592836
"1948","Unclass","CD8",0.427934041244568,0.446974539674958,150,"MH.mean",0.43795301041218,"15RD","restricted","PDL1+LY","growing",0.0306485937592836
"1983","EpCAM","CD8",0.185852226132932,0.204608498655076,150,"MH.mean",0.193175446473818,"16LA","Infiltrating","PDL1+LY",NA,0.0232139311385568
"1984","SMA","CD8",0.206614605175732,0.226842051077008,150,"MH.mean",0.214961916163122,"16LA","Infiltrating","PDL1+LY",NA,0.0232139311385568
"1985","Unclass","CD8",0.330980671029904,0.35959585642821,150,"MH.mean",0.346084868388076,"16LA","Infiltrating","PDL1+LY",NA,0.0232139311385568
"2043","EpCAM","CD8",0.0572225579483615,0.0570946855275797,150,"MH.mean",0.057419978255721,"16LC","Infiltrating","PDL1+LY","stable",0.0280096449579857
"2044","SMA","CD8",0.0528332488117906,0.0513973838012718,150,"MH.mean",0.0523850926389769,"16LC","Infiltrating","PDL1+LY","stable",0.0280096449579857
"2045","Unclass","CD8",0.156740565891968,0.159863414393057,150,"MH.mean",0.159285716363626,"16LC","Infiltrating","PDL1+LY","stable",0.0280096449579857
"2103","EpCAM","CD8",0.450995894850226,0.463667297105752,150,"MH.mean",0.454715384675172,"16LD","Infiltrating","PDL1+LY","stable",0.0515054602700039
"2104","SMA","CD8",0.477360142270381,0.487710439953835,150,"MH.mean",0.482852009072183,"16LD","Infiltrating","PDL1+LY","stable",0.0515054602700039
"2105","Unclass","CD8",0.601000264966332,0.611965172926771,150,"MH.mean",0.609148133444901,"16LD","Infiltrating","PDL1+LY","stable",0.0515054602700039
"2171","EpCAM","CD8",0.42585890209447,0.429142839452293,150,"MH.mean",0.424575802169838,"16ND","Infiltrating","PDL1","stable",0.107059057466693
"2172","EpCAM: SMA","CD8",0.4155987383582,0.421141051453749,150,"MH.mean",0.417626417983179,"16ND","Infiltrating","PDL1","stable",0.107059057466693
"2173","SMA","CD8",0.485176036557421,0.485616671980466,150,"MH.mean",0.483652428373888,"16ND","Infiltrating","PDL1","stable",0.107059057466693
"2174","Unclass","CD8",0.378905567831684,0.380835690072748,150,"MH.mean",0.380059387656567,"16ND","Infiltrating","PDL1","stable",0.107059057466693
"2263","EpCAM","CD8",0.29210322882718,0.306320659938951,150,"MH.mean",0.300680166658347,"16RD","Infiltrating","PDL1","stable",0.0266553579642389
"2264","SMA","CD8",0.392799064642716,0.414840277818859,150,"MH.mean",0.404193721998255,"16RD","Infiltrating","PDL1","stable",0.0266553579642389
"2265","Unclass","CD8",0.378143855914037,0.398167842811154,150,"MH.mean",0.387327580645247,"16RD","Infiltrating","PDL1","stable",0.0266553579642389
"2323","EpCAM","CD8",0.254700777648506,0.256664405859488,150,"MH.mean",0.254948603683486,"17NA","restricted","Vehicle","growing",0.0858191749091156
"2324","SMA","CD8",0.282072137802795,0.286645460488663,150,"MH.mean",0.284322422056222,"17NA","restricted","Vehicle","growing",0.0858191749091156
"2325","Unclass","CD8",0.571834364007765,0.581996353657838,150,"MH.mean",0.577082082759762,"17NA","restricted","Vehicle","growing",0.0858191749091156
"2391","EpCAM","CD8",0.763222895737117,0.769646106354625,150,"MH.mean",0.767514188959579,"17ND","Infiltrating","Vehicle","stable",0.0244473882371464
"2392","EpCAM: SMA","CD8",0.169598942881833,0.214773733388169,150,"MH.mean",0.18963387491119,"17ND","Infiltrating","Vehicle","stable",0.0244473882371464
"2393","SMA","CD8",0.422894038727531,0.484888158191354,150,"MH.mean",0.452095314033393,"17ND","Infiltrating","Vehicle","stable",0.0244473882371464
"2394","Unclass","CD8",0.737999597138263,0.747520770651834,150,"MH.mean",0.737927907089964,"17ND","Infiltrating","Vehicle","stable",0.0244473882371464
"2491","EpCAM","CD8",0.382263826998058,0.38913666824799,150,"MH.mean",0.386350754619949,"17RB","Infiltrating","Vehicle","growing",0.0670640985529038
"2492","EpCAM: SMA","CD8",0.272462361017799,0.278053621205684,150,"MH.mean",0.275996731500252,"17RB","Infiltrating","Vehicle","growing",0.0670640985529038
"2493","SMA","CD8",0.235338856284132,0.238826517933816,150,"MH.mean",0.235612444967049,"17RB","Infiltrating","Vehicle","growing",0.0670640985529038
"2494","Unclass","CD8",0.454363223016298,0.462187324946639,150,"MH.mean",0.457254357159434,"17RB","Infiltrating","Vehicle","growing",0.0670640985529038
"2591","EpCAM","CD8",0.345199993166775,0.351815546752594,150,"MH.mean",0.349187824159711,"2N","restricted","Vehicle","growing",0.0815901125430434
"2592","EpCAM: SMA","CD8",0.235258029226626,0.239945519307932,150,"MH.mean",0.23888532347833,"2N","restricted","Vehicle","growing",0.0815901125430434
"2593","SMA","CD8",0.310421220436134,0.315720638270649,150,"MH.mean",0.31334516138104,"2N","restricted","Vehicle","growing",0.0815901125430434
"2594","Unclass","CD8",0.450744003924312,0.461087351559158,150,"MH.mean",0.456276588691298,"2N","restricted","Vehicle","growing",0.0815901125430434
"2691","EpCAM","CD8",0.560321043431854,0.564144025746691,150,"MH.mean",0.564459690484411,"2RA","restricted","Vehicle","growing",0.0301040967138085
"2692","EpCAM: SMA","CD8",0.0297844907185343,0.0257389611479216,150,"MH.mean",0.0274857936603927,"2RA","restricted","Vehicle","growing",0.0301040967138085
"2693","SMA","CD8",0.266587416397817,0.286172935441682,150,"MH.mean",0.271376458338632,"2RA","restricted","Vehicle","growing",0.0301040967138085
"2694","Unclass","CD8",0.729722526209829,0.742504741041974,150,"MH.mean",0.733109303650886,"2RA","restricted","Vehicle","growing",0.0301040967138085
"2791","EpCAM","CD8",0.567595758742378,0.573740640120345,150,"MH.mean",0.567820154176674,"2RD","restricted","Vehicle","growing",0.0348107762848735
"2792","EpCAM: SMA","CD8",0.459276023974776,0.463953691393195,150,"MH.mean",0.456548270211922,"2RD","restricted","Vehicle","growing",0.0348107762848735
"2793","SMA","CD8",0.542872228855248,0.558357270812967,150,"MH.mean",0.554482642034849,"2RD","restricted","Vehicle","growing",0.0348107762848735
"2794","Unclass","CD8",0.578409622614193,0.588461205674279,150,"MH.mean",0.58772793476376,"2RD","restricted","Vehicle","growing",0.0348107762848735
"2891","EpCAM","CD8",0.33097649549032,0.336175629191922,150,"MH.mean",0.333298180342511,"3LA","restricted","Vehicle","growing",0.0596672294268477
"2892","EpCAM: SMA","CD8",0.301473455517007,0.3078032739969,150,"MH.mean",0.304198575851133,"3LA","restricted","Vehicle","growing",0.0596672294268477
"2893","SMA","CD8",0.295309671569899,0.302783437749814,150,"MH.mean",0.299738043540709,"3LA","restricted","Vehicle","growing",0.0596672294268477
"2894","Unclass","CD8",0.314615459833051,0.320603715127728,150,"MH.mean",0.319235406698545,"3LA","restricted","Vehicle","growing",0.0596672294268477
"2983","EpCAM","CD8",0.641316182166096,0.638124252759998,150,"MH.mean",0.637179407827275,"3NB","Infiltrating","Vehicle","stable",0.0753308198822148
"2984","SMA","CD8",0.488026293939258,0.503465510136443,150,"MH.mean",0.494725181394562,"3NB","Infiltrating","Vehicle","stable",0.0753308198822148
"2985","Unclass","CD8",0.614527640316804,0.611463146714405,150,"MH.mean",0.614226320325818,"3NB","Infiltrating","Vehicle","stable",0.0753308198822148
"3043","EpCAM","CD8",0.34952463611751,0.357945461570337,150,"MH.mean",0.354301516222591,"3RB","restricted","Vehicle","growing",0.046562711539908
"3044","SMA","CD8",0.406912065104477,0.419613068439856,150,"MH.mean",0.412003152012843,"3RB","restricted","Vehicle","growing",0.046562711539908
"3045","Unclass","CD8",0.400070503114185,0.412426954662641,150,"MH.mean",0.405748526368818,"3RB","restricted","Vehicle","growing",0.046562711539908
"3111","EpCAM","CD8",0.371857221801662,0.397233760805266,150,"MH.mean",0.381122239757883,"3RC","Infiltrating","Vehicle","growing",0.0228977401821137
"3112","EpCAM: SMA","CD8",0.370545386987479,0.392757542257918,150,"MH.mean",0.378841250925074,"3RC","Infiltrating","Vehicle","growing",0.0228977401821137
"3113","SMA","CD8",0.428093203691975,0.443190220226788,150,"MH.mean",0.438596177497302,"3RC","Infiltrating","Vehicle","growing",0.0228977401821137
"3114","Unclass","CD8",0.372023741742777,0.388338795339992,150,"MH.mean",0.381420868875467,"3RC","Infiltrating","Vehicle","growing",0.0228977401821137
"3211","EpCAM","CD8",0.419542194497935,0.436058380454833,150,"MH.mean",0.426523893586721,"4LB","Infiltrating","Vehicle","growing",0.0411073596330847
"3212","EpCAM: SMA","CD8",0.395982557358963,0.414865515381541,150,"MH.mean",0.404055772908531,"4LB","Infiltrating","Vehicle","growing",0.0411073596330847
"3213","SMA","CD8",0.495037150228629,0.514771456458001,150,"MH.mean",0.504962603101072,"4LB","Infiltrating","Vehicle","growing",0.0411073596330847
"3214","Unclass","CD8",0.522034701122698,0.540297432464425,150,"MH.mean",0.531253082479252,"4LB","Infiltrating","Vehicle","growing",0.0411073596330847
"3303","EpCAM","CD8",0.0795505717045109,0.0859395245074709,150,"MH.mean",0.0848611813825092,"4NC","restricted","Vehicle","growing",0.0176690744267719
"3304","SMA","CD8",0.0772216788347014,0.0813931323505601,150,"MH.mean",0.0807650736485103,"4NC","restricted","Vehicle","growing",0.0176690744267719
"3305","Unclass","CD8",0.0551858162902068,0.0599220561352426,150,"MH.mean",0.058658676682086,"4NC","restricted","Vehicle","growing",0.0176690744267719
"3363","EpCAM","CD8",0.393453429219114,0.414024563349805,150,"MH.mean",0.404177306719637,"4ND","Infiltrating","Vehicle","growing",0.0171528413159012
"3364","SMA","CD8",0.423445303270338,0.451228099804048,150,"MH.mean",0.432995399062115,"4ND","Infiltrating","Vehicle","growing",0.0171528413159012
"3365","Unclass","CD8",0.341954676321557,0.341446556681928,150,"MH.mean",0.340934765788033,"4ND","Infiltrating","Vehicle","growing",0.0171528413159012
"3431","EpCAM","CD8",0.246691535866313,0.255099489218309,150,"MH.mean",0.250945085905853,"4RB","restricted","Vehicle","growing",0.050418603715108
"3432","EpCAM: SMA","CD8",0.223367985362879,0.232176352540912,150,"MH.mean",0.22724162731737,"4RB","restricted","Vehicle","growing",0.050418603715108
"3433","SMA","CD8",0.365416593182621,0.375325571307658,150,"MH.mean",0.368673990042562,"4RB","restricted","Vehicle","growing",0.050418603715108
"3434","Unclass","CD8",0.345454549346422,0.357711099135865,150,"MH.mean",0.351142183240098,"4RB","restricted","Vehicle","growing",0.050418603715108
"3523","EpCAM","CD8",0.289491214612367,0.301561261046309,150,"MH.mean",0.294621237187523,"5LA","Infiltrating","Vehicle","stable",0.0328312348073089
"3524","SMA","CD8",0.407825975506047,0.420346957446263,150,"MH.mean",0.414413693027053,"5LA","Infiltrating","Vehicle","stable",0.0328312348073089
"3525","Unclass","CD8",0.458438097357901,0.475890571340403,150,"MH.mean",0.469926344422034,"5LA","Infiltrating","Vehicle","stable",0.0328312348073089
"3577","EpCAM","CD8",0.328174163005568,0.353741132667171,150,"MH.mean",0.339955059885912,"5LB","restricted","Vehicle","growing",0.0223692560965648
"3578","Unclass","CD8",0.439706601028961,0.46551440293225,150,"MH.mean",0.455173725831408,"5LB","restricted","Vehicle","growing",0.0223692560965648
"3613","EpCAM","CD8",0.142276413908655,0.145536681409468,150,"MH.mean",0.143009361277452,"5LC","restricted","Vehicle","growing",0.0681087685159526
"3614","SMA","CD8",0.291369030714071,0.297403817917921,150,"MH.mean",0.294789484462813,"5LC","restricted","Vehicle","growing",0.0681087685159526
"3615","Unclass","CD8",0.17835764592352,0.179312132813739,150,"MH.mean",0.179894416093383,"5LC","restricted","Vehicle","growing",0.0681087685159526
"3681","EpCAM","CD8",0.130246374513735,0.134906392007185,150,"MH.mean",0.132994342704189,"5LD","restricted","Vehicle","stable",0.0316167665758732
"3682","EpCAM: SMA","CD8",0.179551634592688,0.187019167420539,150,"MH.mean",0.185091615171268,"5LD","restricted","Vehicle","stable",0.0316167665758732
"3683","SMA","CD8",0.375955242956353,0.390216580093967,150,"MH.mean",0.385080227926685,"5LD","restricted","Vehicle","stable",0.0316167665758732
"3684","Unclass","CD8",0.175913823517305,0.180917657814055,150,"MH.mean",0.178093281797032,"5LD","restricted","Vehicle","stable",0.0316167665758732
"3773","EpCAM","CD8",0.358963370745546,0.363266560915292,150,"MH.mean",0.359910024367208,"5RB","restricted","Vehicle","growing",0.276829917860447
"3774","SMA","CD8",0.460661806607505,0.466552276178576,150,"MH.mean",0.462025017278967,"5RB","restricted","Vehicle","growing",0.276829917860447
"3775","Unclass","CD8",0.60311061800419,0.60920614965352,150,"MH.mean",0.607995564653556,"5RB","restricted","Vehicle","growing",0.276829917860447
"3833","EpCAM","CD8",0.202560042186425,0.204396805938489,150,"MH.mean",0.204715622351884,"6LDU","restricted","LY","growing",0.0541297977067744
"3834","SMA","CD8",0.436479249707233,0.44774994954677,150,"MH.mean",0.443197533656569,"6LDU","restricted","LY","growing",0.0541297977067744
"3835","Unclass","CD8",0.122003809593294,0.127121637618849,150,"MH.mean",0.122373461987394,"6LDU","restricted","LY","growing",0.0541297977067744
"3901","EpCAM","CD8",0.324374989958308,0.327776719108152,150,"MH.mean",0.324732811191202,"6ND",NA,"LY","growing",0.152177738773681
"3902","EpCAM: SMA","CD8",0.322197338662236,0.325760048272761,150,"MH.mean",0.322213523348994,"6ND",NA,"LY","growing",0.152177738773681
"3903","SMA","CD8",0.367556132300087,0.370022043921018,150,"MH.mean",0.368160150815657,"6ND",NA,"LY","growing",0.152177738773681
"3904","Unclass","CD8",0.292837368355789,0.295396948690289,150,"MH.mean",0.295198226908147,"6ND",NA,"LY","growing",0.152177738773681
"3993","EpCAM","CD8",0.498474222178074,0.508244123454028,150,"MH.mean",0.502964931439173,"6RB","Infiltrating","LY","growing",0.0556252700006171
"3994","SMA","CD8",0.710925777804827,0.718112038032604,150,"MH.mean",0.716263714118191,"6RB","Infiltrating","LY","growing",0.0556252700006171
"3995","Unclass","CD8",0.553252140971699,0.556067909365561,150,"MH.mean",0.553908387016106,"6RB","Infiltrating","LY","growing",0.0556252700006171
"4061","EpCAM","CD8",0.469838207647944,0.47375701748292,150,"MH.mean",0.471374061149095,"6RC","restricted","LY","growing",0.111526720118085
"4062","EpCAM: SMA","CD8",0.482375299802947,0.488373815696549,150,"MH.mean",0.486245790712591,"6RC","restricted","LY","growing",0.111526720118085
"4063","SMA","CD8",0.639715186434808,0.6433663093226,150,"MH.mean",0.640198907107037,"6RC","restricted","LY","growing",0.111526720118085
"4064","Unclass","CD8",0.528998842824857,0.534721206416378,150,"MH.mean",0.53277623222471,"6RC","restricted","LY","growing",0.111526720118085
"4153","EpCAM","CD8",0.117160165863974,0.121721659348454,150,"MH.mean",0.120655287137457,"7NB","restricted","LY","growing",0.0355810679060535
"4154","SMA","CD8",0.235026822660469,0.237824785877435,150,"MH.mean",0.235023051718682,"7NB","restricted","LY","growing",0.0355810679060535
"4155","Unclass","CD8",0.212020865402713,0.218133706948143,150,"MH.mean",0.215877582180102,"7NB","restricted","LY","growing",0.0355810679060535
"4213","EpCAM","CD8",0.150818366044381,0.154926366199161,150,"MH.mean",0.153459170307385,"7NC","restricted","LY","growing",0.0788010213529223
"4214","SMA","CD8",0.242955938901937,0.247129723415637,150,"MH.mean",0.245553886649384,"7NC","restricted","LY","growing",0.0788010213529223
"4215","Unclass","CD8",0.234794178029312,0.239364137855991,150,"MH.mean",0.238833914174478,"7NC","restricted","LY","growing",0.0788010213529223
"4281","EpCAM","CD8",0.332755954057456,0.34286681280425,150,"MH.mean",0.339562345836779,"7RA","restricted","LY","stable",0.0531246414587471
