"","C2N__Ep","C2R__Ep","C5R__Ep","NMU12_RL_Ep","NMU10_LL_Ep","NMU12_LA_Ep","NMU13_LAU_Ep","NMU13_LLU_Ep","NMU14__Ep","NMU7_RLU_Ep"
"C2N__Ep",1,0.956312454696287,0.881778262464672,0.794372472688768,0.81475685292382,0.607559383132818,0.53666036441625,0.588500216364626,0.681450839938728,0.655362908934083
"C2R__Ep",0.956312454696287,1,0.908572109353958,0.820292815565663,0.829161376094649,0.648969626323885,0.567488405551018,0.623972672825188,0.721273350560158,0.682128572627971
"C5R__Ep",0.881778262464672,0.908572109353958,1,0.895042222654178,0.902437826858147,0.799283788567985,0.639875498033469,0.720822990684239,0.832913601546103,0.799677030235013
"NMU12_RL_Ep",0.794372472688768,0.820292815565663,0.895042222654178,1,0.860149333499462,0.844399273936054,0.693091208682762,0.729030938085794,0.830511715652842,0.806308547711136
"NMU10_LL_Ep",0.81475685292382,0.829161376094649,0.902437826858147,0.860149333499462,1,0.748715106837216,0.611546152838504,0.692169914271739,0.794695106956806,0.776347236855491
"NMU12_LA_Ep",0.607559383132818,0.648969626323885,0.799283788567985,0.844399273936054,0.748715106837216,1,0.681116591947876,0.706018505131129,0.812289735721179,0.79231686934828
"NMU13_LAU_Ep",0.53666036441625,0.567488405551018,0.639875498033469,0.693091208682762,0.611546152838504,0.681116591947876,1,0.617298717095662,0.653373904918288,0.660631424677392
"NMU13_LLU_Ep",0.588500216364626,0.623972672825188,0.720822990684239,0.729030938085794,0.692169914271739,0.706018505131129,0.617298717095662,1,0.769795585593486,0.768826455395161
"NMU14__Ep",0.681450839938728,0.721273350560158,0.832913601546103,0.830511715652842,0.794695106956806,0.812289735721179,0.653373904918288,0.769795585593486,1,0.826962027571511
"NMU7_RLU_Ep",0.655362908934083,0.682128572627971,0.799677030235013,0.806308547711136,0.776347236855491,0.79231686934828,0.660631424677392,0.768826455395161,0.826962027571511,1
