"","P24T3 CD45","P24T2 CD45","P26T1 CD45","P26T2 CD45","P27T1 CD45","P28T1 CD45","P29T2 CD45","P29T1 CD45","P31T1 CD45","P31T2 CD45","P31T3 CD45","P33T1 CD45","P34T1 CD45","P35T1 CD45","P36T3 CD45","P39T1 CD45","P4T1 CD45","P5T1 CD45","P5T2 CD45","P5T3 CD45","P6T2 CD45","P6T1 CD45","P7T1 CD45","P8T2 CD45","P8T1 CD45","P13T1 CD45","P14T1 CD45","P16T1 CD45","P17T3 CD45","P19T1 CD45","P19T2 CD45","P21T1 CD45","P22T2 CD45","P22T1 CD45","P23T2 CD45","P24T2 DN","P26T1 DN","P26T2 DN","P27T1 DN","P29T2 DN","P29T1 DN","P30T2 DN","P31T2 DN","P31T3 DN","P32T1 DN","P33T1 DN","P34T1 DN","P36T2 DN","P36T3 DN","P38T2 DN","P39T3 DN","P39T1 DN","P4T1 DN","P5T1 DN","P5T2 DN","P6T2 DN","P6T1 DN","P7T1 DN","P8T2 DN","P8T1 DN","P10T1 DN","P17T1 DN","P17T3 DN","P22T2 DN","P22T1 DN","P23T1 DN","P24T3 Ep","P26T1 Ep","P26T2 Ep","P27T1 Ep","P28T1 Ep","P29T2 Ep","P29T1 Ep","P30T2 Ep","P31T2 Ep","P31T3 Ep","P32T1 Ep","P34T1 Ep","P36T2 Ep","P39T3 Ep","P4T1 Ep","P7T1 Ep","P8T2 Ep","P17T1 Ep","P19T1 Ep","P21T1 Ep","P22T2 Ep"
"Krt5",6.12648431668361,5.34531384416983,7.4040025768791,6.09939113000161,7.08605695353259,4.84888683235482,6.18253275603006,6.22817668285548,7.67355557442478,5.08506129659702,6.35752075594906,5.9944320177779,7.51471821865195,7.02558376465622,6.4982977657733,7.72161193871211,8.4070331482153,6.64177913121508,6.17323785893691,6.961094417763,4.16329189334128,5.60125980990838,7.10567843009068,7.05956516413209,6.19199013604022,5.20909664513271,9.75890851724521,7.54848468814888,5.32141123200561,8.70242497540968,5.46053973434297,5.61807552923012,8.44610478322116,7.68334993704556,6.31399706248366,9.2792638235846,9.86218407814617,11.8433598864951,11.5464377376583,9.83591645064392,11.250036660182,10.8835482050048,11.5548464091048,12.8277249670836,11.276937171875,12.4912569887633,12.0080000618344,12.7210466371622,9.37208941687246,11.7076865883725,10.4692825852468,10.4787183234328,12.7717562197998,12.935161762337,13.0880495348906,6.21495453415497,10.8894950441295,9.51506625774514,11.9793395856861,11.5169251984209,9.87880057901521,10.3382170759945,11.8714146059351,10.8447658085475,12.3969101333904,13.1075117270633,10.0846290141518,10.2837984061676,7.93027900861739,8.32023519171164,9.06894235402234,8.42961725469572,9.96084176726919,10.1487334236132,9.66409119156748,10.112152738869,10.6590003637996,10.8037776567207,9.78842216844802,9.00270099562019,10.4282510178855,10.1124077001817,10.2047209955647,9.83607856002648,10.629831671015,10.1380995912308,10.4824659159263
"Krt14",7.33681890248049,5.6330662553965,4.76857242602152,5.38234534731112,5.33862732575277,3.48748816779447,4.08073464398285,5.91629636628401,6.14345592747222,5.57571197106328,6.9370741334706,6.0740294338584,6.91142831568001,4.36806138447102,4.74320209126744,5.28785948488064,8.59889179894594,6.10069973312312,4.48195121692398,6.08347453062426,5.565166383543,4.58067944097444,7.19447230230262,5.55445329068027,4.47952860070878,5.20909664513271,7.93257790079095,6.33138076536999,5.5465934573854,6.65794851160561,4.44451611752016,4.99989365715961,6.19471717238377,6.66028287917206,5.39297537489185,10.527942586309,8.12512598381047,10.7901306196484,10.4522188903118,8.48559188173013,10.1236093583639,9.96595318411209,11.0964322807023,12.6029274220695,10.933229730736,13.5532649004435,11.7085219246403,9.67596949360694,6.86399000951659,9.02479833944161,9.08126243956379,7.9384845717319,12.7119702376455,12.9686431254135,11.991820874007,7.53709276692151,9.87453249605303,9.9609640850125,7.61888740814068,10.5384859268217,9.03767728932046,11.8769335733073,12.6036713024829,8.57355224148657,11.2064533948914,10.2682471065402,10.8562352209436,7.47076143470596,6.85281805186332,6.99252436207516,7.84726279373897,7.10497618555454,9.26202050217292,8.32411142799901,8.99932519420921,10.0293057031949,9.95982529514094,11.2757459365064,7.39901309987189,7.22717957870533,10.3825538640014,10.1879626251601,7.801980876163,11.0722586931364,8.72946117223754,9.14320064170698,8.82160654256798
"Cdh3",6.54528805293455,7.25617211020793,6.23617677930776,6.33997632584791,6.65750507544443,6.17272248838396,5.77494181157256,5.73715887976125,6.07052551258722,6.78212124182198,5.55930869162476,6.68819317132462,6.74475211745207,7.70949266933247,6.0390345648926,5.55639414482965,6.10515735862311,6.93747049663228,4.99814535767458,3.48748816779447,5.64365393636653,6.57603638877141,7.22639398322329,5.25883357552723,6.43030915924028,6.07160509184085,5.45671836043793,5.88960522855331,6.29328400429385,6.54889359306408,6.95854621298267,8.82316783452144,7.56390088119271,7.5777601708299,7.88750345837178,5.77012273129539,7.10724694821362,6.70601748615692,7.72853732679694,6.06223276958084,6.24534364325963,5.82583070169221,7.94620159427466,9.27877875607056,6.1367123154778,9.5274861972468,7.04191651654109,8.93381314463992,5.41576010948731,5.17786185517295,6.65972243195821,6.55397593887069,8.96988352270355,8.57647257032344,9.26935953605225,6.45831030358598,6.58347094529638,4.2147975215295,7.64756521180331,7.59404293190063,5.98833567380696,5.8512121430814,8.18006515313392,6.53478388756315,7.56810294144445,7.9294440843804,6.68952040999241,5.15950416418191,5.14219717196111,5.02107780784726,3.48748816779447,5.27466231661605,5.3841329426297,5.16696316140094,5.4640135396069,5.62011964555882,5.85705196917694,4.46074159008131,6.17743665512733,5.22445879930676,6.76529714477933,7.13505648895795,4.98226178223139,4.66633444246934,5.9684889023398,3.48748816779447,6.09378364677979
"Cnn1",5.01772482977575,4.26822710937249,5.43014015966609,4.81183413676195,5.77426591223334,4.23412796324129,6.12933176118536,6.45168136306106,5.63164488593443,5.79909641578401,6.50097846170185,3.48748816779447,7.29230899259373,4.55805241943536,6.06156375058237,6.76499897681085,8.05542339560269,5.09032052979698,5.49113055220912,5.63620476918214,4.31151649707132,5.65321703275409,6.33280004735392,4.51132426699718,4.75265682838669,5.10152232183547,9.66392952184756,6.34583773189945,3.89480503242232,6.64477050063186,5.71302963381435,4.66340878119579,7.57640723335176,6.43419156417282,5.49963240576444,8.35378223354689,9.7941432069941,10.4566057339212,9.62013850756277,10.3815034956151,10.3781556767547,8.9186948023249,10.4299763598224,11.5993326807849,11.1658112069212,11.0304040053343,11.0240445484609,12.3307717652336,7.57420289463617,10.790952710204,8.98466014526198,9.49809644870416,12.0782791007802,9.98710190201032,12.6343480078696,5.9993272528378,10.2207035815453,8.29528718454725,8.34907486798694,9.11483941015191,8.63069279657303,6.7688501530645,8.9413535681612,9.51074311496204,11.1549503885862,11.4621925975363,8.55057817612049,9.76142717277988,6.60993460326408,6.76311073582656,6.4494556273151,8.62271448072414,9.37522515311615,8.4585777744169,8.57950575051044,9.46097295369499,10.1990974166171,10.1524894795961,9.70840091531841,8.49391046611147,9.83991541750459,8.6926379239772,6.19660664169856,5.3372144949813,9.86255284944564,7.8951780639059,9.02341220044455
"Tp63",5.01772482977575,3.48748816779447,4.26889806741149,4.52708281357569,3.48748816779447,4.46731882437168,4.60345775749798,4.93774552324481,4.27125025070623,5.79909641578401,5.30830255053323,3.48748816779447,5.41281771084636,3.48748816779447,3.91780094084796,4.94252086158826,6.01944677279343,4.53124164216087,3.86972664195697,4.30824901752162,5.565166383543,3.48748816779447,3.48748816779447,4.00739851097859,4.1957352559604,3.48748816779447,6.63054488511513,4.61143407942585,3.89480503242232,5.71940105710773,4.6697573350382,4.81115606116856,6.25939715515959,4.51668337671361,4.27065235930861,5.00171125613577,7.46650519310286,8.42562377308626,8.23562294368967,7.47847575031471,6.54242535918231,8.22054172365274,8.22749064642414,9.97509513228435,9.05877559788753,9.05050481269001,8.67089294200519,9.39555480616226,4.40017895438509,7.21831032328118,7.54924486915116,6.19872956431504,10.4997062508778,10.0875189311285,9.93773373778881,6.56570817281802,8.27179344882788,7.12857371741247,9.21099082112834,7.98952838803467,6.03296299370478,8.83938699967845,7.61861848577187,7.72649767667912,8.87084203135402,9.82933467128614,7.51779426239483,8.11118779197842,5.32815333348719,5.35779535993935,6.37912650753948,6.36767458566828,5.61402079466795,6.34680170030892,6.60270668647884,7.49862278545705,7.39276360245035,8.47587744683184,6.42460839363429,6.41890664359434,8.06058242296753,7.5605902045286,6.65509930075602,7.04752692048518,6.94795086045488,3.48748816779447,7.79956233584993
"Itgb6",5.46605684181863,3.48748816779447,4.81066804581008,3.48748816779447,5.82612706080363,3.86391953798023,5.18089279075457,4.97073209858905,5.5785534199417,6.18378096765524,5.28018472559198,5.28937013318716,7.13710491161892,5.26919309945454,3.48748816779447,5.81196445463504,5.9279629467215,4.61101183150107,3.48748816779447,4.94366986934211,5.64365393636653,3.48748816779447,5.74846570178961,6.04826079512635,4.1957352559604,3.48748816779447,6.18282139040893,5.76338270505204,4.38667908172829,6.75915730504014,3.94503309143067,5.78169729870535,7.37627031895899,5.63431801731912,4.01311991400934,8.26414114036431,9.03444053633658,8.5376058310898,10.8883418272267,9.59487553127187,9.15407256355564,10.1030048480295,10.7662256287823,10.646477636721,11.0575718670548,10.1630332315567,8.40898590755992,9.96844462290198,8.93237380768253,9.32854394179098,10.1155210262724,9.50763137155896,9.77808465225312,10.6236652414174,11.8303074512445,5.42381640648205,9.24223415904096,9.52840238259082,10.5462212070242,10.70128945883,10.7567127349335,9.53180308372362,9.76130192324892,9.34561644308517,9.99188434870774,10.2025654477669,7.81786961770016,10.4793092671245,8.1262284233828,10.6035212844043,8.19334846303518,10.0349320961039,8.89212790393263,9.97053819093564,10.6370564858694,8.54212281348819,11.4778488568797,8.15169819049717,8.15165092368058,9.56961216521731,8.38325742912155,9.89980630390556,11.4084418072328,10.1448347325022,9.19826026671108,10.3704683053074,8.78304026448594
"Oxt",3.48748816779447,4.38548227776282,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.97033791209446,3.48748816779447,4.14089105342149,3.85269086555279,3.48748816779447,3.91780094084796,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,4.94916223144128,3.48748816779447,3.48748816779447,4.21888006444909,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,4.46945811497442,3.48748816779447,3.48748816779447,3.94246261551032,3.48748816779447,3.48748816779447,3.48748816779447,4.71433177128674,4.81628133548053,3.48748816779447,3.48748816779447,4.60843894499857,3.48748816779447,3.48748816779447,3.85866741750114,4.16554734670554,3.91547709557573,4.01977835282419,3.48748816779447,4.05559037398384,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,4.00886223578355,3.48748816779447,3.48748816779447,3.95099592005451,4.16043693553838,3.48748816779447,3.82928579387658,3.48748816779447,3.48748816779447,3.92256677086897,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,4.31998665789526,3.97922184101751,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447
"Mme",5.35386356212403,4.70097388251576,3.48748816779447,3.48748816779447,3.48748816779447,3.48748816779447,4.17093789374278,4.53363043055577,3.48748816779447,5.57571197106328,4.74858770174834,3.48748816779447,4.93570534657872,3.48748816779447,4.80684763600789,3.48748816779447,5.14014372186629,3.92131639253947,3.48748816779447,3.48748816779447,5.68119174190133,4.26950833267702,6.69711889050849,4.51132426699718,4.81049029793703,3.48748816779447,4.78747217558415,3.48748816779447,3.48748816779447,3.48748816779447,4.27354546120014,5.11003483762843,5.77091343575444,3.88354384387543,3.48748816779447,10.5775693754733,7.04123223490809,8.30419072041338,6.11539375809984,8.58262895828074,9.1191214950721,9.54589436473387,11.0045320931094,8.76817968975045,6.96389299374699,9.15193642170522,6.13868617496393,7.9780615396256,7.25460254078771,7.92722198312765,8.97767255217439,6.19872956431504,7.58269118144054,10.6301537602595,10.2566465913024,10.7515947588293,8.83134325420329,8.15967857554469,10.5510931385427,9.73103015575282,9.00951689084923,8.71616112552341,10.2477973173419,5.68763559250099,7.27580500088321,7.15981465091702,7.08547145631934,5.15950416418191,4.49470067956126,4.32264714587078,3.92125006627772,5.81161699601719,7.12946056212577,8.46969796821364,9.28791671354581,6.91689243503043,4.86861303609871,3.48748816779447,5.61528859938964,7.19889170274957,6.28721779357585,7.85262455376163,5.47929346888977,7.49207236180042,6.65341207112351,7.96886561840466,4.80927898204961
"Vim",14.4305737427224,14.5392811441502,14.1938056035147,14.0490675991606,14.1565276827574,13.9106700759612,13.9236223954091,13.81092617239,14.002852352389,13.0489127361861,13.2282495670265,15.1866278776521,14.5061030548375,13.7674996766479,14.0349726779671,14.4307117521766,14.5604458030083,14.3791045665429,15.1475259682032,15.5841280365463,15.5815503797696,14.6826276497247,13.9561176238039,13.5178119671044,14.5733189698246,14.7576308103384,14.5711205402749,13.882289448899,13.4156871394332,14.7229255707174,14.3737248051029,13.8096289785066,14.6645028384356,14.207453432767,14.1470282808427,15.6956052324389,11.0195851425978,14.3660698919778,10.5624283554105,12.9357582351488,12.5063669945865,12.5284596967824,11.1934439629282,10.478866622156,10.9751666157847,13.9064862387249,11.7991735081574,12.2243133421144,11.1146367377485,10.3972810545414,9.6962993088172,10.3178774445005,13.9509548054973,14.3199582584496,14.0472999922559,14.3463313392254,13.3815309640366,11.6559364093956,13.3874531247012,13.8299346144995,10.6617226723538,13.1318787364001,14.1634431136565,10.6028106552929,10.9092212446411,11.6604887588815,11.4360431353274,9.03023381984233,8.57261312195932,7.69040579366291,12.7047239936014,9.67923568530223,9.38694759893652,9.87870674970547,9.65985802936869,8.7030915093289,10.3804622768573,10.9901483624115,8.36119067353358,8.27311476128535,11.0580423665049,11.3090507432821,8.88102044044795,10.8428137933797,10.2520367210603,11.9198789160465,10.5144913290668
"Fap",3.48748816779447,4.96886853293976,3.48748816779447,5.06802459097113,5.72029401048644,4.13586706971853,4.99818148652453,5.70182337184804,3.48748816779447,5.72877033256292,4.99198252807326,3.95147054921392,5.15007791044011,3.93287041982528,5.07842158866759,5.42927743505708,5.04884899248975,5.5323966242621,6.0722656162089,6.70752106548496,7.42699837136607,5.16202964682201,6.31283447844174,6.70626661289346,6.43030915924028,4.51935930514041,4.25461565006912,3.48748816779447,3.89480503242232,3.48748816779447,4.94816787928368,4.5802563618525,5.4663556196581,4.9150884251603,4.8362281716168,9.66548433740088,6.49901415883241,10.3370597077772,5.14667447371648,7.66775700192388,8.89983016697577,7.82724650128284,5.14123826258265,4.70080065978478,3.48748816779447,8.05498298599125,5.59366754834545,7.62485806231992,6.6447920394192,4.98779075179922,4.88746410465294,4.71549942981166,7.11411962826425,10.1889520448411,9.34210431556338,11.9358060451526,8.01325611143998,8.11990433953564,8.6205216476902,9.08408584151209,6.92466127167171,9.14113563028895,9.69324331217849,3.48748816779447,4.63905473982506,4.7622553069821,5.28885866727829,5.25015998899568,5.25193080260473,3.48748816779447,3.48748816779447,4.61411842377765,4.52815479194061,5.25442928141883,4.14585669497148,3.48748816779447,3.48748816779447,4.66891789796489,4.79984337497198,4.08149065890482,4.95965617864038,5.87487760715559,4.75376046857497,5.3372144949813,3.48748816779447,3.48748816779447,3.48748816779447
