"","starSampleName","FqFile","Rat_ID","Fraction","Batch","Location","Cohort","TRUSTName","Treatment","SampleID","TumorID","Growth","SpatialManual","CD8Frac","TumSize","Time.NMU2Sac","Age.Injection","IFEpAntstrRatio","MHEpAntstrRatio","GrowthRate","MHEpCAM","IFEpCAM","MHSMA","IFSMA","TumorIDnew","knnEpCAM","treatA","MHcut","CD8FracCut","SizeCat"
"14N_B_CD45","CD45_14N_B","20190213_30_CGDA6432-2of3_S5_R1_001.fastq.gz","14N","CD45","2","B","Progression","20190213_30_CGDA6432-2of3_S5_R1_001_report.tsv","PDL1+LY","14N_B_CD45","14N_B","growing","restricted",0.106152004735647,23,79,"32-36",1.447412008,0.923968222,3.315068493,0.368825752742308,0.254006189294359,0.497047179,0.049330514,"P31T1",49.2224298887209,"imm","inf","high","big"
"14N_C_CD45","CD45_14N_C","20190213_32_CGDA6432-2of3_S7_R1_001.fastq.gz","14N","CD45","2","C","Progression","20190213_32_CGDA6432-2of3_S7_R1_001_report.tsv","PDL1+LY","14N_C_CD45","14N_C","stable","restricted",0.0541297977067744,6,79,"32-36",0.188110749,1.136484051,0.55952381,0.264129276925775,0.393517301795883,0.349403564,0.107577749,"P31T2",45.494853238138,"imm","res","high","small"
"14N_D_CD45","CD45_14N_D","20190213_31_CGDA6432-2of3_S6_R1_001.fastq.gz","14N","CD45","2","D","Progression","20190213_31_CGDA6432-2of3_S6_R1_001_report.tsv","PDL1+LY","14N_D_CD45","14N_D","stable",NA,NA,5,79,"32-36",NA,NA,0.762162162,NA,NA,NA,NA,"P31T3",NA,"imm",NA,NA,"small"
"15L_B_CD45","CD45_15LB","20191030_CD45_15LB_CGDA7427_S29_R1_001.fastq.gz","15L","CD45","3","B","Progression","20191030_CD4515LB_report.tsv","PDL1+LY","15L_B_CD45","15L_B","growing","restricted",0.0129612204366809,10,79,"32-36",0.3625171,0.865393075,3.5,0.296396958640746,0.222677165354331,0.477286756,0.11511811,"P33T1",32.6957878212506,"imm","res","low","small"
"15N_C_CD45","CD45_15N_C","20190213_34_CGDA6432-2of3_S8_R1_001.fastq.gz","15N","CD45","2","C","Progression","20190213_34_CGDA6432-2of3_S8_R1_001_report.tsv","PDL1+LY","15N_C_CD45","15N_C","growing",NA,NA,30,112,"32-36",NA,NA,5.714285714,NA,NA,NA,NA,"P34T1",NA,"imm",NA,NA,"big"
"15R_D_CD45","CD45_15RD","20191030_CD45_15RD_CGDA7427_S30_R1_001.fastq.gz","15R","CD45","3","D","Progression","20191030_CD4515RD_report.tsv","PDL1+LY","15R_D_CD45","15R_D","growing","restricted",0.0328312348073089,17,112,"32-36",NA,NA,3.5,0.310208793115696,0.157896926084605,NA,NA,"P35T1",91.0751669576987,"imm","res","low","small"
"16L_D_CD45","CD45_16LD","20191030_CD45_16LD_CGDA7427_S31_R1_001.fastq.gz","16L","CD45","3","D","Progression","20191030_CD45_16LD_report.tsv","PDL1+LY","16L_D_CD45","16L_D","stable","Infiltrating",0.0316167665758732,24,163,"32-36",2.422292994,0.894605774,1.915178571,0.454715384675172,0.300162358654578,0.692639105,0.022557795,"P36T3",38.8586183513779,"imm","inf","low","big"
"17N_A_CD45","CD45_17NA","20191030_CD45_17NA_CGDA7427_S32_R1_001.fastq.gz","17N","CD45","3","A","Progression","20191030_CD4517NA_report.tsv","Vehicle","17N_A_CD45","17N_A","growing","restricted",0.0472687015058753,28,169,"32-36",0.42325455,0.854231072,6.8,0.254948603683486,0.0907524861013233,0.442566925,0.032025683,"P39T1",61.8664174149397,"control","res","high","big"
"2N__CD45","CD45_2N","20190213_37_CGDA6432-2of3_S10_R1_001.fastq.gz","2N","CD45","2","","Progression","20190213_37_CGDA6432-2of3_S10_R1_001_report.tsv","Vehicle","2N__CD45","2N_","growing","restricted",0.0301040967138085,47,77,"32-36",0.777085651,0.831594727,11.7,0.349187824159711,0.28264080077306,0.47793853,0.081955257,"P4T1",47.7725991706215,"control","res","low","big"
"2R_A_CD45","CD45_2RA","20191030_CD45_2RA_CGDA7427_S33_R1_001.fastq.gz","2R","CD45","3","A","Progression","20191030_CD452RA_report.tsv","Vehicle","2R_A_CD45","2R_A","growing","restricted",0.0858191749091156,20,84,"32-36",0.057654723,0.575054755,3.542857143,0.564459690484411,0.437104298567144,0.659399331,0.127874042,"P5T1",44.8085737802091,"control","inf","high","big"
