"","starSampleName","FqFile","Rat_ID","Fraction","Batch","Location","Cohort","TRUSTName","Treatment","SampleID","TumorID","Growth","SpatialManual","CD8Frac","TumSize","Time.NMU2Sac","Age.Injection","IFEpAntstrRatio","MHEpAntstrRatio","GrowthRate","MHEpCAM","IFEpCAM","MHSMA","IFSMA","TumorIDnew","knnEpCAM","treatA","MHcut","CD8FracCut","SizeCat"
"6R_B_DN","DN_6R_B","20190213_66_CGDA6432-3of3_S15_R1_001.fastq.gz","6R","DN","2","B","Progression","20190213_66_CGDA6432-3of3_S15_R1_001_report.tsv","LY","6R_B_DN","6R_B","growing","Infiltrating",0.155480427254777,18,79,"32-36",0.065683104,0.72734772,2.8,0.502964931439173,0.144683951361672,0.793140296,0.248618229,"P17T1",76.3795461306288,"imm","inf","high","small"
"6R_D_DN","DN_6RD","20191030_DN_6RD_CGDA7428_S22_R1_001.fastq.gz","6R","DN","3","D","Progression","","LY","6R_D_DN","6R_D","stable",NA,NA,6,79,"32-36",NA,NA,1.285714286,NA,NA,NA,NA,"P17T3",NA,"imm",NA,NA,"small"
"8R_CU_DN","DN_8R_CU","20190213_69_CGDA6432-3of3_S16_R1_001.fastq.gz","8R","DN","2","CU","Progression","20190213_69_CGDA6432-3of3_S16_R1_001_report.tsv","LY","8R_CU_DN","8R_CU","growing","restricted",0.0287668011746126,27,127,"32-36",1.644601194,1.035013568,5.514285714,0.367612658782466,0.234742288985289,0.496364984,0.022024642,"P22T2",50.0010143574618,"imm","inf","low","big"
"8R_CL_DN","DN_8RCL","20191030_DN_8RCL_CGDA7428_S23_R1_001.fastq.gz","8R","DN","3","CL","Progression","","LY","8R_CL_DN","8R_CL","growing","restricted",0.0176690744267719,12,127,"32-36",3.425675676,1.189562304,12,0.576517533901973,0.618636564851704,0.676712797,0.032757857,"P22T1",15.1296644410754,"imm","inf","low","small"
"9L_A_DN","DN_9LA","20191030_DN_9LA_CGDA7428_S24_R1_001.fastq.gz","9L","DN","3","A","Progression","","PDL1+LY","9L_A_DN","9L_A","growing",NA,NA,45,238,"32-36",NA,NA,5.85046729,NA,NA,NA,NA,"P23T1",NA,"imm",NA,NA,"big"
"10L_D_Ep","Ep_10L_D","20190213_2_CGDA6432-1of3_S1_R1_001.fastq.gz","10L","Ep","2","D","Progression","20190213_2_CGDA6432-1of3_S1_R1_001_report.tsv","PDL1","10L_D_Ep","10L_D","stable","Infiltrating",0.0681087685159526,10,79,"32-36",0.416700736,0.94993288,1.972972973,0.619188600369958,0.294437349648065,0.744285326,0.14528823,"P24T3",34.3310980038422,"imm","inf","high","small"
"10R_BL_Ep","Ep_10R_BL","20190213_3_CGDA6432-1of3_S2_R1_001.fastq.gz","10R","Ep","2","BL","Progression","20190213_3_CGDA6432-1of3_S2_R1_001_report.tsv","PDL1","10R_BL_Ep","10R_BL","growing","restricted",0.0202714813177359,40,98,"32-36",0.319648094,0.875498666,4.976190476,0.437652145932401,0.221338048924256,0.744856161,0.201002063,"P26T1",44.9270325366952,"imm","inf","low","big"
"10R_BU_Ep","Ep_10RBU","20191030_Ep_10RBU_CGDA7428_S5_R1_001.fastq.gz","10R","Ep","3","BU","Progression","","PDL1","10R_BU_Ep","10R_BU",NA,"restricted",0.0670640985529038,12,98,"32-36",0.122224415,0.662756279,NA,0.303427530168004,0.0816202095465047,0.626822733,0.113365442,"P26T2",87.1290119223447,"imm","res","high","small"
"11L_B_Ep","Ep_11LB","20191030_Ep_11LB_CGDA7428_S6_R1_001.fastq.gz","11L","Ep","3","B","Progression","","PDL1","11L_B_Ep","11L_B","growing",NA,0.152177738773681,25,112,"32-36",NA,354.5248148,3.785714286,0.237714655738112,0.208010474138151,0.000923214,0,"P27T1",69.1029642114784,"imm","res","high","big"
"11N_D_Ep","Ep_11N_D","20190213_4_CGDA6432-1of3_S3_R1_001.fastq.gz","11N","Ep","2","D","Progression","20190213_4_CGDA6432-1of3_S3_R1_001_report.tsv","PDL1","11N_D_Ep","11N_D","stable","Infiltrating",0.380067171051444,3,127,"32-36",0.005010206,0.814101645,0.106557377,0.677785426855763,0.4326199016557,0.763377859,0.128013873,"P28T1",26.8977347268818,"imm","inf","high","small"
"11R_D_Ep","Ep_11R_D","20190213_5_CGDA6432-1of3_S4_R1_001.fastq.gz","11R","Ep","2","D","Progression","20190213_5_CGDA6432-1of3_S4_R1_001_report.tsv","PDL1","11R_D_Ep","11R_D","growing","restricted",0.0224452418752018,25,112,"32-36",0.65275967,0.930339963,3.642857143,0.264607307635754,0.232350672435188,0.452648317,0.077170742,"P29T2",73.8246082169253,"imm","res","low","big"
"11R_C_Ep","Ep_11RC","20191030_Ep_11RC_CGDA7428_S7_R1_001.fastq.gz","11R","Ep","3","C","Progression","","PDL1","11R_C_Ep","11R_C","growing","restricted",0.050418603715108,19,112,"32-36",1.00974026,0.735875837,2.678571429,0.026178252509128,0.0386687955293883,0.063259805,0.007683864,"P29T1",153.335126312092,"imm","res","high","small"
"12L_D_Ep","Ep_12L_D","20190213_6_CGDA6432-1of3_S5_R1_001.fastq.gz","12L","Ep","2","D","Progression","20190213_6_CGDA6432-1of3_S5_R1_001_report.tsv","PDL1","12L_D_Ep","12L_D","stable","Infiltrating",0.0223692560965648,6,127,"32-36",0.000835422,0.224775093,0.77027027,0.677104279711371,0.83623595505618,0.836501527,0.336235955,"P30T2",12.7475805953277,"imm","inf","low","small"
"14N_C_Ep","Ep_14N_C","20190213_9_CGDA6432-1of3_S7_R1_001.fastq.gz","14N","Ep","2","C","Progression","20190213_9_CGDA6432-1of3_S7_R1_001_report.tsv","PDL1+LY","14N_C_Ep","14N_C","stable","restricted",0.0541297977067744,6,79,"32-36",0.188110749,1.136484051,0.55952381,0.264129276925775,0.393517301795883,0.349403564,0.107577749,"P31T2",45.494853238138,"imm","res","high","small"
"14N_D_Ep","Ep_14N_D","20190213_8_CGDA6432-1of3_S6_R1_001.fastq.gz","14N","Ep","2","D","Progression","20190213_8_CGDA6432-1of3_S6_R1_001_report.tsv","PDL1+LY","14N_D_Ep","14N_D","stable",NA,NA,5,79,"32-36",NA,NA,0.762162162,NA,NA,NA,NA,"P31T3",NA,"imm",NA,NA,"small"
"14R_B_Ep","Ep_14R_B","20190213_10_CGDA6432-1of3_S8_R1_001.fastq.gz","14R","Ep","2","B","Progression","20190213_10_CGDA6432-1of3_S8_R1_001_report.tsv","PDL1+LY","14R_B_Ep","14R_B","growing",NA,NA,35,98,"32-36",NA,NA,4.329896907,NA,NA,NA,NA,"P32T1",NA,"imm",NA,NA,"big"
"15N_C_Ep","Ep_15N_C","20190213_11_CGDA6432-1of3_S9_R1_001.fastq.gz","15N","Ep","2","C","Progression","20190213_11_CGDA6432-1of3_S9_R1_001_report.tsv","PDL1+LY","15N_C_Ep","15N_C","growing",NA,NA,30,112,"32-36",NA,NA,5.714285714,NA,NA,NA,NA,"P34T1",NA,"imm",NA,NA,"big"
"16L_C_Ep","Ep_16L_C","20190213_12_CGDA6432-1of3_S10_R1_001.fastq.gz","16L","Ep","2","C","Progression","20190213_12_CGDA6432-1of3_S10_R1_001_report.tsv","PDL1+LY","16L_C_Ep","16L_C","stable","Infiltrating",0.0476926119861338,7,163,"32-36",1.447638604,1.17388968,0.647540984,0.057419978255721,0.241148993757367,0.058444028,0.021259877,"P36T2",71.6454218187546,"imm","res","high","small"
"17N_D_Ep","Ep_17N_D","20190213_13_CGDA6432-1of3_S11_R1_001.fastq.gz","17N","Ep","2","D","Progression","20190213_13_CGDA6432-1of3_S11_R1_001_report.tsv","Vehicle","17N_D_Ep","17N_D","stable","Infiltrating",0.111526720118085,4,169,"32-36",0.002915452,0.730021351,-0.384615385,0.767514188959579,0.666416002406377,0.892719315,0.154760114,"P39T3",15.0638795777243,"control","inf","high","small"
"2N__Ep","Ep_2N","20190213_14_CGDA6432-1of3_S12_R1_001.fastq.gz","2N","Ep","2","","Progression","20190213_14_CGDA6432-1of3_S12_R1_001_report.tsv","Vehicle","2N__Ep","2N_","growing","restricted",0.0301040967138085,47,77,"32-36",0.777085651,0.831594727,11.7,0.349187824159711,0.28264080077306,0.47793853,0.081955257,"P4T1",47.7725991706215,"control","res","low","big"
"3N_B_Ep","Ep_3N_B","20190213_16_CGDA6432-1of3_S13_R1_001.fastq.gz","3N","Ep","2","B","Progression","20190213_16_CGDA6432-1of3_S13_R1_001_report.tsv","Vehicle","3N_B_Ep","3N_B","stable","Infiltrating",0.276829917860447,6,127,"32-36",13.08280255,1.147356351,0.024590164,0.637179407827275,0.437791145137117,0.647527182,0.003179811,"P7T1",32.3115937542865,"control","inf","high","small"
"3R_C_Ep","Ep_3R_C","20190213_17_CGDA6432-1of3_S14_R1_001.fastq.gz","3R","Ep","2","C","Progression","20190213_17_CGDA6432-1of3_S14_R1_001_report.tsv","Vehicle","3R_C_Ep","3R_C","growing","Infiltrating",0.0232139311385568,32,84,"32-36",1.791469194,0.9042302,5.542857143,0.381122239757883,0.296210760413994,0.599163477,0.036096142,"P8T2",32.119384471498,"control","inf","low","big"
"6R_B_Ep","Ep_6R_B","20190213_20_CGDA6432-1of3_S15_R1_001.fastq.gz","6R","Ep","2","B","Progression","20190213_20_CGDA6432-1of3_S15_R1_001_report.tsv","LY","6R_B_Ep","6R_B","growing","Infiltrating",0.155480427254777,18,79,"32-36",0.065683104,0.72734772,2.8,0.502964931439173,0.144683951361672,0.793140296,0.248618229,"P17T1",76.3795461306288,"imm","inf","high","small"
"7N_A_Ep","Ep_7N_A","20190213_21_CGDA6432-1of3_S16_R1_001.fastq.gz","7N","Ep","2","A","Progression","20190213_21_CGDA6432-1of3_S16_R1_001_report.tsv","LY","7N_A_Ep","7N_A","growing",NA,NA,30,163,"32-36",NA,NA,2.355555556,NA,NA,NA,NA,"P19T1",NA,"imm",NA,NA,"big"
"8L_D_Ep","Ep_8L_D","20190213_22_CGDA6432-1of3_S17_R1_001.fastq.gz","8L","Ep","2","D","Progression","20190213_22_CGDA6432-1of3_S17_R1_001_report.tsv","LY","8L_D_Ep","8L_D","stable","Infiltrating",0.0562336342953625,6,127,"32-36",743,2.89926028,0.241803279,0.6488849150546,0.65089058524173,0.265669835,0.000254453,"P21T1",16.3662319888764,"imm","inf","high","small"
"8R_CU_Ep","Ep_8R_CU","20190213_23_CGDA6432-1of3_S18_R1_001.fastq.gz","8R","Ep","2","CU","Progression","20190213_23_CGDA6432-1of3_S18_R1_001_report.tsv","LY","8R_CU_Ep","8R_CU","growing","restricted",0.0287668011746126,27,127,"32-36",1.644601194,1.035013568,5.514285714,0.367612658782466,0.234742288985289,0.496364984,0.022024642,"P22T2",50.0010143574618,"imm","inf","low","big"
"NMU12_RL_Ep","Ep_NMU12RL","20191030_Ep_NMU12RL_CGDA7428_S2_R1_001.fastq.gz","NMU12","Ep","3","RL","Characterisation","","Vehicle","NMU12_RL_Ep","NMU12_RL",NA,NA,NA,6,61,"35",NA,NA,NA,NA,NA,NA,NA,"C9T2",NA,"control",NA,NA,"small"
"Control1__CD45","Mammarygland_leukocyte_control","20170125_Control4_Mammarygland__CD45_CGDA5146_S8_R1_001.fastq.gz","Control1","CD45","1","","Characterisation","20170125_Control4_Mammarygland__CD45_CGDA5146_S8_R1_001_report.tsv","Vehicle","Control1__CD45","Control1_",NA,NA,NA,NA,NA,"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA
"NMU10_LL_Ep","Tumor_epithelial_NMU10_LL","20170125_NMU10_Tumor_LL_EpCAM_CGDA5146_S10_R1_001.fastq.gz","NMU10","Ep","1","LL","Characterisation","","Vehicle","NMU10_LL_Ep","NMU10_LL",NA,NA,NA,4,61,"35",NA,NA,NA,NA,NA,NA,NA,"C7T1",NA,"control",NA,NA,"small"
"NMU12_LA_Ep","Tumor_epithelial_NMU12_LA","20170125_NMU12_Tumor_LA_EpCAM_CGDA5146_S11_R1_001.fastq.gz","NMU12","Ep","1","LA","Characterisation","","Vehicle","NMU12_LA_Ep","NMU12_LA",NA,NA,NA,12,110,"35",NA,NA,NA,NA,NA,NA,NA,"C9T1",NA,"control",NA,NA,"big"
"NMU13_LAU_Ep","Tumor_epithelial_NMU13_LAU","20170125_NMU13_Tumor_LAU_EpCAM_CGDA5146_S13_R1_001.fastq.gz","NMU13","Ep","1","LAU","Characterisation","","Vehicle","NMU13_LAU_Ep","NMU13_LAU",NA,NA,NA,14,160,"35",NA,NA,NA,NA,NA,NA,NA,"C10T2",NA,"control",NA,NA,"big"
"NMU13_LLU_Ep","Tumor_epithelial_NMU13_LLU","20170125_NMU13_Tumor_LLU_EpCAM_CGDA5146_S12_R1_001.fastq.gz","NMU13","Ep","1","LLU","Characterisation","","Vehicle","NMU13_LLU_Ep","NMU13_LLU",NA,NA,NA,4,160,"35",NA,NA,NA,NA,NA,NA,NA,"C10T4",NA,"control",NA,NA,"small"
"NMU14__Ep","Tumor_epithelial_NMU14","20170125_NMU14_Tumor__EpCAM_CGDA5146_S15_R1_001.fastq.gz","NMU14","Ep","1","","Characterisation","","Vehicle","NMU14__Ep","NMU14_",NA,NA,NA,6,160,"35",NA,NA,NA,NA,NA,NA,NA,"C11T1",NA,"control",NA,NA,"small"
"NMU7_RLU_Ep","Tumor_epithelial_NMU7_RLU","20170125_NMU7_Tumor_RLU_EpCAM_CGDA5146_S9_R1_001.fastq.gz","NMU7","Ep","1","RLU","Characterisation","","Vehicle","NMU7_RLU_Ep","NMU7_RLU",NA,NA,NA,4,55,"35",NA,NA,NA,NA,NA,NA,NA,"C17T4",NA,"control",NA,NA,"small"
"NMU10_LL_CD45","Tumor_leukocyte_NMU10_LL","20170125_NMU10_Tumor_LL_CD45_CGDA5146_S2_R1_001.fastq.gz","NMU10","CD45","1","LL","Characterisation","20170125_NMU10_Tumor_LL_CD45_CGDA5146_S2_R1_001_report.tsv","Vehicle","NMU10_LL_CD45","NMU10_LL",NA,NA,NA,4,61,"35",NA,NA,NA,NA,NA,NA,NA,"C7T1",NA,"control",NA,NA,"small"
"NMU12_LA_CD45","Tumor_leukocyte_NMU12_LA","20170125_NMU12_Tumor_LA_CD45_CGDA5146_S3_R1_001.fastq.gz","NMU12","CD45","1","LA","Characterisation","20170125_NMU12_Tumor_LA_CD45_CGDA5146_S3_R1_001_report.tsv","Vehicle","NMU12_LA_CD45","NMU12_LA",NA,NA,NA,12,110,"35",NA,NA,NA,NA,NA,NA,NA,"C9T1",NA,"control",NA,NA,"big"
"NMU13_LAU_CD45","Tumor_leukocyte_NMU13_LAU","20170125_NMU13_Tumor_LAU_CD45_CGDA5146_S5_R1_001.fastq.gz","NMU13","CD45","1","LAU","Characterisation","20170125_NMU13_Tumor_LAU_CD45_CGDA5146_S5_R1_001_report.tsv","Vehicle","NMU13_LAU_CD45","NMU13_LAU",NA,NA,NA,14,160,"35",NA,NA,NA,NA,NA,NA,NA,"C10T2",NA,"control",NA,NA,"big"
"NMU13_LLU_CD45","Tumor_leukocyte_NMU13_LLU","20170125_NMU13_Tumor_LLU_CD45_CGDA5146_S4_R1_001.fastq.gz","NMU13","CD45","1","LLU","Characterisation","20170125_NMU13_Tumor_LLU_CD45_CGDA5146_S4_R1_001_report.tsv","Vehicle","NMU13_LLU_CD45","NMU13_LLU",NA,NA,NA,4,160,"35",NA,NA,NA,NA,NA,NA,NA,"C10T4",NA,"control",NA,NA,"small"
"NMU13_RAU_CD45","Tumor_leukocyte_NMU13_RAU","20170125_NMU13_Tumor_RAU_CD45_CGDA5146_S6_R1_001.fastq.gz","NMU13","CD45","1","RAU","Characterisation","20170125_NMU13_Tumor_RAU_CD45_CGDA5146_S6_R1_001_report.tsv","Vehicle","NMU13_RAU_CD45","NMU13_RAU",NA,NA,NA,8,160,"35",NA,NA,NA,NA,NA,NA,NA,"C10T6",NA,"control",NA,NA,"big"
"NMU14__CD45","Tumor_leukocyte_NMU14","20170125_NMU14_Tumor__CD45_CGDA5146_S7_R1_001.fastq.gz","NMU14","CD45","1","","Characterisation","20170125_NMU14_Tumor__CD45_CGDA5146_S7_R1_001_report.tsv","Vehicle","NMU14__CD45","NMU14_",NA,NA,NA,6,160,"35",NA,NA,NA,NA,NA,NA,NA,"C11T1",NA,"control",NA,NA,"small"
"NMU7_RLU_CD45","Tumor_leukocyte_NMU7_RLU","20170125_NMU7_Tumor_RLU_CD45_CGDA5146_S1_R1_001.fastq.gz","NMU7","CD45","1","RLU","Characterisation","20170125_NMU7_Tumor_RLU_CD45_CGDA5146_S1_R1_001_report.tsv","Vehicle","NMU7_RLU_CD45","NMU7_RLU",NA,NA,NA,4,55,"35",NA,NA,NA,NA,NA,NA,NA,"C17T4",NA,"control",NA,NA,"small"
