"","CD8","EpCAM","EpCAM:SMA","SMA","Unclass","CD8frac","EpCAMfrac","EpCAM:SMAfrac","SMAfrac","Unclassfrac","knn.EpCAM","knn.EpCAM..SMA","knn.SMA","knn.Unclass","knn.EpMIN","knn.EpStrRatio1","knn.EpStrRatio2","knn.EpStrRatio3","knn.EpStrRatio4","IF.CD8","IF.EpCAM","IF.EpCAM..SMA","IF.SMA","IF.Unclass","IF.EpMIN","IF.EpStrRatio1","IF.EpStrRatio2","IF.EpStrRatio3","IF.EpStrRatio4","MH.EpCAM","MH.EpCAM..SMA","MH.SMA","MH.Unclass","MH.EpMIN","MH.EpStrRatio1","MH.EpStrRatio2","MH.EpStrRatio3","MH.EpStrRatio4","GrowthRate","TumSize","knn.EpCAMcut","MH.EpCAMcut","IF.EpCAMcut","CD8Fraccut","CD8","EpCAM","EpCAM: SMA","SMA","Unclass","Trichrome","Growth","Treatment","NewID","trichrome_pc"
"10LB",65507,761887,343389,1126173,563894,0.0228977401821137,0.266314906408934,0.120030410542321,0.393649789398256,0.197107153468375,39.9619294720996,52.7225336699768,16.9493539789847,28.0762263357204,39.9619294720996,0.573573227604308,2.35772581784816,1.33029929674165,5.46831833573095,0.205382630863877,0.223655487199841,0.0803883554429298,0.590501778435892,0.301082327079549,0.0803883554429298,0.33337125694002,0.378754976474846,0.453194684627287,0.514890646812471,0.358014288482878,0.351080794577143,0.499020043159828,0.451370275251266,0.351080794577143,0.421143319227796,0.717434687023607,0.834130554379505,1.4209751547653,6.22857142857142,35,NA,"high","low","low",0.0228977401821137,0.266314906408934,0.120030410542321,0.393649789398256,0.197107153468375,0.12664383309166,"growing","PDL1","P24T1","0.75"
"10LC",3481,102702,58017,106919,75799,0.0100340714520434,0.296041139404701,0.167235485042575,0.308196749664186,0.218492554436495,32.1225777378723,34.5773378976414,17.8734545331956,24.2862577170351,32.1225777378723,0.612432648757976,1.79722267333449,1.27166650005271,3.73178646084532,0.0784257397299627,0.316862970410801,0.237575409365125,0.476874461361678,0.37144498707268,0.237575409365125,0.443506232408523,0.6644578313253,0.776035383996782,1.16265060240964,0.333823897052082,0.369071548469592,0.393756587710418,0.437058310444382,0.333823897052082,0.437613508494536,0.847792538515159,0.921433560436747,1.78510142422965,5.35714285714286,25,"high","low","high","low",0.0100340714520434,0.296041139404701,0.167235485042575,0.308196749664186,0.218492554436495,0.150025705049749,"growing","PDL1","P24T2","0.5"
"10LD",67342,192699,204061,402092,122548,0.0681087685159526,0.194893106594036,0.206384476435713,0.406670294171786,0.123943354282513,34.3310980038422,30.1813313277352,15.9708642750149,35.9949538858457,30.1813313277352,0.74386705887935,2.14960802450437,1.39781929091437,4.03938247928772,0.281622167443794,0.294437349648065,0.256377891954501,0.578673042083692,0.145020937899082,0.256377891954501,0.352598072340577,0.508814698863199,0.659618735996017,0.951859170109575,0.619188600369958,0.559622352044717,0.654266516700005,0.538381373918263,0.559622352044717,0.510086727304995,0.946385891017359,0.971102860209666,1.80172899319435,1.97297297297297,10,"high","high","high","high",0.0681087685159526,0.194893106594036,0.206384476435713,0.406670294171786,0.123943354282513,0.176618842694733,"stable","PDL1","P24T3","0"
"10NA",27239,324933,0,167028,65796,0.046562711539908,0.555444823554349,0,0.285519900990776,0.112472563914967,23.8097655692235,NA,27.4927614773069,48.1920548844928,23.8097655692235,0.866037614623638,0.866037614623638,0.866037614623638,0.866037614623638,0.35915415397041,0.480854656925731,NA,0.320716619552847,0.111274275854473,0.480854656925731,1.49931318681319,1.49931318681319,1.49931318681319,1.49931318681319,0.384919964275964,NA,0.425420726212795,0.338213406453039,0.384919964275964,0.904798333881428,0.904798333881428,0.904798333881428,0.904798333881428,NA,12,"high","high","high","high",0.046562711539908,0.555444823554349,0,0.285519900990776,0.112472563914967,NA,NA,"PDL1","P25T1",NA
"10ND",22618,463070,0,282453,227392,0.0227194879526846,0.465147815290904,0,0.283720378932692,0.228412317823719,26.2080114341122,NA,30.0620994045927,40.017617335768,26.2080114341122,0.871795781172499,0.871795781172499,0.871795781172499,0.871795781172499,0.300866566451499,0.440887788487046,NA,0.173843841188434,0.142629763904855,0.440887788487046,2.53611393692777,2.53611393692777,2.53611393692777,2.53611393692777,0.310797422717848,NA,0.252828317891371,0.236752932077242,0.310797422717848,1.22928248429586,1.22928248429586,1.22928248429586,1.22928248429586,0.393053320756811,15,"high","low","high","low",0.0227194879526846,0.465147815290904,0,0.283720378932692,0.228412317823719,NA,"stable","PDL1","P25T2",NA
"10RBL",3393,58223,25198,42642,37922,0.0202714813177359,0.347853361851617,0.150545471925821,0.254764664412288,0.226565020492538,44.9270325366952,67.362948168925,18.227737713612,26.0789306004034,44.9270325366952,0.524905625810175,2.46476185045964,1.31194159209946,6.16039041541425,0.127910403772473,0.221338048924256,0.203949307397583,0.575891541408783,0.45446507515473,0.203949307397583,0.283824640967498,0.384339815762539,0.545351473922903,0.738485158648925,0.437652145932401,0.427840273019011,0.567694647606992,0.510137131654764,0.427840273019011,0.439615062078587,0.770928786764575,0.869374243956386,1.52457385779438,4.97619047619048,40,NA,"high","low","low",0.0202714813177359,0.347853361851617,0.150545471925821,0.254764664412288,0.226565020492538,NA,"growing","PDL1","P26T1",NA
"10RBU",178767,437050,895393,763776,390628,0.0670640985529038,0.163958472607062,0.335904973488285,0.286529107365132,0.146543347986618,87.1290119223447,76.1212139820092,20.7838391797493,35.2322583582712,76.1212139820092,0.899117322364034,4.19215194886798,1.68464100248569,7.85467133826827,0.43176872689031,0.0816202095465047,0.311947954600122,0.472341092036002,0.287748857451319,0.0816202095465047,0.10406904176028,0.172799298902166,0.50181519917264,0.833228721325454,0.303427530168004,0.366120820732285,0.52823563536701,0.50517263214561,0.303427530168004,0.339269122617388,0.574417002285708,0.748637018645229,1.26751833097193,NA,12,NA,"low","low","high",0.0670640985529038,0.163958472607062,0.335904973488285,0.286529107365132,0.146543347986618,0.145513854031148,NA,"PDL1","P26T2","1"
"10RC",1823,15806,1209,5729,19118,0.0417305711342566,0.361817557514021,0.027675403456564,0.131143413070848,0.43763305482431,25.684014726961,94.6472227236652,31.71923347689,16.9412440359339,25.684014726961,0.203250257221727,0.80972999381192,0.952240341848706,3.79363636067363,0.169500822819528,0.411958310477235,0.0142622051563357,0.157981349424026,0.579813494240263,0.0142622051563357,2.39171974522293,2.60763888888889,2.47452229299363,2.69791666666667,0.565387864632493,0.355684884722381,0.538584895238271,0.609673735494596,0.355684884722381,0.632234116932108,1.04976554231504,1.02997190556456,1.71017189211626,NA,4,"high","high","high","high",0.0417305711342566,0.361817557514021,0.027675403456564,0.131143413070848,0.43763305482431,NA,NA,"PDL1","P26T3",NA
"11LB",196293,587504,13,47,506036,0.152177738773681,0.455467236429688,1.00783553364504e-05,3.64371308317822e-05,0.392308509310462,69.1029642114784,7919.73814699934,6967.17454887033,17.4776096943474,69.1029642114784,0.00464185997615549,0.00991836270596707,0.536635182486648,1.14664001241452,0.692943711696291,0.208010474138151,0,1.01888503410718e-05,0.577473470780924,0,20415.5,20415.5,20415.5,20415.5,0.237714655738112,0.000262380251542153,0.000219777945644102,0.565557023359154,0.000262380251542153,493.022118311688,1081.61287540223,493.566297075159,1082.80671789982,3.78571428571429,25,NA,"low","low","high",0.152177738773681,0.455467236429688,1.00783553364504e-05,3.64371308317822e-05,0.392308509310462,0.133181297679202,"growing","PDL1","P27T1","1"
"11ND",42097,46872,2054,1551,18188,0.380067171051444,0.423177624094906,0.018544266084036,0.014002997417887,0.164207941351727,26.8977347268818,115.537832166079,92.9823657270467,27.030770888554,26.8977347268818,0.128993426050113,0.289277805706096,0.683078034320514,1.53185569951066,0.895123167921705,0.4326199016557,0.0146566263629237,0.00798156638240255,0.276599282609212,0.0146566263629237,19.1101783840504,54.2023809523809,19.7576075550892,56.0386904761905,0.677785426855763,0.394741505650151,0.443402759838575,0.686870422182526,0.394741505650151,0.808673941663901,1.52859992820639,1.2796447779554,2.41885488691225,0.10655737704918,3,"high","high","high","high",0.380067171051444,0.423177624094906,0.018544266084036,0.014002997417887,0.164207941351727,0.374043581170937,"stable","PDL1","P28T1","0"
