"","P24T3","P24T2","P26T1","P27T1","P28T1","P29T2","P29T1","P31T1","P31T2","P31T3","P33T1","P34T1","P35T1","P36T3","P39T1","P4T1","P5T1","P5T2","P5T3","P6T2","P6T1","P7T1","P8T2","P8T1","P13T1","P14T1","P16T1","P17T3","P19T1","P19T2","P21T1","P22T2","P22T1","P23T2"
"Cd300le",8.80263250210236,9.02753239808826,8.93317348218192,9.55375113438608,6.76457919956361,7.9319940153651,7.44863488500059,7.63566786478218,7.93653945935772,7.54434985498379,9.41363692428357,9.6996536741462,7.91863335999172,8.00445814699728,8.80548351671642,11.6090351694506,10.6705874676351,11.0293040816199,12.3885654956347,13.9715269130452,11.24553955574,8.09479243675044,12.202673017029,10.9435256877075,9.43597714703466,10.4102293807502,9.03821326233304,6.53224238250065,10.3363853851382,8.85828735841342,7.91903623202159,10.3915451884567,8.22627956285198,7.50060387844423
"C2",9.95380960520751,9.63732152157113,8.56462184772653,9.23342864642314,8.25698256125385,8.29213686051587,7.75679721896161,7.65475405915663,8.17173054699828,8.25113936210756,9.46739463324435,9.20068927099678,6.54325266422201,7.84122042309943,9.09585688605203,9.5026009960235,10.6770706225401,10.5383867380555,13.2838952639082,11.8649665374037,10.8903911226542,9.90219259648059,11.4343649124637,11.0144982665608,7.68906741551813,8.78105396046154,8.10859532778608,8.9221445221358,9.66377968814662,8.39474863638498,8.30665435246329,9.93703354202661,8.04040603467517,7.6423739986336
"Pltp",12.935629144579,12.4810224998498,11.4299425795784,10.8297879741615,9.74813028590477,11.2645779385521,10.4113113409098,9.86386791221121,9.65810517241447,10.3300744207221,13.1589900508776,12.182013892565,9.75052673799316,11.2829169241574,11.4332382069309,11.9690751668993,13.5447156153006,13.9151781609175,14.9367454828655,15.4214828536173,13.0926973487251,11.1718054556422,15.034632844291,13.3292014468476,11.8851761025281,11.7714160022249,11.1187917915665,8.94520360574561,12.2681147275934,10.7726908295424,11.5089856748947,12.4864967195846,11.2247885161025,9.17508555751321
"Ccl12",6.61943815629336,8.38515722173426,7.7994505027447,7.17090818579686,6.32939561059747,6.64749399541026,5.62869705881198,6.65887135928719,6.05111297114257,6.22437573468258,8.43852117320031,7.65997018304922,6.21883106734501,6.35084428618409,6.90887010879688,10.6110652117226,9.84554004455887,9.85993221904289,10.9847875534915,10.6492552149743,10.1797022500685,7.08100406549373,11.3894403411178,10.3880552824621,6.28452872467341,8.38493354006101,8.78594818549484,5.61150116953674,8.05021509922146,7.33086523862856,6.43628101026793,8.03321865834637,6.31188177676245,6.37129643617178
"Ccl11",6.79841847982957,5.92924891187306,7.70616756944565,9.21322063318729,6.51789748191122,5.85003510119702,5.36595643142849,7.26791131921563,5.83968904154307,5.66496109772779,6.97774878176962,6.34258451317312,7.22068862501012,6.52092526979389,5.7739615014224,9.05221706009485,7.74550594531334,7.57287795057726,8.95769079179566,9.96355237136082,7.92795944264798,6.49039844442292,6.39138061904564,6.7276610344709,6.96079640301624,6.42549274763697,6.64235918809622,5.49450690601319,5.69375440957984,5.88486778751743,6.23035793695706,5.90144991109803,5.56687722453118,5.63128997478071
"Chp2",5.25591689370479,5.77348900035677,6.93908144894221,6.58350071252977,5.25591689370479,5.80947734823583,5.60504163111378,6.07722230041753,6.21558832031826,6.10028288704672,6.4817703137621,6.50472943229234,5.85771290441499,6.10522272191737,6.15752778938319,6.5068659749696,8.15416847265293,7.97524729153239,9.03943986034627,11.4379057843517,8.01756433955498,6.25737248748968,9.31151463857596,8.22234010979156,6.51889131081383,7.17923784764128,6.23211415697486,5.64417764455367,6.83250704212603,6.42873189043968,5.98559831721913,6.91760218259451,5.68988568358807,5.66070859819182
"Crabp1",6.73022009824344,7.04894896882117,5.42610828715116,6.99621571366964,5.83095258751776,6.14905097233055,6.45706183873321,5.57558502720557,5.28431451318911,5.37247542784955,7.18831275517724,5.47290822997935,6.56115880960637,6.22466095882532,5.88539670952531,8.44629895887971,7.33818211039427,6.26865435847287,7.24079374416327,11.4336453812717,6.6601256703986,7.02263404841538,6.03332022209648,6.52888394876474,5.9373807245658,6.94754022946732,6.75411869667383,6.56179896070537,5.82258853738049,6.26245884831111,6.97684761938287,6.3072064959862,5.72785237961504,5.88263276228064
"Fcgr1a",7.79821314870473,8.61601868425065,8.40284969839359,7.87260681823486,6.26594533191986,7.35842900323112,7.20674623205809,6.69668367867816,7.26237925565055,6.94627274209014,8.29718088192531,8.59665020684633,6.61256310665437,7.48091735341559,7.96343843416985,10.0328506536841,9.20438437625372,9.86675274193847,10.5857460060445,12.3528478923934,9.62118869415218,7.58466288529207,11.1489911439911,9.43982435453113,7.73940731266557,9.55075300759075,7.76384679563804,6.85887362695306,8.41118339718724,7.57635858565736,6.87658174711782,8.78019604103084,6.95939092782144,7.36125543026331
"Trem2",6.69910652830245,6.9785257858143,7.01357829527696,6.58837017434535,5.30009184842526,6.38805305047744,6.36370530643809,6.7042118544624,7.14534846373545,6.51061291391359,7.10815101346334,7.52954914353607,6.94019788927653,7.51528247399286,8.77108172714245,8.62924221104813,8.86000688411081,9.4263135412104,10.2353350855808,12.6021336402751,10.3481563331379,7.05517582825907,10.9550382225403,9.67821558847103,6.96820479855494,6.78083979445291,6.32207742393413,5.96105791569665,9.08267487003576,7.38643905770823,7.18321540095114,8.75682590925583,6.92017257688477,6.53149660870138
"RT1-DMb",7.10738147525907,7.01904935829422,7.10738147525907,6.82382178447419,7.10738147525907,7.10738147525907,6.73912351363925,7.10738147525907,7.10738147525907,7.31492669042084,7.1419316679643,7.10738147525907,5.93621576328259,7.20404230930883,7.12401189736929,7.10738147525907,7.3140095985786,8.34256944744663,9.72078268149512,7.10738147525907,7.93417827573876,7.10738147525907,7.40737080235068,7.59571760947057,7.59980425797381,8.11475193979968,7.10738147525907,5.13176521413107,7.10738147525907,6.41693029325221,7.10738147525907,7.10738147525907,6.84384049782659,5.50129680465255
"Fcgrt",10.0817310264868,10.1565383666805,10.6713282884818,9.91256448498874,9.19786418254436,9.99034041667049,10.1294831107991,8.5316412052645,8.99309542588167,9.461223676332,10.7898601595922,9.81587593711101,9.47027949500408,10.4427623943096,10.6304257671766,10.7913183473799,11.717184392611,12.0456285012126,12.4286058258641,14.7797661355797,11.7850689586876,10.1186945670237,12.6822832719309,11.2698247770598,10.6581094042189,10.006763488776,10.4992929674867,8.38993594523194,10.6802331619665,9.43703885049524,9.82256642161772,11.3018108215573,10.8026177244608,8.2737574378105
"Fcna",7.15995913718917,6.77550982093341,7.35800882582173,7.30518916873528,6.4825648557329,6.36362659397433,7.22978335965425,5.92270913073225,6.9115776864447,6.52238524918905,9.07057518974724,6.98672441299353,5.66438188519518,7.48678767776735,6.90412273567406,8.68558368026462,10.13750987621,10.0790599621512,10.0472660231091,13.8329276523899,9.39638595696912,7.26322587055424,9.78715962618425,8.65498975610317,7.12022229918698,8.37972026314559,7.92662545463216,6.27931142597941,8.09720473454937,6.75282703029312,6.83791686954516,8.00033294948646,6.26977524099586,6.10243164904399
"Mafb",10.9400358412874,10.0169294737353,10.3604318427236,10.7581552326811,7.55994644388837,8.83802905090756,8.48260421225314,8.2881847057737,9.60311967307475,9.50009472289742,10.5420182047469,11.5297522721512,9.35270563547907,9.51758917120287,10.5005560066563,12.3032497346777,11.8965257332159,11.7723743243968,13.1607307813432,13.1710267661561,12.8790045252493,10.3744395927785,14.2609783645643,12.4224436293001,9.6982968934149,10.899640679251,8.96862692543788,7.90036649441825,11.7878549036918,10.8104691407769,8.84639439102489,11.5953736758085,9.30900304942936,8.99906808264853
"C1qb",10.5776748607511,10.7377731245314,11.4283175303186,10.5175263779497,6.95066681177371,8.91802010574226,8.48131220803573,9.4400644183723,8.8326212253956,9.41627433129131,11.2379432845764,11.676841915811,8.24812999486625,9.49742721191697,10.5981331261487,12.8405864884772,13.4588240834459,13.4010065378204,14.5964172112446,15.9722354320664,13.5193043400606,9.99964990945583,15.9323806102396,13.4859499658162,9.33678918191492,11.1272392377162,10.2758837098263,8.82864805040757,12.0077978265903,11.2199024848139,8.46568791806153,12.0330429406893,8.40985904541464,9.91152882253985
"Cfh",8.47155668616541,9.45902322697228,8.34238740880849,8.56601366541785,6.87514426403901,8.52916219140334,8.48084572442647,7.02740303013554,8.97863350558348,8.44882053596946,8.1875153372308,9.76473749919681,7.56031759742249,8.15722591438198,9.43712490048174,9.5337708677057,10.1842878589059,10.6819216107233,11.1274647443898,12.7694096766196,11.2932348090354,8.70591877754827,12.7991092759729,11.0650098367271,8.77769435984186,9.82476761676518,7.95587789911575,7.05326206982798,10.6030847615471,9.02016130393588,9.208976674779,9.41895284570456,8.797045167214,8.18914839413123
"Fcnb",11.4401268791289,9.75673395871926,9.38729492049402,11.4629403421348,7.60034747885743,7.78610221883863,7.47780757175648,7.76570414875813,7.4082333811558,8.57044356043923,9.66780671086137,8.92426308088685,7.92347267107076,6.74504846966095,6.8812617237592,11.7357033870908,10.4691024943894,10.5645767461795,14.5551068820605,11.8340909192185,11.1968262639531,9.07990851908347,11.5554823944288,11.4885263764001,9.99276585566496,8.76707666146246,9.84404615571923,8.49777894856428,10.7526203206009,8.69283732544573,6.72310134795387,9.77210325000124,6.91024629095414,7.90210316495065
"C5ar1",7.66769354034818,9.27416649807038,7.93818462256685,8.33184848499799,5.61303866465194,7.27345012960975,7.33091363579036,6.96202637048937,7.15778633531015,7.37152334592967,8.23122003990687,8.730873989113,5.72175097012058,7.1340551199598,8.41621696693085,8.54751989465436,9.03736414510892,9.95424192727093,10.7541246233636,12.6066385518187,9.94987722017292,8.60092823121234,10.9437907314395,10.1225516570996,7.95327304895498,8.97123605589844,8.25670050813638,6.36649097605026,9.26772609644623,8.01624108312217,6.72377894938308,8.68803918371877,6.44672432900282,6.88111475611034
"Fcgr3a",6.16901081555633,6.85879127999589,7.13898506384248,6.41151579836565,5.59776600707893,6.58626472680621,6.39454314477778,6.41224041853098,6.84585476243585,6.85199255092891,6.65361341472582,8.49289470340136,6.0695580574737,6.25532063470885,7.23063544858313,7.43321497622079,8.38642462251506,8.29514640706333,10.0846778682932,9.39576229058059,9.47958738062283,6.34534387321891,10.8161047631343,8.44222592754081,6.28218731794214,6.87423558933358,6.99865547497985,7.24479939278511,7.78480599261077,7.50062006979269,6.53971068239256,7.74047965890925,5.94385870408631,7.38498154710066
"Siglec1",6.76190504267626,6.22955359247258,5.51442618835176,6.85457670613247,5.95545974861027,6.24343738477147,5.67038144939175,5.51442618835176,7.06526736963536,6.16576211980378,6.12311131351274,6.59947910347983,5.09245913916548,4.83511802965043,7.12145088352422,6.90780085122965,8.76933286265903,8.05943743482015,10.030005922985,9.77058315050062,8.07880601661797,5.88646055114924,8.74044828590507,8.10032571662709,5.86256728885292,6.2246312846426,5.51442618835176,5.68104142114857,6.64443098900795,6.29615522922614,6.19787047617664,7.6179263885635,6.16783913599686,5.29083035245944
"C1qa",11.1022717657567,11.6086096320538,12.2621182980335,10.950108607736,7.48303559505524,9.68911683177928,8.56701593264375,9.60948834867257,9.36247501996533,9.77254182382351,12.1942582814275,11.62550001088,8.71574423136607,10.1518842881417,11.1170528600612,13.5977030951063,13.3479557245684,13.624392693284,14.7227028765972,15.9995335105698,13.5656526137625,9.81708848396228,15.9288841733891,13.2551632752581,10.2743106631237,12.1803570030405,10.11776670907,9.08099795808414,12.3081754531304,10.9051927179651,9.25536553727598,12.3604208777208,8.95065997519626,9.61586189165459
