CellCycle,CellCycle.Dir,Hippo,Hippo.dir,Myc,Myc.Dir,Notch,Notch.dir,Nrf2,Nrf2.dir,PI3K,PI3K.dir,TGFB,TGFB.dir,RasRTK,RasRTK.dir,TP53,TP53.dir,Wnt,Wnt.Dir,Breast,Breast.Dir
,,,,,,RBPJ,Ukn,,,,,,,RASGRP1,Ukn,,,WNT7A,OG,,
,,,,,,RBPJL,Ukn,,,,,,,RASGRP2,Ukn,,,WNT7B,OG,,
,,,,,,RBX1,Ukn,,,,,,,RASGRP3,Ukn,,,WNT8A,OG,,
,,,,,,SAP30,Ukn,,,,,,,RASGRP4,Ukn,,,WNT8B,OG,,
,,,,,,SKP1,Ukn,,,,,,,RAPGEF1,Ukn,,,WNT9A,OG,,
,,,,,,SNW1,Ukn,,,,,,,RAPGEF2,Ukn,,,WNT9B,OG,,
,,,,,,CTBP1,Ukn,,,,,,,RASGRF1,Ukn,,,AMER1,TSG,,
,,,,,,CTBP2,Ukn,,,,,,,RASGRF2,Ukn,,,APC,TSG,,
,,,,,,ADAM10,Ukn,,,,,,,FNTA,Ukn,,,AXIN1,TSG,,
,,,,,,APH1B,Ukn,,,,,,,FNTB,Ukn,,,AXIN2,TSG,,
,,,,,,ADAM17,Ukn,,,,,,,RCE1,Ukn,,,DKK1,TSG,,
,,,,,,DLK1,Ukn,,,,,,,ICMT,Ukn,,,DKK2,TSG,,
,,,,,,DLL1,Ukn,,,,,,,MRAS,Ukn,,,DKK3,TSG,,
,,,,,,DLL3,Ukn,,,,,,,PLXNB1,Ukn,,,DKK4,TSG,,
,,,,,,DLL4,Ukn,,,,,,,MAPK3,Ukn,,,GSK3B,TSG,,
,,,,,,DNER,TSG,,,,,,,ARHGAP35,Ukn,,,RNF43,TSG,,
,,,,,,DTX1,Ukn,,,,,,,RASA2,Ukn,,,TCF7,TSG,,
,,,,,,DTX2,Ukn,,,,,,,RASA3,Ukn,,,TCF7L2,TSG,,
,,,,,,DTX3,Ukn,,,,,,,RASAL1,Ukn,,,CHD4,Ukn,,
,,,,,,DTX3L,Ukn,,,,,,,RASAL2,Ukn,,,,,,
,,,,,,DTX4,Ukn,,,,,,,RASAL3,Ukn,,,,,,
,,,,,,EGFL7,Ukn,,,,,,,SPRED1,Ukn,,,,,,
,,,,,,,,,,,,,,SPRED2,Ukn,,,,,,
,,,,,,,,,,,,,,SPRED3,Ukn,,,,,,
,,,,,,,,,,,,,,DAB2IP,Ukn,,,,,,
,,,,,,,,,,,,,,SHOC2,Ukn,,,,,,
,,,,,,,,,,,,,,PPP1CA,Ukn,,,,,,
,,,,,,,,,,,,,,SCRIB,Ukn,,,,,,
,,,,,,,,,,,,,,PIN1,Ukn,,,,,,
,,,,,,,,,,,,,,KSR1,Ukn,,,,,,
,,,,,,,,,,,,,,KSR2,Ukn,,,,,,
,,,,,,,,,,,,,,PEBP1,Ukn,,,,,,
,,,,,,,,,,,,,,ERF,TSG,,,,,,
,,,,,,,,,,,,,,PEA15,Ukn,,,,,,
,,,,,,,,,,,,,,JAK2,OG,,,,,,
,,,,,,,,,,,,,,IRS2,OG,,,,,,
