,CD8.WSI,CD8Frac.WSI,CD8_EPorSMARatio.WSI,CD8_AnySMARatio.WSI,CD8_EPRatio.WSI,CD8.FACS,CD45.FACS,TumSize,CD8normTumSize,CD8.EpBoundingBox,Treatment,Growth,SpatialManual,log2CD8_EPorSMARatio.WSI,log2CD8_EPRatio.WSI,CD8.FACS,OverallCD8_Fig4c.Manual,TIL_Fig4d.Manual,CD45_graphpad,T.cell.CD8._TIMER,T.cell.CD8._CIBERSORT,T.cell.CD8._CIBERSORT.ABS,T.cell.CD8._QUANTISEQ,T.cell.CD8..naive_XCELL,T.cell.CD8._XCELL,T.cell.CD8..central.memory_XCELL,T.cell.CD8..effector.memory_XCELL,T.cell.CD8._EPIC,TumorFinalSize,CD8.EpDomTiles,CD8.TumSize,CD8.EpBoundingBox
15NC-D,3993,0.01078746,0.021903216,0.048044182,0.048044182,NA,7.25,22,181.5,24765.72279,PDL1+LY,growing,restricted,-5.448306027,-4.34977419,NA,NA,NA,7.246991643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15ND,1678,0.010472054,0.018672869,0.022934777,0.0260644,NA,NA,3,559.3333333,13654.41051,PDL1+LY,stable,Infiltrating,-5.667648843,-5.207459791,NA,36.77248677,39.41798942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.929476584,562.3333333,5.96E-05
15RD,24041,0.032831235,0.2189028,0.2189028,0.2189028,NA,27.4,17,1414.176471,4154.361886,PDL1+LY,growing,restricted,-2.185062121,-2.185062121,,,,,,,,,,,,,,,,,
16LA,12242,0.017152841,0.021464804,0.040372128,0.040372128,NA,NA,5,2448.4,7503.621768,PDL1+LY,NA,Infiltrating,-5.476189738,-4.595197025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2.547060046,2451.8,0.0001285
16LC,22907,0.047692612,0.066488258,0.099890111,0.099890111,NA,61.7,7,3272.428571,2689.627573,PDL1+LY,stable,Infiltrating,-3.889219678,-3.309143325,NA,24.6031746,7.671957672,61.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4.86082578,3447.714286,0.00032026
16LD,69599,0.031616767,0.041294947,0.089268628,0.089268628,NA,40.5,24,2899.958333,4194.745168,PDL1+LY,stable,Infiltrating,-4.56337086,-3.469631509,NA,12.96296296,1.851851852,40.5,0.072826993,0.207607755,0.429435219,0.071875518,0.006719339,0.23205164,0.292498488,0.072326521,0.040999839,24,6.256949925,2972.833333,0.000228151
16ND,137787,0.07533082,0.09169637,0.148106307,0.200382187,NA,NA,25,5511.48,2090.743072,PDL1,stable,Infiltrating,-3.431343348,-2.311992016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,9.048660858,5608.36,0.000398645
16RD,22697,0.030648594,0.041067312,0.126200312,0.126200312,NA,NA,3,7565.666667,8522.344051,PDL1,stable,Infiltrating,-4.571156545,-2.97482588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,13.27015755,9545.666667,0.000119627
17NA,114939,0.047268702,0.067736289,0.258745745,0.258745745,NA,20.4,28,4104.964286,2907.145232,Vehicle,growing,restricted,-3.862784218,-1.944827977,NA,33.06878307,4.761904762,20.4,0.134741661,0.24056732,0.488755351,0.414274272,0.026746191,0.253999243,0.29968504,0.064927224,0.115032758,28,42.0370241,4298.285714,0.000331525
17ND,13298,0.11152672,0.206260082,8.663192182,9.983483483,NA,6.88,4,3324.5,1335.218559,Vehicle,stable,Infiltrating,-2.270485813,3.319687796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6.020635441,4595.25,0.000530557
17RB,85774,0.04110736,0.049241039,0.052644694,0.062226182,NA,4.35,35,2450.685714,4180.52051,Vehicle,growing,Infiltrating,-4.314989888,-3.983334095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,3.291729481,2682.571429,0.000211099
2N,109694,0.030104097,0.050009164,0.104424529,0.153484728,NA,21.8,47,2333.914894,4597.896793,Vehicle,growing,restricted,-4.293099747,-2.694463874,NA,119.75,0.5,21.77820284,0.063794039,0.137686492,0.19521304,0.068162368,0.015760243,0.205590853,0.239949351,0.030017801,0.058967206,47,4.895437514,2362.829787,0.000243281
2RA,24008,0.085819175,0.182087084,2.098784859,2.18931242,NA,70.7,20,1200.4,1912.529187,Vehicle,growing,restricted,-2.449398072,1.131136667,NA,NA,NA,70.71732591,0.372005752,0.279009605,0.52792057,0.492104314,0.030820025,0.320910484,0.376644106,0.074158683,0.016350497,20,7.897086764,1246.95,0.000469716
2RD,31061,0.074219478,0.130157307,0.191206978,0.27905953,NA,NA,20,1553.05,2242.436602,Vehicle,growing,restricted,-2.930629913,-1.836194575,NA,NA,NA,NA,0,0.079060345,0.054692431,0.081166918,0.008802411,0.051358536,0.064546979,0,4.88E-07,20,9.691956124,1590.45,0.000418503
3LA,83808,0.053124641,0.082677958,0.097844018,0.134359584,NA,12.5,12,6984,2594.996903,Vehicle,growing,restricted,-3.57900855,-2.885131051,NA,4.497354497,0.793650794,12.47080939,0.15779749,0.186611872,0.486341213,0.286108331,0.017300925,0.217683026,0.266629521,0.043687443,9.11E-08,12,4.734508369,7118.333333,0.000384604
3NB,98748,0.276829918,0.536703082,0.585114388,0.585114388,0.062896623,24.4,6,16458,546.3309056,Vehicle,stable,Infiltrating,-0.895118355,-0.770745841,6.289662323,NA,NA,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,22.58008658,17386.66667,0.001434148
3RB,43810,0.026655358,0.032626512,0.06105098,0.06105098,NA,29.7,35,1251.714286,5647.589779,Vehicle,growing,restricted,-4.894257031,-4.010402197,NA,NA,NA,29.69326026,0.213215482,0.142142354,0.402331013,0.195076474,0.013412537,0.25128263,0.314795924,0.066633789,1.04E-07,35,3.687394008,1304.6,0.000171995
3RC,11691,0.023213931,0.035392417,0.04600854,0.059744587,0.043820371,39.4,32,365.34375,8076.189886,Vehicle,growing,Infiltrating,-4.780218336,-4.041100337,4.382037055,NA,NA,39.36003589,0.210943815,0.183995724,0.510714157,0.383402979,0.015436776,0.246198892,0.304389343,0.056378328,2.45E-06,32,1.750966399,368.03125,0.00012047
4LB,37888,0.024447388,0.040414168,0.05369995,0.069875181,NA,1.64,35,1082.514286,5131.47744,Vehicle,growing,Infiltrating,-4.593731769,-3.818575681,NA,NA,NA,NA,0,0.079212815,0,0,5.86E-18,2.24E-18,0,0,0.0039662,35,2.882871693,1326.285714,0.000182436
4NC,4456,0.008138783,0.009041933,0.011247867,0.011247867,NA,4.86,15,297.0666667,16736.26881,Vehicle,growing,restricted,-6.637819247,-6.351325663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0.671931468,334.6666667,5.60E-05
4ND,4010,0.007624516,0.00864334,0.020187273,0.020187273,NA,NA,20,200.5,24844.49238,Vehicle,growing,Infiltrating,-6.696251306,-5.560658247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,3.15247678,407.3,8.16E-05
4RB,69477,0.028009645,0.040480261,0.059897735,0.092386065,NA,NA,40,1736.925,4515.973017,Vehicle,growing,restricted,-4.59143123,-3.420648903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,4.023091565,2007.925,0.000219492
5LA,30482,0.045395179,0.054955991,0.130156494,0.130156494,NA,NA,6,5080.333333,3114.328516,Vehicle,stable,Infiltrating,-4.159563581,-2.930638858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11.07755226,6094.5,0.000323106
5LB,7634,0.025782962,0.054788818,0.054788818,0.054788818,NA,NA,4,1908.5,5599.338501,Vehicle,growing,restricted,-4.163880196,-4.163880196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,12.52202826,4108.363636,0.000294762
5LC,93441,0.05150546,0.069235916,0.180953949,0.180953949,NA,NA,22,4247.318182,3485.114401,Vehicle,growing,restricted,-3.83164723,-2.458354735,,,,,,,,,,,,,,,,,
5LD,25942,0.034810776,0.10885821,0.140902598,0.146576565,NA,NA,15,1729.466667,8261.925176,Vehicle,stable,restricted,-3.186285406,-2.76046445,,,,,,,,,,,,,,,,,
5RB,187348,0.059667229,0.074019756,0.173684742,0.173684742,NA,8.93,35,5352.8,2192.373638,Vehicle,growing,restricted,-3.736585615,-2.517174492,NA,NA,NA,8.93,0.010785638,0.259297587,0.376070302,0.184460165,0.019191212,0.20301563,0.242610636,0.035225041,0.004803932,35,15.34117118,5853.314286,0.000439099
6LDU,78416,0.05562527,0.060807159,0.207830208,0.207830208,NA,12.3,32,2450.5,3093.293385,LY,growing,restricted,-4.01608224,-2.259597679,NA,11.11111111,0.793650794,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,18.05998304,2662.71875,0.000337063
6ND,170266,0.081590113,0.098255629,0.141421642,0.173652395,NA,6.85,40,4256.65,1964.231976,LY,growing,NA,-3.33270727,-2.517441665,,,,,,,,,,,,,,,,,
6RB,79608,0.155480427,0.235513388,0.877706725,0.877706725,NA,61.1,18,4422.666667,889.6228956,LY,growing,Infiltrating,-2.080006242,-0.186546359,,,,,,,,,,,,,,,,,
6RC,157455,0.078801021,0.10388338,0.21464853,0.3178899,NA,27.2,40,3936.375,1802.146138,LY,growing,restricted,-3.253142013,-1.648869691,NA,111.5,16,27.1967893,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,22.87359618,4786.3,0.000592242
7NB,32396,0.020673411,0.033711981,0.077575885,0.077575885,NA,30.4,31,1045.032258,7933.918982,LY,growing,restricted,-4.848422493,-3.669769568,NA,6.084656085,0.793650794,30.4,0.125916404,0.131363393,0.345278782,0,0.005340422,0.23065773,0.307755016,0.066525178,0.071226819,31,3.733033202,1069.935484,0.000123742
7NC,106074,0.047945651,0.054701484,0.341126605,0.341126605,NA,13.2,40,2651.85,3459.118752,LY,growing,restricted,-4.166140423,-1.547397798,NA,7.407407407,1.587301587,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,73.60697198,2692.175,0.000282231
7RA,72918,0.03193098,0.04180136,0.075042915,0.137450165,NA,NA,8,9114.75,4667.552155,LY,stable,restricted,-4.546199547,-2.852561318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8.549067661,10029.125,0.000205906
7RB,23710,0.016946911,0.019968872,0.023241088,0.083250235,NA,NA,20,1185.5,8421.618269,LY,growing,NA,-5.575606948,-3.569175475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,1.604990428,1215.7,0.000115932
7RD,50862,0.032169008,0.039423415,0.125988348,0.125988348,NA,NA,20,2543.1,4955.09617,LY,stable,Infiltrating,-4.628664999,-2.97723197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,16.9722485,2690.95,0.000204511
8LD,7860,0.056233634,0.093863075,0.094435967,0.094730753,0.03293287,34.6,6,1310,3083.244962,LY,stable,Infiltrating,-3.398009562,-3.384873739,3.293286964,29.62962963,18.25396825,34.6,0.265072525,0.050832399,0.092090202,0,0.008226011,0.276883367,0.337234367,0.06986217,0.029930628,6,4.067813765,1339.666667,0.000304246
8RCL,4518,0.017669074,0.022024413,0.031916472,0.031916472,NA,31.8,12,376.5,8177.582909,LY,growing,restricted,-5.44069181,-4.925046483,NA,NA,NA,35.8,0.133889523,0.207076652,0.565560375,0.239217659,0.012278638,0.235125612,0.304124285,0.034046323,0.058906452,12,1.622033298,381.5833333,9.23E-05
8RCU,83679,0.028766801,0.037590918,0.111560844,0.111560844,0.02488036,9.79,27,3099.222222,5095.111372,LY,growing,restricted,-4.695594825,-3.151223045,2.48803597,NA,NA,9.79,0.233130375,0.117867289,0.239367475,0,2.44E-20,0.207726544,0.304162426,0.072058106,0.017774587,27,10.34637277,3164.074074,0.000198799
