"Var1","Var2","MH.mean","MH.lower","MH.upper","gridsize"
"EpCAM","CD8",0.105362194184028,0.102991289048948,0.101903472152124,50
"EpCAM: SMA","CD8",0.121588331967539,0.120343778245878,0.114549039741932,50
"SMA","CD8",0.150201586740217,0.145715133421972,0.150572634870244,50
"Unclass","CD8",0.155213249363619,0.14780156669436,0.148517013960187,50
"EpCAM: SMA","EpCAM",0.545945822601309,0.542204972797138,0.553008617971052,50
"SMA","EpCAM",0.36053301719241,0.353165085106469,0.365976774967005,50
"Unclass","EpCAM",0.284293199601175,0.28397390570211,0.287921953567053,50
"SMA","EpCAM: SMA",0.358428129561802,0.358746597424227,0.360175478649506,50
"Unclass","EpCAM: SMA",0.165618635282383,0.163144439259637,0.170199441020225,50
"Unclass","SMA",0.379700355614448,0.377485022525172,0.384951866135778,50
"EpCAM","CD8",0.284033527406012,0.266694178293901,0.294166529629993,100
"EpCAM: SMA","CD8",0.275804255118254,0.268989211149462,0.288159442254987,100
"SMA","CD8",0.319694238502466,0.304993435487084,0.332124606151743,100
"Unclass","CD8",0.344282112410183,0.335374117904606,0.360990569927921,100
"EpCAM: SMA","EpCAM",0.684942263717465,0.680780567200392,0.690267012227855,100
"SMA","EpCAM",0.588948364604693,0.589009624099166,0.589408956010067,100
"Unclass","EpCAM",0.457415370217184,0.457381977540037,0.454672334663655,100
"SMA","EpCAM: SMA",0.5034186844907,0.498005664859217,0.505845901256612,100
"Unclass","EpCAM: SMA",0.242428678880202,0.242849753848455,0.247172211994815,100
"Unclass","SMA",0.503438583139134,0.492496878866911,0.508563061629828,100
"EpCAM","CD8",0.448890198770968,0.428746286761019,0.485949764278485,150
"EpCAM: SMA","CD8",0.401473709667265,0.41014374001276,0.438871832732918,150
"SMA","CD8",0.466155851702232,0.437192081087737,0.494935421691417,150
"Unclass","CD8",0.472897470552013,0.448707009512455,0.47364382193959,150
"EpCAM: SMA","EpCAM",0.728212821606665,0.728765961924132,0.725783120960658,150
"SMA","EpCAM",0.687978391774523,0.681188785477545,0.691078063694671,150
"Unclass","EpCAM",0.546018052859679,0.542393517909321,0.545944972399379,150
"SMA","EpCAM: SMA",0.573852536403811,0.574753200853168,0.568603911162986,150
"Unclass","EpCAM: SMA",0.286623376164667,0.280120325330323,0.29187671268576,150
"Unclass","SMA",0.56078935250021,0.554176223969489,0.557464760396791,150
"EpCAM","CD8",0.53977638297987,0.509283209122906,0.568145345228288,200
"EpCAM: SMA","CD8",0.475338231187073,0.456732019748466,0.495270060482465,200
"SMA","CD8",0.545100182748972,0.517832336594885,0.574996466795374,200
"Unclass","CD8",0.557763881113521,0.522564839816918,0.593066915133001,200
"EpCAM: SMA","EpCAM",0.744848436465909,0.742709157341072,0.741219902926285,200
"SMA","EpCAM",0.754026860078694,0.755144588206272,0.752552420936561,200
"Unclass","EpCAM",0.622861834479928,0.618269280044843,0.619964279303502,200
"SMA","EpCAM: SMA",0.612571016111443,0.609069939243729,0.616248159167386,200
"Unclass","EpCAM: SMA",0.332084092836924,0.331241197784965,0.333425754564726,200
"Unclass","SMA",0.60932644333976,0.61175863861497,0.607195981496603,200
"EpCAM","CD8",0.625341642727259,0.601743124024192,0.665685105172835,250
"EpCAM: SMA","CD8",0.54356786446754,0.528592835104582,0.576006645283628,250
"SMA","CD8",0.620845879253953,0.601037925997077,0.640640129079837,250
"Unclass","CD8",0.616237375150883,0.593050184926659,0.628249349550099,250
"EpCAM: SMA","EpCAM",0.751517730697601,0.747765344525702,0.747019204520978,250
"SMA","EpCAM",0.787076133768438,0.780645123631296,0.788054412718224,250
"Unclass","EpCAM",0.662499578951943,0.661897771696462,0.665625133266119,250
"SMA","EpCAM: SMA",0.63934623010838,0.626905040468037,0.646550490534737,250
"Unclass","EpCAM: SMA",0.356781504525555,0.355673889522603,0.355877576285415,250
"Unclass","SMA",0.625906430051862,0.618606441421633,0.626671519347404,250
"EpCAM","CD8",0.673442728692093,0.638000587507029,0.698254773751252,300
"EpCAM: SMA","CD8",0.573173152630649,0.577089076823538,0.586841723735879,300
"SMA","CD8",0.676747648227935,0.637434601553794,0.698228651143187,300
"Unclass","CD8",0.664499726694904,0.632390392031701,0.68868266789422,300
"EpCAM: SMA","EpCAM",0.760585683647972,0.759478818099583,0.765289632938815,300
"SMA","EpCAM",0.806550916283907,0.805291863732154,0.807273466451341,300
"Unclass","EpCAM",0.703969572635722,0.700972170222228,0.705269656350928,300
"SMA","EpCAM: SMA",0.644004678012678,0.651453373238368,0.642120901142141,300
"Unclass","EpCAM: SMA",0.38089830830065,0.384612330494178,0.381109194688812,300
"Unclass","SMA",0.668474195661092,0.665206991975507,0.67543561818698,300
"EpCAM","CD8",0.74104462315406,0.717435728816268,0.760972516376819,350
"EpCAM: SMA","CD8",0.601384959406526,0.568297014675891,0.609376858975576,350
"SMA","CD8",0.709746928012928,0.674588089731372,0.725447404337519,350
"Unclass","CD8",0.727577841416826,0.721417005689135,0.754235312940521,350
"EpCAM: SMA","EpCAM",0.76897014081395,0.764927307712694,0.77081484516938,350
"SMA","EpCAM",0.831093184086196,0.827161305510709,0.837492102724639,350
"Unclass","EpCAM",0.73044719846777,0.732244081673699,0.736949112066509,350
"SMA","EpCAM: SMA",0.657787906194153,0.653797605046182,0.658067913329372,350
"Unclass","EpCAM: SMA",0.39271312823642,0.392489963606029,0.398196607460468,350
"Unclass","SMA",0.684965109509168,0.681593805475484,0.689237781471973,350
"EpCAM","CD8",0.77079035322671,0.744713022825041,0.799424596169105,400
"EpCAM: SMA","CD8",0.63241064963792,0.606434165304855,0.66147309360988,400
"SMA","CD8",0.744563269754413,0.72686524063756,0.784573045079703,400
"Unclass","CD8",0.755603229413285,0.739092062029909,0.752766540280008,400
"EpCAM: SMA","EpCAM",0.769967317786401,0.766047200587693,0.77232396271112,400
"SMA","EpCAM",0.843661135396157,0.841267728023292,0.845383457887451,400
"Unclass","EpCAM",0.757461263352033,0.756447948167429,0.75665517647493,400
"SMA","EpCAM: SMA",0.669806575422597,0.663161307841686,0.672431903949995,400
