""	"Basal"	"Her2"	"LumA"	"LumB"	"Normal"	"Call"	"Confidence"	"ROR-S (Subtype Only)"	"ROR-S Group (Subtype Only)"	"Proliferation Score"	"ROR-P (Subtype + Proliferation)"	"ROR-P Group (Subtype + Proliferation)"	"ER"	"Her2"
"14N_CD45_C"	"0.158415039299895"	"0.244793776841423"	"-0.393079977311401"	"0.261972287496961"	"-0.283688517948302"	"LumB"	"0.91"	"66.2266664788343"	"high"	"0.121631566340337"	"53.9179967718645"	"high"	"-1.37352832496076"	"-4.90423293851105"
"14N_CD45_D"	"0.271209788509845"	"0.288064176322826"	"-0.482862004699781"	"0.266023823028928"	"-0.330686330119115"	"Her2"	"0.94"	"71.2095403317493"	"high"	"0.465972716568603"	"68.999985123265"	"high"	"-2.48792462451609"	"-3.10464743163843"
"15L_CD45_B"	"0.0570084254294781"	"0.286792865740234"	"-0.357260094102199"	"0.272130430025167"	"-0.165116533537586"	"Her2"	"0.92"	"65.0253788272626"	"high"	"0.00997113090277372"	"49.4822921247195"	"med"	NA	"-3.95197505100939"
"15N_CD45_C"	"0.276955602536998"	"0.339172455451525"	"-0.607067351253398"	"0.29371790999698"	"-0.382210812443371"	"Her2"	"0.97"	"77.5994505596319"	"high"	"0.676291479168653"	"79.3426971516036"	"high"	"-2.15462442990167"	"-2.26943246576296"
"15R_CD45_D"	"0.22787456445993"	"0.360801393728223"	"-0.475435540069686"	"0.203310104529617"	"-0.212543554006969"	"Her2"	"0.98"	"70.7052076802623"	"high"	"0.00890398792225999"	"50.9471920164409"	"med"	"-1.58928981868237"	"-1.66341920312919"
"16L_CD45_D"	"0.207839721254355"	"0.366376306620209"	"-0.52020905923345"	"0.404878048780488"	"-0.423519163763066"	"LumB"	"0.99"	"75.9142827835622"	"high"	"0.785859691317257"	"83.6084249221952"	"high"	"-1.28577578949707"	"-2.83105812975745"
"17N_CD45_A"	"0.18807227939389"	"0.422088971720282"	"-0.572644032088161"	"0.418037436188315"	"-0.468276476784701"	"Her2"	"0.99"	"79.0271714637483"	"high"	"1.0288671830415"	"94.4054591446474"	"high"	"-1.74953787180236"	"-2.24257856933491"
"2N_CD45_"	"0.341382383923507"	"0.201523377360019"	"-0.609431974718418"	"0.320962644842395"	"-0.31431812656997"	"Basal"	"0.97"	"76.4532654098009"	"high"	"1.32799877058366"	"104.353377143245"	"high"	NA	"-1.89900113799141"
"2R_CD45_A"	"-0.0177700348432056"	"0.268466898954704"	"-0.313763066202091"	"0.330487804878049"	"-0.240766550522648"	"LumB"	"0.96"	"63.5589167829473"	"high"	"0.111884325743149"	"53.2517928606181"	"high"	NA	"-3.98205177417067"
"2R_CD45_C"	"0.0467166979362101"	"0.399437148217636"	"-0.453846153846154"	"0.520637898686679"	"-0.426266416510319"	"LumB"	"1"	"74.7858142463304"	"high"	"0.522033244889931"	"73.317651193523"	"high"	NA	"-3.36266120432414"
"2R_CD45_D"	"-0.067595818815331"	"0.447212543554007"	"-0.327351916376307"	"0.574912891986063"	"-0.527177700348432"	"LumB"	"1"	"70.5842443084649"	"high"	"0.471067093480952"	"70.5886534695031"	"high"	"-1.41138904403972"	"-1.20282924175956"
"3L_CD45_D"	"0.127700348432056"	"0.386585365853659"	"-0.517421602787457"	"0.630487804878049"	"-0.536236933797909"	"LumB"	"1"	"79.4707305263374"	"high"	"0.898691141443758"	"89.5539159274919"	"high"	NA	"-2.66060429887449"
"3L_CD45_A"	"0.204878048780488"	"0.28968105065666"	"-0.514634146341463"	"0.369981238273921"	"-0.383114446529081"	"LumB"	"0.98"	"73.9600973241364"	"high"	"0.348433233588243"	"65.2986257699818"	"high"	NA	"-2.44836887257978"
"3N_CD45_B"	"0.0614982578397213"	"0.191811846689896"	"-0.082404181184669"	"0.00923344947735192"	"0.0418118466898955"	"Her2"	"0.77"	"47.8647307274032"	"med"	"-1.04937497013354"	"1.91677144494782"	"low"	"-1.76875749578883"	"-1.88559466839817"
"3R_CD45_C"	"-0.0929422251033142"	"0.428733489992707"	"-0.235880398671096"	"0.557410258487967"	"-0.436188315371526"	"LumB"	"1"	"66.1031730115302"	"high"	"0.358818089029337"	"64.8450527350815"	"high"	"-2.90739416414632"	"-1.93753591296911"
"3R_CD45_B"	"0.170356472795497"	"0.40844277673546"	"-0.45515947467167"	"0.443714821763602"	"-0.386303939962476"	"LumB"	"1"	"74.2984802010816"	"high"	"0.60836393719308"	"76.3836883956062"	"high"	NA	"-2.3129255195799"
"5N_CD45_A"	"0.144090056285178"	"0.329643527204503"	"-0.589118198874296"	"0.466041275797373"	"-0.505253283302064"	"LumB"	"1"	"78.9390342792186"	"high"	"1.05059372943242"	"94.9857120066601"	"high"	NA	"-5.00313632743022"
"5R_CD45_B"	"0.29198606271777"	"0.307317073170732"	"-0.558536585365854"	"0.22020905923345"	"-0.368466898954704"	"Her2"	"0.95"	"73.9657225615905"	"high"	"0.880098425354498"	"86.2281596608185"	"high"	"-2.16300135770195"	"-2.51307938361834"
"6N_CD45_D"	"0.104502814258912"	"0.512007504690431"	"-0.575609756097561"	"0.50656660412758"	"-0.610881801125703"	"Her2"	"1"	"81.5353529524335"	"high"	"1.23283860464526"	"103.817268094594"	"high"	NA	"-1.57462797351062"
"6R_CD45_D"	"0.193058161350844"	"0.342213883677298"	"-0.584240150093808"	"0.361538461538461"	"-0.454409005628518"	"LumB"	"0.98"	"77.4162933018431"	"high"	"0.481838136379349"	"71.7707792308689"	"high"	NA	"-1.95201596136651"
"7N_CD45_A"	"0.298111984442104"	"0.47086945952516"	"-0.672473867595819"	"0.373956729600519"	"-0.471193582367717"	"Her2"	"1"	"83.6888895979447"	"high"	"1.17685398924861"	"101.545868262761"	"high"	"-1.28466086254035"	"-1.37894870651203"
"7N_CD45_B"	"0.312745394140743"	"0.425400181214135"	"-0.680308064028994"	"0.29371790999698"	"-0.46964663243733"	"Her2"	"1"	"82.077515552259"	"high"	"1.02979715717254"	"94.9392675967168"	"high"	"-2.91891770609371"	"-2.59628745874773"
"8L_CD45_D"	"0.0375172190260109"	"0.321448829106231"	"-0.24025605704562"	"0.23912162709667"	"-0.252086540798963"	"Her2"	"0.96"	"60.0349384312454"	"high"	"-0.598795549211221"	"24.0212066006342"	"med"	"-1.30445426106633"	"-2.39611816992254"
