""	"Basal"	"Her2"	"LumA"	"LumB"	"Normal"	"Call"	"Confidence"	"ROR-S (Subtype Only)"	"ROR-S Group (Subtype Only)"	"Proliferation Score"	"ROR-P (Subtype + Proliferation)"	"ROR-P Group (Subtype + Proliferation)"	"ER"	"Her2"
"14R_Ep_B"	"-0.44950213371266"	"-0.272641062114746"	"0.712422949265055"	"-0.143669985775249"	"0.355144618302513"	"LumA"	"1"	"3.01631246171869"	"low"	"-1.3783515683747"	"-24.6967104611477"	"low"	"1.25946474982562"	"0.312190726269377"
"15N_Ep_C"	"0.488858277287092"	"0.052913054047484"	"-0.455959808767523"	"0.0136941900980472"	"-0.0449720444048294"	"Basal"	"1"	"63.5041064893206"	"high"	"1.3041861056044"	"98.6766211739359"	"high"	"-3.96872231204188"	"-0.543178895350874"
"16L_Ep_C"	"0.114315916641498"	"0.335397160978556"	"-0.500151011778919"	"0.347025067955301"	"-0.586982784657203"	"LumB"	"0.98"	"73.1978054906106"	"high"	"1.34115726368313"	"104.920602014341"	"high"	"1.04218435099215"	"0.546977111598545"
"17N_Ep_D"	"-0.298097251585624"	"0.24025974025974"	"-0.0341286620356388"	"0.303986710963455"	"-0.450921171851404"	"LumB"	"0.95"	"49.721703562279"	"med"	"0.148782083945288"	"51.2380403222448"	"med"	"0.250350746354322"	"1.41480939515293"
"2N_Ep_"	"0.0961945031712474"	"0.222893385684083"	"-0.244488070069465"	"0.0992147387496225"	"-0.165508909694956"	"Her2"	"0.85"	"56.7160434237035"	"high"	"0.424624421723047"	"63.2048020502299"	"high"	"0.109168168285566"	"0.720784199051402"
"3N_Ep_B"	"-0.215275418283074"	"-0.258541926412223"	"0.408502284430527"	"-0.204779703396597"	"0.473515309734535"	"Normal"	"1"	"15.9600279237267"	"low"	"-1.38948436114988"	"-22.003511436551"	"low"	"0.966629806344185"	"-0.276513898266543"
"3R_Ep_C"	"-0.622319540924192"	"-0.113711869525823"	"0.63470250679553"	"0.0952884324977348"	"0.0353367562669888"	"LumA"	"1"	"11.7088686593707"	"low"	"-1.39895747653819"	"-21.9466729659629"	"low"	"3.23946839143788"	"1.26754886855514"
"6R_Ep_B"	"-0.362428269405014"	"-0.337209302325581"	"0.618393234672304"	"-0.282543038356992"	"0.499395952884325"	"LumA"	"1"	"4.07628572459005"	"low"	"-1.59152239639434"	"-33.4752995642879"	"low"	"-0.111595091510508"	"0.175367251896396"
"7N_Ep_A"	"-0.14557535487768"	"-0.0113258834189067"	"0.154485049833887"	"-0.0182724252491694"	"0.0114768951978254"	"LumA"	"0.68"	"33.5797906180823"	"med"	"-0.154869479594927"	"33.0970732476094"	"med"	"1.7762484047464"	"0.763276092997535"
"8L_Ep_D"	"-0.256302521008403"	"-0.322689075630252"	"0.471428571428571"	"-0.126610644257703"	"0.265266106442577"	"LumA"	"1"	"13.5145519031142"	"low"	"-1.87351044609207"	"-42.0483432545292"	"low"	"0.330361494777841"	"0.106612141852896"
"8R_Ep_CU"	"0.596949562065841"	"0.335246149199638"	"-0.750981576562972"	"0.176230745998188"	"-0.348837209302326"	"Basal"	"1"	"83.1280475781264"	"high"	"1.65147893250238"	"119.041352758739"	"high"	"-0.656150971180137"	"0.466320777137651"
"NMU12_Ep_RL"	"0.427061310782241"	"0.301570522500755"	"-0.573693748112353"	"0.110238598610692"	"-0.176683781334944"	"Basal"	"1"	"73.3399352992698"	"high"	"1.14167449292616"	"96.11503079147"	"high"	"0.122725983457475"	"-0.614285535101118"
"NMU10_Ep_LL"	"0.226366656599215"	"0.235578375113259"	"-0.438689217758985"	"0.253548776804591"	"-0.232105104198127"	"LumB"	"0.9"	"68.1778935542843"	"high"	"0.458599104266456"	"67.7168581865618"	"high"	"-0.872058425686898"	"-1.56907929656119"
"NMU13_Ep_LLU"	"0.469367588932806"	"-0.0543478260869565"	"-0.33300395256917"	"-0.0849802371541502"	"-0.0177865612648221"	"Basal"	"0.97"	"55.0874236270635"	"high"	"0.900901682590886"	"79.7951296180281"	"high"	NA	"-0.285857425201351"
"NMU14_Ep_"	"-0.0309716599190283"	"-0.266396761133603"	"0.0917004048582996"	"-0.0882591093117409"	"0.0224696356275304"	"LumA"	"0.42"	"31.8386876737318"	"med"	"0.0826151997041416"	"40.7613914621269"	"med"	"-0.276210763279721"	"-0.481625367548873"
"NMU7_Ep_RLU"	"0.377348777348777"	"0.0628056628056628"	"-0.317374517374517"	"0.0555984555984556"	"-0.0555984555984556"	"Basal"	"0.98"	"58.052719100916"	"high"	"-0.0152305709217875"	"44.9156932374576"	"med"	NA	"-0.884818638683373"
