""	"C2N__Ep"	"C2R__Ep"	"C5R__Ep"	"D11N__Ep"	"D14R__Ep"	"D17N__Ep"	"D18N__Ep"	"D2N__Ep"	"D3R__Ep"	"D4R__Ep"	"D9N__Ep"	"D9R__Ep"	"NMU10_LL_Ep"	"NMU12_LA_Ep"	"NMU13_LAU_Ep"	"NMU13_LLU_Ep"	"NMU14__Ep"	"NMU7_RLU_Ep"
"AARS2"	-1.91810198756514	-1.92739625104316	-2.08212116884412	-1.36737106564853	-1.68907090406189	-1.60845085364353	-2.65592105136245	-1.61890983264449	-1.68341098880925	-3.21137121589663	0.635838490827361	-1.84327449631255	-2.71311885221184	-1.86598265202831	NA	-0.531804564831984	-5.49585502688717	NA
"AARSD1"	-0.371152812780718	-0.0305716990185555	-0.304198900455057	0.198226110205696	-0.147276262497112	-0.273466605930717	-0.412615544333153	0.112894056405933	-0.603158032833831	0.966048322092604	0.0450936375121987	-0.608809242675524	0.273515889702116	0.742063461805885	-1.43855900692367	-0.924646317996631	-0.707952467495739	-1.48534263382652
"AASDHPPT"	-0.828834649468056	-0.259316117587684	0.00400810733740313	0.266447601414384	0.611102638184946	-0.158989523761157	0.434820111469381	-0.415037499278844	-0.208502033553008	0.453964701288544	1.16724074679799	0.516721639408335	-0.461461836370196	0.838032520336607	1.60486327336746	-0.471569457698614	-0.178442413122302	0.364486599072208
"AATF"	-1.2438721487469	-1.19397536392037	-0.642741709193316	-1.27877714237954	-0.911463325398343	-0.216133430864766	-0.968414865245157	-1.19744606420622	-0.918595611716172	-2.34100649631323	-3.82744545330554	-0.890323069116978	-1.88896868761126	-0.273284502527551	-0.0477690538915022	1.33271753116482	-6.32593002544486	-1.11337385643956
"AATK"	-5.53409138390692	-2.36923380966572	-3.48962499543756	-1.12045632517801	-1.64081573545467	-7.65284497300198	-5.90783942500207	-3.4262647547021	-3.07420094184142	-4.40401629383903	-4.21446857641479	-0.579597321459037	-3.23446525363702	-2.91328836680667	NA	NA	-0.688500104829567	-2.53327711089022
"ABAT"	-5.53409138390692	-6.46876948321663	NA	-3.86826930158121	-3.64081573545467	-4.89795747083851	-5.69633531980836	-5.4262647547021	-9.56605403817109	NA	-4.45547667591859	-5.1422414427566	NA	-4.82017896241519	-3.93041210325334	NA	-9.49585502688717	-1.71482447994929
"ABCA1"	-1.58191990899754	-1.38130664196629	-2.03749817742349	-4.10433665981474	-2.75946023195329	-0.884660648225053	-1.96594237956564	-1.76329974197967	-1.29459101026672	-2.30448062028811	-4.10755337249828	-1.30270611494984	-1.53533173299656	-2.96219796728762	-0.555372671906419	NA	-1.45146090752872	-3.43894972834207
"ABCA13"	-10.0576533399639	-6.46876948321663	NA	-8.01122725542325	NA	NA	NA	NA	NA	NA	-2.45547667591859	NA	NA	-3.65025396097288	-2.07243110812577	NA	-9.49585502688717	NA
"Abca17"	-6.88772833852162	-7.69116190455308	-6.48962499543756	-7.01122725542325	-4.98185265328974	-8.65284497300198	-8.15576693844565	-8.01122725542325	-8.56605403817109	-5.75193959725933	-3.82744545330554	-6.80520645547903	-8.64385618977473	-4.23521646169403	-2.17552460108987	NA	-3.13830302226909	-9.74273047651917
"ABCA2"	0.717956940795601	1.20466579582158	0.93663975926454	0.852958889231026	1.34607418221906	-1.07919778550866	-0.0368258657221454	0.248516008267527	0.182138811418369	0.0901249790859166	NA	0.497051659268202	0.876762490781555	1.62896968296025	0.520799008578985	1.46889424605157	1.37219582685799	1.22809442484344
"ABCA4"	-0.819248600638858	-1.77627851819103	-3.5510255401017	-5.50872691489407	NA	-3.77020192364014	-0.318139005274248	-2.4262647547021	-0.794564568670493	-2.52487068871341	-1.31499545236875	-5.30270611494984	-1.76121314041288	-3.36074734377789	-1.97621579286647	NA	NA	NA
"ABCA5"	-4.66533591718518	-5.81669278663694	-3.70535368649299	-4.10433665981474	-4.08138832684065	-6.48291997155967	-3.5859113301147	-5.84130225398094	-3.37622947929107	-8.21137121589663	-1.59298019966852	-5.48327836059167	-8.64385618977473	-4.23521646169403	-4.12305718119574	NA	-6.49585502688717	NA
"ABCA7"	-2.62302511232721	-2.69116190455308	-3.23328524217777	-2.41628066612948	-2.71881824745595	-2.67556504950206	-2.87964253317142	-2.53549382445686	-2.92219784839637	-1.17794821435918	0.15118089590189	-2.55727894203544	-3.2688167584278	-2.91328836680667	-3.47098048461605	-1.73567689819763	-2.92599941855622	NA
"Abca8a"	-0.491599301792845	-0.632268215499513	-1.27153271153474	-4.01122725542325	-7.88874324889826	0.219060264657207	0.797702023783195	-1.29012806671607	1.13957834919032	0.545185106627455	-1.36031944287825	-5.39016895620018	-1.45403163089471	-2.96219796728762	-5.34544960253219	-4.15071439747648	NA	NA
"ABCB10"	-0.532132530868867	-1.00933786457934	-0.374147778017622	-0.413795402739882	-0.00304687555886387	-2.39545713030933	-1.46576896702621	-1.61034781914107	-1.15242610914692	-2.07181986349784	0.699801549559326	-0.297411815280331	-1.28630418515664	-1.61072559678624	-1.14905238972868	0.186588923297801	0.95947219341739	-0.352561520318991
"ABCB4"	-4.90953270883997	-8.0682315536329	-5.28381545829671	-5.91474049082945	NA	NA	-5.04807906913128	-4.95811591896369	-5.48966596965825	-5.5434790906664	-5.84795805063125	NA	-8.30471880485514	-4.1197392442741	-4.68248458980976	NA	NA	NA
"ABCB4"	-1.51694407729251	-1.28920156340057	-2.58530147353284	-5.77142190300112	NA	-0.35592876612269	-0.835553061938072	-0.970170493115134	-1.34688551770893	-5.19790895609007	-4.12726688007256	-7.39016895620018	-2.36336377994486	-4.36074734377789	-6.60848400836598	NA	NA	-8.74273047651917
"ABCB4"	-7.69588498054478	NA	-5.30411079963118	NA	NA	NA	-4.68685784633506	-8.99687196244618	-6.22549176914468	-7.16174044817203	-3.52259087177712	NA	NA	-5.49825086752783	-4.60848400836598	NA	NA	NA
"ABCB6"	-0.0534328736457414	-0.330680568896326	-0.962582470645583	-0.941553727616443	-1.82265405844049	-1.15698994611481	-0.936598417983491	0.0494686762642999	-0.771638171820986	-1.32262796699837	NA	-1.3622629596303	-0.81730770248381	-0.925361199107244	-4.12305718119574	-4.84259210211415	-1.41903942983634	0.746113869938162
"ABCB7"	-3.42829671988433	-5.10619940383193	-3.03019337680026	-1.82140269654324	-3.05585323473352	-3.52356195605701	-2.86114618955403	-4.92376441417291	-3.41630691866641	-6.40401629383903	-6.91490829455588	-2.33488652069899	-4.83650126771712	-2.73271612116485	-4.93041210325334	NA	-1.9336126026661	NA
"ABCB8"	-0.833651665765832	-0.579156879039951	-1.08212116884412	-0.67434881906992	-0.80128040764792	-1.32192809488736	-0.785079531638435	-0.400202458115902	-1.07019901128392	-0.853819211278549	NA	-0.827926531979111	-1.36773178450049	-0.925361199107244	-5.93041210325334	-0.716483332964323	-0.0758948490392819	0.278249462385037
"ABCB9"	-6.05765333996394	-4.46876948321663	-4.5302669799349	-2.60750506937224	-4.80128040764792	-9.65284497300198	-4.00601981894097	-5.10433665981474	-4.65916344256257	-3.78510646119453	-7.91490829455588	-4.06824086131282	-4.78587519464715	-3.5722514489716	-3.76048710181103	NA	NA	-3.57280547507686
"ABCC1"	-1.26975078057251	-0.0618052844734718	-0.884762937278696	-0.0883951159457141	-0.80128040764792	-0.667003035998639	-0.520955888273935	-0.370982319200908	-0.20411026443585	-1.45648371373316	-3.21446857641479	-0.489302148219435	-1.02180437031835	0.157100961084729	-0.62663135507624	NA	-1.64410598547111	-1.17667643834808
"ABCC10"	-3.28946901518701	-3.49476469174958	-2.72881265931698	-2.23863775152633	-2.4964258261195	-5.26052755022322	-4.54105709433044	-4.25633975325979	-4.04249208211408	-3.04144621445432	-4.74498329311357	-2.82031334786924	NA	-2.29661700635817	-3.60848400836598	NA	-7.91089252616601	-3.23493583632048
"ABCC3"	-1.19656643396854	-1.77627851819103	-2.60426756137868	-2.33880191345176	-4.08138832684065	NA	-1.97089159553737	-1.61034781914107	-2.07420094184142	-3.59666137178142	-1.53986886320896	-2.98077802006248	-2.61043318823727	-1.86598265202831	-3.12305718119574	-7.54303182025524	-4.03642340824987	-1.89098143510312
"ABCC4"	-4.03528552693548	-4.10619940383193	-2.74068675960528	-1.88194423847829	-2.4964258261195	-2.54432051622381	-5.15576693844565	-2.74444071472835	-5.10662241953379	-3.18900340286818	-3.32994579383473	-2.44765445086094	-2.81096617560998	-1.63035440353517	-2.22997238511225	NA	-2.02012159592077	-5.28329885788188
"ABCC5"	-1.35721362182284	-1.50794008049731	-2.89136567210294	-4.64199344575754	-7.88874324889826	-4.33091687811462	-1.14733831637507	-1.14086253583985	-1.31338860572084	-3.00191785026768	-7.91490829455588	-3.48327836059166	-1.37706964907982	-3.17632277264046	-1.97621579286647	NA	NA	NA
"ABCC8"	-3.64826240382624	0.00232505294624399	-0.558887657874671	0.866312516452854	-1.4964258261195	-1.6472204238081	-2.5783381104099	-1.47984579490694	-9.56605403817109	-4.51093149775554	-6.91490829455588	1.26088273497875	-1.24297675349254	-4.1197392442741	-4.34544960253219	NA	-4.13830302226909	NA
"ABCC9"	-1.13581240288945	-0.558447982207841	-1.18787478248783	NA	NA	-2.35822422411035	-0.780727507098728	-0.310787537282162	0.257313201875144	-1.6722124047886	-2.42305519822621	-4.63528145403671	-1.85595363038329	-6.82017896241519	NA	NA	NA	NA
"ABCD1"	-0.744770384679581	-1.50794008049731	-2.70535368649299	-1.82800543136748	-2.06856428648307	-1.91813535277614	-1.41767467882516	-1.67137725253863	-1.37129718374884	-2.22268652912447	-7.91490829455588	-1.1422414427566	-2.61043318823727	-2.23521646169403	-3.76048710181103	0.504092091858788	-2.71449531336251	-0.785628434956888
"ABCD2"	-4.84819997433499	-6.10619940383193	-4.48962499543756	NA	NA	NA	-6.15576693844565	-5.84130225398094	-5.17373661539233	-6.88944312100927	-0.984170956992996	-5.68972923805909	-3.02914634565952	-2.09225850785199	0.11398201610511	-9.54303182025524	-9.49585502688717	-2.44810972762755
"ABCD3"	-4.53409138390692	-3.29884448177432	-1.96606303938054	-1.84130225398094	-0.940376017313582	-2.09060254878091	-2.64006710016161	-3.20387233336565	-2.95134419405588	-1.43658415629546	-1.91490829455588	-2.08638820802308	-2.90238920337358	-1.07871197601404	-1.53809468047458	-4.54303182025524	-1.85199883711245	-1.8972404255748
"ABCD4"	-2.7815289346897	-2.28743971850207	-2.26723257410111	-2.68929916053589	-2.12055892412133	-3.65284497300198	-3.1445396830224	-2.90270279864509	-2.75869911611349	-3.56751502612191	-7.91490829455588	-2.83558010452255	-3.32192809488736	-1.59136027191931	-1.20249164869014	0.246501824715122	-0.666132291801112	-0.652618056854886
"ABCE1"	0.0742036206448563	-0.333609899934998	1.33974539014354	1.45433914938614	1.44887865309425	2.06225903623419	1.23440201775453	0.234325450832428	1.39322346754941	-0.137229753144127	-3.21446857641479	1.11166822870211	1.37295209791183	1.09271037381477	1.66577765289107	-3.58883550986836	1.70749297609259	2.02297001113193
"ABCF1"	0.397673880340624	0.608046113834197	1.2917347180871	1.09118592729306	0.889333880637099	0.950781371984213	0.40933513991466	0.670011156354551	0.372055288048147	0.0554153247982691	-0.84881910409811	0.898697117965636	1.89336221076387	2.02217138099862	1.14105025930328	-0.0980169743868147	0.180102006054578	0.599344191479964
"ABCF2"	1.52824810972683	0.713979558583263	0.935707484569166	1.14864408135514	0.876128341837832	1.0911478880582	0.500657924832127	1.10511670581421	0.495992099549399	-0.183465219326748	-1.06941824361151	0.82171933834582	1.85049941375812	0.830872728763741	1.24949698676159	-0.444999737294711	1.05489175849607	1.41082155518894
"ABCF3"	0.744055018952525	-0.0449032245630521	0.12998364809049	-0.0883951159457141	-0.16082279433506	0.283792966000591	-0.394215706001174	-0.0027986333526734	-0.146093860323203	-0.271792001581939	NA	0.495527417139212	0.53605290024021	0.546143251830628	1.61648235663429	1.44565286651693	0.242237232733319	1.2136456807305
"ABCG1"	1.29162788885352	2.05982415992806	0.201536909115524	-0.906191784724965	-0.396890152568584	0.246511949921132	1.13425190848697	1.25672982897958	0.699561008313366	0.212795072921468	-3.16002079239241	-0.212749418210947	0.673556423990145	-1.14775362044369	NA	0.102626612153472	-0.788495894806288	0.0694468289952728
"Abcg2"	-3.35721362182284	-4.1886615640239	-3.70535368649299	-6.4262647547021	-4.4964258261195	-3.54432051622381	-3.27312388908381	-4.61890983264449	-4.24412594328373	NA	-3.39134633849887	-7.06824086131282	-7.05889368905357	-6.82017896241519	-2.76048710181103	-1.56575189675532	-2.37691395416366	NA
"Abcg3"	-2.50122392451436	-2.80721531316365	-1.98112591428693	-2.86541395963236	-1.77562621250754	-2.89982884426614	-1.16813341634713	-2.89415563157813	-2.25553213780177	-2.3891509442751	NA	-2.51881811556616	-2.32771044748137	-2.90465806166323	-2.50414734855125	-2.40337815268737	-2.85966545536151	-3.32707320236017
"ABCG2"	-3.23046944414441	-2.58878371789593	-2.92918176053086	-2.82681470679459	-2.01345465067557	-2.79735352990011	-2.77751543991076	-3.98442719607954	-3.34456358312904	-3.09992251740896	-0.537177186206105	-2.21404568505224	-3.28788850053372	-2.73526430264725	-5.98181125575999	-1.31796902164369	-1.91850173460059	-4.01835305491296
"Abcg3l2"	-3.26310750694189	-3.0579244615795	-2.26834937741597	-2.857151777027	-2.27698068883339	-3.37579009685325	-2.00612142076086	-3.53484556785602	-2.66615337456992	-3.04144621445432	-6.03128747827021	-2.49826376798825	-2.17673977176656	-1.5626025444604	-1.25290386098862	-3.06697422457769	-6.7134464619598	-3.47332323566514
"ABCG2"	-0.538665856083115	-0.989197065377183	0.128907338538736	-1.80164392312236	-1.28415295683889	-1.79934826929965	0.223286460713234	-1.69417649143226	-0.347902540388509	-0.480833148820654	NA	-1.43167423972558	-0.803046800982106	-1.53829528785227	NA	-3.3631227302403	-1.44774965244511	-9.7141613243224
"Abcg3l4"	0.0145328700830227	-0.754170695735036	0.502539165148338	-0.582587923460954	1.05045393855664	-0.550869302052748	0.92858970615958	-1.11030008489607	-0.440278970561576	0.249964977961417	NA	-0.263980745678083	-0.0887494421539082	0.14306394190364	-2.10310115930368	1.09381027561092	0.452483000048858	-0.136140196148647
"ABCG4"	-3.48779773163299	-4.81669278663694	-7.07458749615871	-7.27426166125705	NA	NA	-4.04724248166748	-5.68929916053589	-3.95134419405588	-4.25717490550976	NA	-7.39016895620018	-3.3040061868901	-7.82017896241519	NA	NA	NA	NA
"ABCG5"	-3.59822172132664	-3.46876948321663	-3.45009663125092	-4.4262647547021	-3.39689015256858	-8.06788247228082	-2.63220498238864	-5.4262647547021	-3.31812652472751	-4.81905379311787	NA	-4.22024395475787	-3.55639334852439	-4.1197392442741	-2.53809468047458	0.322701450596521	-3.34610790738249	-0.93537555446157
"ABHD1"	-2.37115281278072	-2.05695588481208	-1.69376571221778	-1.42126407364373	-1.52242103465244	-1.97336487349653	-2.7720626459716	-2.33880191345176	-2.4265026857723	-2.75193959725934	-1.62950607569363	-1.50142570730192	-3.18442457113743	-1.98728894825045	-3.47098048461605	-1.81511136569204	-1.47348721385872	-1.45271162958656
"ABHD10"	-2.36416638246461	-2.27612440527424	-1.63164400030999	-1.22986754189859	-1.01837852931485	-2.00179328182305	-2.15014238925177	-2.10433665981474	-2.63531670060821	-2.37848120173189	-7.91490829455588	-1.0370221307021	-0.939952616330061	-1.07871197601404	-1.53809468047458	-0.958069319534082	-1.86649840680756	-0.587912367467071
"ABHD11"	-1.43194449689947	-1.39960745870924	-0.324159642185945	-0.149106529934758	0.644586483407575	-0.707401136624068	-1.56705230286339	-1.31078753728216	-1.600269753509	-0.756043995592072	0.560825136410515	-0.427272950862923	-0.692571474807753	0.277853120545339	1.26926024158302	-2.76167210673058	-0.771341173767221	-0.176676438348083
"Abhd11-as1"	-5.53409138390692	-4.06667103964529	-3.75265940127135	-3.84130225398094	-2.42931163026096	-6.84549005094437	-6.5708044377245	-4.76329974197967	-5.24412594328373	-2.55315973314484	-0.463697182723553	-2.80520645547903	-4	-1.61072559678624	-2.22997238511225	NA	-3.58896443127865	-5.04229075837808
"ABHD12"	1.20854757253502	1.30413416222555	0.671366881234747	0.92246339952898	1.0226487389452	0.276413435634994	0.488990654070604	0.671767328258429	0.479705623211591	1.50972797281055	0.494482641581819	1.47633725602602	-0.875671864997798	0.37457789200706	0.902477910911398	1.6143151151076	1.04330378422086	0.97323151373597
"ABHD13"	-1.62302511232721	-1.48170853892413	-1.54060892415636	-1.02633414781346	-1.0369942074822	-0.672705395362822	-0.807038784214575	-1.22986754189859	-0.563239022564038	-1.23409129239672	0.771592232627336	-1.05477860150626	-0.695488958190047	-1.13367843523197	NA	-0.732460185514091	-1.15600502400255	-0.382980916196845
"ABHD14A"	-1.68696593315672	-1.24821840870435	-2.51999864448108	-2.9668331360648	-2.16082279433506	-2.10595051311434	-1.9463135728167	-2.47206844431522	-1.95872372442148	-1.71951811956696	-2.91490829455588	-1.91443552523379	-3.08926733809709	-1.34444553144879	-1.02352150764482	0.6243863255765	NA	-1.58285913974079
"ABHD14B"	-1.2090303995346	0.288025084711494	-0.437962875615065	-0.191048293008066	0.475391406109793	-0.855183447148219	-0.83383884355829	-0.735102850149017	-0.761923016987774	0.159316190910586	-0.638783889281645	0.334344896919766	-1.97852027258955	0.519671040469437	NA	0.150455137244088	0.647528187102649	-0.94183057659887
"ABHD15"	-4.5030644882863	-4.46876948321663	NA	NA	NA	-9.65284497300198	-5.34841201638805	-5.68929916053589	-4.52165991881264	-3.81905379311787	NA	-6.22024395475787	NA	NA	NA	NA	NA	NA
"ABHD16A"	2.06872849057871	1.26303440583379	1.2917347180871	1.09206055298877	1.04347150307013	0.596268479711749	1.16559749359379	1.64698422732854	1.12481697112122	2.03120747355471	0.0158290430070037	1.28225638577131	0.75595576955096	1.4158352294849	-5.93041210325334	-0.654288571356979	0.967669346384009	1.41840140646513
"ABHD17A"	1.87935258655265	1.58418664964524	0.81314084236291	0.990650031817416	0.462195932648172	0.818830241390065	1.2279373540284	1.90912559999183	1.23807698301223	2.40471809768548	2.6970386472641	0.869574307490598	0.500802053057158	1.20218885061327	1.50837974932492	-0.350739005784471	0.273982816742269	0.824274893727859
"ABHD17B"	-0.269750780572505	-0.126377285769555	0.12180971664479	-1.16156152850769	-0.580404218758852	-0.133208720158767	-0.265502661424543	0.0602351071333701	-0.219540305005456	-1.41047131597633	0.0392880158309929	-0.573185332944803	1.00450139223494	-1.19082234233558	-6.93041210325334	-0.269236221040973	-0.333463698130266	-0.126181632740185
"ABHD17C"	-0.623025112327212	-0.561878887608115	-0.106880899365598	0.531804564831984	0.475391406109793	0.583169218898106	-0.663913842115978	-0.543621705340257	-0.434197077562299	-1.7601601040643	0.725336641666463	0.611239238192625	-0.823677227359537	0.524116945500629	0.512531392595385	-0.531804564831984	-0.67887140363179	0.994516866508564
"ABHD18"	-5.05765333996394	-6.10619940383193	-4.30199799226179	-2.64199344575754	-1.96988001162366	-3.92492451843878	-3.37440722492099	-6.4262647547021	-3.63531670060821	-7.62640871517548	-3.59298019966852	-2.79025611401306	-9.64385618977473	-2.06529146025172	-6.93041210325334	NA	-7.49585502688717	-3.12802063240397
"ABHD2"	-1.08037341646402	-1.00466137736986	-1.62612699534242	0.683420824908075	0.520647687239443	-0.602996423551418	-1.69224256517447	0.125763856656975	-1.41123592911899	-1.53189111639119	NA	0.14510642042062	-0.286304185156641	-1.82017896241519	-5.34544960253219	NA	-1.06122679925045	-1.40288047363455
"ABHD3"	-3.75387259178683	-3.57568468713315	-2.63718218385142	-1.35778501681933	-2.12055892412133	-4.12928301694497	-3.85198619026855	-4.31078753728216	-3.52165991881264	-3.16697709653818	-2.78562527761092	-2.33488652069899	NA	-2.69089594547022	-4.34544960253219	NA	-2.44057259138598	-4.09887428674445
"ABHD4"	2.38632620263732	2.86246738936328	1.32130360949987	1.22239242133645	1.50142570730192	1.78021879212009	2.46193009086222	2.48062584090642	2.1072550373906	2.33504097922272	3.05950629524964	1.53760900588216	1.11603199344711	0.614449265221537	-0.0477690538915022	-0.331143525709234	1.67093572383101	0.980077054650372
"ABHD5"	-1.1750102906021	-1.60369906330274	-1.5934608064221	-2.33880191345176	-2.4964258261195	-1.1410923192346	-1.0630097975258	-1.19744606420622	-1.32288005469814	-3.62640871517548	-1.70545492892693	-2.21025986618525	-0.583160258087171	-2.4626269577971	NA	NA	-2.507170340115	-4.74273047651917
"ABHD6"	-0.809725826520351	-1.69869557723849	-0.804681613619633	-0.287850726005003	0.276163677777429	-0.264827687656845	-0.606945029986902	-1.29698173775713	-0.742686798124856	-1.41047131597633	0.304260225906279	-0.797711918932103	-1.200912693926	-0.711654505637019	-0.162227778476417	-2.0273319819712	-2.24792751344359	-4.83583988091066
"ABHD8"	0.394587900466882	0.515038483280781	-0.776906947518029	-0.446442636639728	-1.38094860869956	-1.61942197146453	-0.247374317671902	0.125763856656975	-0.378701964970595	1.59195270314486	0.183123788404644	-1.35124996690788	-2.3040061868901	-2.09225850785199	-1.57286009863526	NA	-1.51857510338725	NA
"ABI1"	0.213809687940438	-0.0593785470789316	0.68141276737183	0.630222436644375	1.04347150307013	0.949853892015986	0.732215194612801	-0.0225425686510883	0.60512275948068	0.49598791618425	-1.68608960406	0.730068921141776	1.35543919724869	0.869819009004258	1.7490679962521	1.2683428732547	1.24054690443112	0.592659878174751
"ABI2"	-0.457740497776809	-0.949694918151935	-0.339877875932875	-0.636187824076329	-1.38094860869956	-0.193413354364682	0.00410439833273664	-0.871675903024461	-0.0964122209315755	-0.0743801038164027	0.866451418968777	-1.34577483684173	-1.40545145044965	-1.25032335408424	NA	-0.0175110111601681	-1.83764354413538	-0.98450726179245
"ABI3"	-3.54985869976524	-3.10619940383192	-4.33762190199251	-8.01122725542325	NA	-4.84549005094437	-2.69633531980836	-3.03394733192334	-2.30866619547844	-2.36588116495226	NA	-5.30270611494984	NA	-7.82017896241519	NA	NA	NA	NA
"ABL1"	1.69137804207627	1.57171595035648	0.11028784674957	0.119772234110734	-0.849824259605957	0.698094208544451	0.794788958601859	1.79048110349321	1.08858199035688	0.478626755522813	2.1226386594063	-0.271227883476676	-0.184424571137427	-0.620506617578823	NA	1.54310440477207	0.137140170255787	0.806091431939577
"ABL2"	-2.55780745288073	-4.57568468713314	-4.37414777801762	-3.13675813750711	-5.71881824745595	-3.03813512888677	-4.20157062805878	-2.90270279864509	-4.24412594328373	-4.88944312100927	-3.91490829455588	-4.53218796107261	-1.73096685354476	-2.49825086752783	-4.93041210325334	-3.89917563048051	-1.27185335268907	NA
"Ablim1"	-1.33313948684399	-0.990722186411989	-2.08969438854892	-1.82140269654324	-1.5758602936139	-1.61942197146453	-0.708683712236001	-2.11640949211531	-0.239624551048789	-0.780918664231101	-2.08201828039114	-1.51980423661678	-2.08161376555365	-2.4626269577971	-0.953132179753427	NA	-1.89594218470004	-6.28329885788188
"ABLIM2"	-2.92837032301897	-4.06667103964529	-6.65954999687987	-5.34826224270082	-5.18830353075717	-9.65284497300198	-7.83383884355829	-4.20387233336565	-5.47859119692075	-6.62640871517548	NA	-5.06824086131282	-2.68965987938785	-3.29661700635817	NA	NA	-3.79541530874608	-8.15776797579802
"ABLIM3"	-1.45032302621433	-1.333609899935	-2.95911027873878	NA	NA	-1.19751775269742	-1.04463126821095	-0.866569012591372	-1.43677102122613	-4.35339022076906	-3.82744545330554	NA	-3.28630418515664	-4.49825086752783	-4.60848400836598	NA	NA	NA
"ABO"	-3.20004550387821	-2.90700694667442	-4.08635727309826	-5.27426166125705	-5.18166025712655	-3.26052755022322	-3.28540221886225	-3.25633975325979	-3.02070339334879	-2.78510646119453	-0.256696811804088	-4.14528189707665	NA	-3.49825086752783	NA	NA	NA	NA
