""	"C2N__Ep"	"C2R__Ep"	"C5R__Ep"	"D11N__Ep"	"D14R__Ep"	"D17N__Ep"	"D18N__Ep"	"D2N__Ep"	"D3R__Ep"	"D4R__Ep"	"D9N__Ep"	"D9R__Ep"	"NMU10_LL_Ep"	"NMU12_LA_Ep"	"NMU13_LAU_Ep"	"NMU13_LLU_Ep"	"NMU14__Ep"	"NMU7_RLU_Ep"
"A2M"	0.881925874350757	0.749015157004271	-0.497158668122965	-7.27426166125705	NA	0.87560913776281	0.220358450830522	-0.499474601655874	0.525381348152515	-0.23982766194586	-1.984170956993	-4.1422414427566	-2.35845397091248	-5.23521646169403	-3.47098048461605	NA	NA	NA
"A3GALT2"	1.37801692097261	1.21973062161293	-0.159704109796664	-0.677326518869816	-0.562313761775956	1.34009336316383	1.1098481080388	1.32639464656925	0.950630911138519	1.36511313090022	-0.447302744472885	-0.0978473233981445	-1.40545145044965	-1.96219796728762	-1.57286009863526	NA	-0.960579650266368	-1.27920610324799
"AA926063"	-7.73572524507657	-9.27612440527424	-9.65954999687987	NA	-7.88874324889826	-8.65284497300198	-7.83383884355829	-9.01122725542325	-7.98109153744994	-6.04144621445432	NA	NA	NA	-5.49825086752783	NA	NA	-4.40839218563683	NA
"AAAS"	-1.28286628036276	-1.61791292252244	-1.25015906074217	-0.741321372884174	-1.02455710424398	-1.75197816502123	-0.478047296804644	-1.10433665981474	-0.981091537449935	-1.15067528420908	-0.0569272994283103	-1.4653564525944	-2.200912693926	-0.212848648665577	0.239512898188969	-2.35320726137522	-3.97229307083016	-1.52841135571841
"AACS"	-0.455882551556226	-0.679934649129827	0.967983887592922	1.61994980028072	1.15565087046019	-0.264827687656845	-0.626336384299502	-0.0425604622280458	-0.929429417627443	-1.21701777903777	-2.82744545330554	1.14995908238192	0.160274831408593	1.18544558677869	-3.93041210325334	NA	0.479992941119614	0.950756480980151
"AADAT"	-3.9701904987136	-4.41814341014667	-2.64832274145662	-2.49815767318388	-0.365181292841246	-3.87148525947732	NA	-6.4262647547021	-3.70807304304352	-5.62640871517548	-5.91490829455588	-2.30270611494984	-1.21759143507263	-3.1197392442741	-3.93041210325334	NA	-0.158233124894663	-0.90352668842223
"AAGAB"	-1.72673646184932	-1.39960745870924	-1.21246677067022	-0.360175564244325	-0.900058562126093	-1.85194507308167	-1.15576693844565	-1.78240856492737	-1.23962455104879	-1.72755543863238	-0.648121753860981	-0.753544335656535	-1.06642736173898	-0.516398214238085	-0.375823251575706	NA	-0.859230406343522	-1.077394559334
"AAK1"	-4.70010133534585	-4.1886615640239	-4.26723257410111	-2.92376441417291	-3.67928988326931	-6.06788247228082	-5.40087943628218	-3.61890983264449	-3.73316402400635	-4.16697709653818	-4.00801769894736	-4.68972923805909	-3.66657626627481	-3.73271612116485	NA	NA	-4.10353760410841	NA
"AAMDC"	-3.34340782229781	-1.7292299453866	-3.05963715469274	-3.32940321544951	-1.82265405844049	-2.72210763543909	-2.60117808676802	-2.9888594423948	-2.55482678274784	-0.490272027189447	-0.407113654357186	-2.49535119289224	-3.83650126771712	-2.73271612116485	-1.47098048461605	NA	-3.28640166125822	NA
"AAMP"	3.00641574042157	2.52760312127888	2.65389994408319	2.56336627191436	2.34906422482488	2.28416095351461	2.06067580071484	2.89303102737726	2.11254610092837	3.39039957251108	2.15521264992094	2.49285611223999	2.9986468390058	2.67067191432511	3.157050737997	2.7638842932673	2.94345643493167	2.67380318368041
"AAR2"	-2.39231742277876	-1.74474294475793	-2.28451056553295	-1.04929529625677	-1.35736178838195	-2.06788247228082	-1.78507953163844	-1.16573720447888	-1.57170060131223	-1.56751502612191	0.36586247557472	-1.47130571892559	-2.12815635149068	-1.82017896241519	NA	0.179775710914309	-2.80935449970395	-0.232955472192237
"AARS"	1.38684394713987	0.916168409196529	0.96341694791064	1.08943508358194	0.352048083263698	1.61745035347006	1.18129740023909	1.95094577568645	1.1516223848953	0.0270335234284466	1.28476405028048	0.742973256200418	1.7158933705476	0.422995021057763	0.915077947691032	1.10801987092369	0.742549712437908	1.44832873801248
